name,lat,lon,suitability,burial_depth_cm,zone
Tugu Bambu Runcing,-7.2677393,112.7444085,0.9309319,6.971835620402269,A
Monumen Perjuangan Polri,-7.2808273,112.7409573,0.86915296,7.426606842980327,A
Patung Karapan Sapi,-7.2729404,112.742264,0.8341606,7.162192901451918,A
Candi Jawi,-7.6624877,112.669879,0.7624324,41.3980226556776,A
Ponpes Sunan Drajad,-6.881625,112.391803,0.83315736,1.8554991575973092,A
0 km Madiun,-7.6304729,111.5194338,0.8385017,5.16943595370921,A
Monumen Supriyadi,-8.0940316,112.1770672,0.71367955,121.87273667957255,B
Menggapai Cakrawala,-7.2778687,112.8081502,0.90240216,6.217652280100943,A
Bunderan Taman,-7.6498149,111.5330055,0.86645997,5.6813054838055885,A
monumen adipura sumbang,-7.1595325,111.8817589,0.68951374,4.224389284732631,A
Astoria,-7.4647507,112.4508602,0.57884806,29.96552329966522,A
Monumen Soerjo Ngawi,-7.3788034,111.2841901,0.6261466,1.0931685469894965,A
Monumen Pendidikan Ki Hadjar Dewantara,-7.5517227,112.2278104,0.7801588,48.88818820513203,A
Monumen Juang,-7.9775432,112.6363195,0.9414721,81.81279585630645,A
Monumen TRIP,-7.5568358,112.2354694,0.77817976,50.54622046399825,A
Tugu UKS,-7.4892889,112.4400257,0.810205,34.21768406464992,A
Patung Mastrip,-7.7688575,112.1964505,0.840294,130.62319890622618,B
Tugu Pahlawan,-7.2458594,112.7378213,0.8433637,6.452766987011575,A
Candi Tikus,-7.5718035,112.4035341,0.8564937,53.56829440056384,A
Candi Bajang Ratu,-7.5677409,112.3987632,0.8121742,52.79746546973367,A
Monumen Sampang,-7.1955784,113.2510746,0.91784245,1.2117858503171963,A
Monumen Brigjend. R. Kretarto,-7.5376446,112.2307171,0.8957203,45.71641400199015,A
Monumen Panglima Besar Sudirman,-7.9671945,112.6384905,0.88673306,81.45896558658144,A
Patung Jenderal Achmad Yani,-7.8483429,112.3722245,0.8893688,213.27458455054054,B
Monumen Pesawat,-7.373899,112.7294704,0.7279139,11.439954379479548,A
Monumen Madiun Kota Pecel,-7.6236246,111.5203365,0.72310966,5.1281375933428555,A
Monumen Pantai Prigi,-8.2864201,111.7265533,0.7705214,11.33080441898167,A
"Masjid Al-Quba Sumberarum, Dander, Bojonegoro",-7.2630662,111.870928,0.90922743,6.337178605203449,A
"Masjid Growok, Dander",-7.2541341,111.8511198,0.6136059,5.796236329292858,A
UPTD Pendidikan Kecamatan Dander,-7.2523035,111.849414,0.6763273,5.7270545541725495,A
Alun-Alun Contong Kota Blitar,-8.1092582,112.1668397,0.61326486,110.86139278443181,B
Patung Suro dan Boyo,-7.2959921,112.7386859,0.95539445,7.957199763917079,A
