name,lat,lon
Salak,-6.716,106.738
Gede-Pangrango,-6.787,106.980
Tangkubanparahu,-6.770,107.600
Patuha,-7.158,107.400
Papandayan,-7.320,107.730
Guntur,-7.143,107.840
Galunggung,-7.250,108.058
Ciremai,-6.892,108.400
Slamet,-7.242,109.208
Dieng,-7.200,109.920
Sundoro,-7.300,109.992
Sumbing,-7.384,110.070
Ungaran,-7.180,110.330
Telomoyo,-7.370,110.400
Merbabu,-7.450,110.430
Merapi,-7.541,110.446
Muria,-6.620,110.880
Lawu,-7.625,111.192
Wilis,-7.808,111.758
Kelud,-7.930,112.308
Kawi-Butak,-7.920,112.450
Arjuno-Welirang,-7.729,112.575
Penanggungan,-7.620,112.630
Bromo-Tengger,-7.942,112.950
Semeru,-8.108,112.922
Lamongan,-7.979,113.342
Iyang-Argapura,-7.973,113.570
Raung,-8.125,114.042
Ijen,-8.058,114.242
Baluran,-7.850,114.370
