name,type,period,lat,lon,source,osm_id,accuracy_level,discovery_year,notes,wikipedia,wikidata
Bunut Bolong,objek_wisata,unknown,-8.38677,114.87353,Wikidata SPARQL (Q116266150),,wikidata_p625,,,https://www.wikidata.org/wiki/Q116266150,Q116266150
Candi Badut,situs_arkeologi,unknown,-7.95776,112.59857,Wikidata SPARQL (Q3517536),,wikidata_p625,,,https://www.wikidata.org/wiki/Q3517536,Q3517536
Candi Jago,kuil,unknown,-8.00579,112.76405,Wikidata SPARQL (Q12091291),,wikidata_p625,,,https://www.wikidata.org/wiki/Q12091291,Q12091291
Candi Penataran,situs_arkeologi,unknown,-8.01611111,112.20916667,Wikidata SPARQL (Q2491478),,wikidata_p625,,,https://www.wikidata.org/wiki/Q2491478,Q2491478
Candi Sukuh,kuil,unknown,-7.6274,111.13118,Wikidata SPARQL (Q3101506),,wikidata_p625,,,https://www.wikidata.org/wiki/Q3101506,Q3101506
Candi Sumberawan,kuil,unknown,-7.85722,112.652,Wikidata SPARQL (Q11124430),,wikidata_p625,,,https://www.wikidata.org/wiki/Q11124430,Q11124430
Candi Wayang,kuil,unknown,-7.605485,112.621598,Wikidata SPARQL (Q137690757),,wikidata_p625,,,https://www.wikidata.org/wiki/Q137690757,Q137690757
Florawisata Santerra de Laponte,objek_wisata,2019-01-01T00:00:00Z,-7.854189165,112.485567001,Wikidata SPARQL (Q135989796),,wikidata_p625,,,https://www.wikidata.org/wiki/Q135989796,Q135989796
Kampung Tridi,objek_wisata,unknown,-7.98175,112.63794,Wikidata SPARQL (Q124801185),,wikidata_p625,,,https://www.wikidata.org/wiki/Q124801185,Q124801185
Kolam Segaran,situs_arkeologi,unknown,-7.558,112.3829,Wikidata SPARQL (Q25259415),,wikidata_p625,,,https://www.wikidata.org/wiki/Q25259415,Q25259415
