volcano,gvp_id,year,vei,start_date,end_date,ashfall_malang_cm_est,ashfall_malang_cm_source,source,notes,eruption_number,evidence_method
Arjuno-Welirang,263260,1885,1.0,1885-11-28,1885-11-28,0.014,"Estimated: Pyle(1989) exponential thinning, VEI=1, dist=30km",GVP Smithsonian v5.2.8,VEI 1,15909,Observations: Reported
Bromo,263310,-5260,,-5260-00-00,unknown,,VEI unknown — no estimate,GVP Smithsonian v5.2.8,VEI unknown,16008,Isotopic: 14C (uncalibrated)
Bromo,263310,-830,4.0,-830-00-00,unknown,1.465,"Estimated: Pyle(1989) exponential thinning, VEI=4, dist=80km",GVP Smithsonian v5.2.8,VEI 4,16009,Isotopic: 14C (uncalibrated)
Bromo,263310,190,2.0,190-00-00,unknown,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16010,Isotopic: 14C (uncalibrated)
Bromo,263310,330,3.0,330-00-00,unknown,0.123,"Estimated: Pyle(1989) exponential thinning, VEI=3, dist=80km",GVP Smithsonian v5.2.8,VEI 3,16011,Isotopic: 14C (uncalibrated)
Bromo,263310,1590,2.0,1590-00-00,unknown,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16012,Isotopic: 14C (uncalibrated)
Bromo,263310,1804,2.0,1804-09-00,unknown,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16016,Observations: Reported
Bromo,263310,1815,2.0,1815-04-05,1815-04-17,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16017,Observations: Reported
Bromo,263310,1820,2.0,1820-00-00,unknown,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16018,Observations: Reported
Bromo,263310,1822,2.0,1822-12-28,1823-01-05,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16019,Observations: Reported
Bromo,263310,1825,2.0,1825-11-05,1825-11-08,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16020,Observations: Reported
Bromo,263310,1829,2.0,1829-11-05,1829-11-11,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16021,Observations: Reported
Bromo,263310,1830,2.0,1830-03-03,unknown,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16022,Observations: Reported
Bromo,263310,1830,2.0,1830-12-15,1830-12-16,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16023,Observations: Reported
Bromo,263310,1835,2.0,1835-00-00,unknown,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16024,Observations: Reported
Bromo,263310,1842,2.0,1842-01-24,1842-06-00,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16025,Observations: Reported
Bromo,263310,1843,2.0,1843-01-00,unknown,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16026,Observations: Reported
Bromo,263310,1844,2.0,1844-11-09,unknown,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16027,Observations: Reported
Bromo,263310,1856,2.0,1856-09-10,unknown,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16028,
Bromo,263310,1857,2.0,1857-00-00,unknown,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16029,Observations: Reported
Bromo,263310,1858,2.0,1858-03-04,unknown,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16030,Observations: Reported
Bromo,263310,1858,2.0,1858-10-18,unknown,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16031,Observations: Reported
Bromo,263310,1859,2.0,1859-01-30,1859-03-04,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16032,Observations: Reported
Bromo,263310,1860,2.0,1860-06-12,1860-06-14,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,16033,Observations: Reported
Bromo,263310,1865,2.0,1865-04-00,1865-05-00,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,15988,Observations: Reported
Bromo,263310,1865,2.0,1865-12-01,1865-12-18,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,13448,Observations: Reported
Bromo,263310,1866,2.0,1866-07-00,unknown,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=80km",GVP Smithsonian v5.2.8,VEI 2,13449,Observations: Reported
