name,lat,lon,suitability,burial_depth_cm,zone,dist_nearest_volcano_km,nearest_volcano
Tugu Bambu Runcing,-7.2677393,112.7444085,0.9309319,6.971835620402269,A,54.58433941048906,Arjuno-Welirang
Monumen Perjuangan Polri,-7.2808273,112.7409573,0.86915296,7.426606842980327,A,53.0867690461215,Arjuno-Welirang
Patung Karapan Sapi,-7.2729404,112.742264,0.8341606,7.162192901451918,A,53.959986542757775,Arjuno-Welirang
Candi Jawi,-7.6624877,112.669879,0.7624324,41.3980226556776,A,12.806489245401988,Arjuno-Welirang
Ponpes Sunan Drajad,-6.881625,112.391803,0.83315736,1.8554991575973088,A,96.36580229024648,Arjuno-Welirang
0 km Madiun,-7.6304729,111.5194338,0.8385017,5.16943595370921,A,93.0426941379507,Kelud
Monumen Supriyadi,-8.0940316,112.1770672,0.71367955,121.87273667957255,B,23.24923633381652,Kelud
Menggapai Cakrawala,-7.2778687,112.8081502,0.90240216,6.217652280100943,A,56.36510329395668,Arjuno-Welirang
Bunderan Taman,-7.6498149,111.5330055,0.86645997,5.6813054838055885,A,90.88677758337896,Kelud
monumen adipura sumbang,-7.1595325,111.8817589,0.68951374,4.224389284732631,A,97.71033148080714,Kelud
Astoria,-7.4647507,112.4508602,0.57884806,29.96552329966522,A,32.41270399793899,Arjuno-Welirang
Monumen Soerjo Ngawi,-7.3788034,111.2841901,0.6261466,1.0931685469894965,A,128.4000067714604,Kelud
Monumen Pendidikan Ki Hadjar Dewantara,-7.5517227,112.2278104,0.7801588,48.88818820513203,A,42.98045714580796,Kelud
Monumen Juang,-7.9775432,112.6363195,0.9414721,81.81279585630645,A,28.450172802096294,Arjuno-Welirang
Monumen TRIP,-7.5568358,112.2354694,0.77817976,50.54622046399825,A,42.03142842639696,Arjuno-Welirang
Tugu UKS,-7.4892889,112.4400257,0.810205,34.21768406464992,A,30.524985485770888,Arjuno-Welirang
Patung Mastrip,-7.7688575,112.1964505,0.840294,130.62319890622618,B,21.726618699269842,Kelud
Tugu Pahlawan,-7.2458594,112.7378213,0.8433637,6.452766987011575,A,56.642360576188636,Arjuno-Welirang
Candi Tikus,-7.5718035,112.4035341,0.8564937,53.56829440056384,A,25.741134338399924,Arjuno-Welirang
Candi Bajang Ratu,-7.5677409,112.3987632,0.8121742,52.79746546973367,A,26.433937881412618,Arjuno-Welirang
Monumen Sampang,-7.1955784,113.2510746,0.91784245,1.2117858503171963,A,87.47886433339417,Lamongan
Monumen Brigjend. R. Kretarto,-7.5376446,112.2307171,0.8957203,45.71641400199015,A,43.5021016862471,Arjuno-Welirang
Monumen Panglima Besar Sudirman,-7.9671945,112.6384905,0.88673306,81.45896558658144,A,27.393812512709168,Arjuno-Welirang
Patung Jenderal Achmad Yani,-7.8483429,112.3722245,0.8893688,213.2745845505405,B,11.510129702958576,Kelud
Monumen Pesawat,-7.373899,112.7294704,0.7279139,11.439954379479548,A,43.000338664337285,Arjuno-Welirang
