doi,year,citations,title,oa_url
"10.1017/s0033822200064778",2002,735,"Marine Reservoir Corrections for the Indian Ocean and Southeast Asia","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B7E3A3F392990743E68AA91AEE6BAAF0/S0033822200064778a.pdf/div-class-title-marine-reservoir-corrections-for-the-indian-ocean-and-southeast-asia-div.pdf"
"10.1073/pnas.1522714113",2016,281,"Ancient crops provide first archaeological signature of the westward Austronesian expansion","https://www.pnas.org/content/pnas/113/24/6635.full.pdf"
"10.1086/510412",2006,257,"A Mitochondrial Stratigraphy for Island Southeast Asia","http://www.cell.com/article/S0002929707609197/pdf"
"10.1126/sciadv.abd4648",2021,242,"Oldest cave art found in Sulawesi","https://www.science.org/doi/pdf/10.1126/sciadv.abd4648?download=true"
"10.1038/s41586-019-1067-9",2019,219,"A new species of Homo from the Late Pleistocene of the Philippines","https://hal.science/hal-02296712"
"10.1080/03122417.2008.11681877",2008,206,"An Integrated Perspective On The Austronesian Diaspora: The Switch from Cereal Agriculture to Maritime Foraging in the Colonisation of Island Southeast Asia","https://openresearch-repository.anu.edu.au/bitstreams/19f45dcd-9b1f-4559-af30-9ddacfc8bc99/download"
"10.1073/pnas.1306100110",2013,188,"Stone tools and foraging in northern Madagascar challenge Holocene extinction models","https://www.pnas.org/content/pnas/110/31/12583.full.pdf"
"10.1038/s41598-018-35426-z",2019,186,"Craniometrics Reveal “Two Layers” of Prehistoric Human Dispersal in Eastern Eurasia","https://www.nature.com/articles/s41598-018-35426-z.pdf"
"10.1073/pnas.1208104109",2012,181,"Anatomically modern human in Southeast Asia (Laos) by 46 ka","https://www.pnas.org/content/pnas/109/36/14375.full.pdf"
"10.1017/s0003598x00098136",2009,177,"A new chronological framework for prehistoric Southeast Asia, based on a Bayesian model from Ban Non Wat","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4AA644BD284B1522DF1B4D193422600D/S0003598X00098136a.pdf/div-class-title-a-new-chronological-framework-for-prehistoric-southeast-asia-based-on-a-bayesian-model-from-ban-non-wat-div.pdf"
"10.1007/s00439-015-1620-z",2016,142,"Resolving the ancestry of Austronesian-speaking populations","https://link.springer.com/content/pdf/10.1007%2Fs00439-015-1620-z.pdf"
"10.1371/journal.pone.0021562",2011,141,"The Age of the 20 Meter Solo River Terrace, Java, Indonesia and the Survival of Homo erectus in Asia","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0021562&type=printable"
"10.1371/journal.pone.0204368",2018,121,"New evidence of megafaunal bone damage indicates late colonization of Madagascar","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0204368&type=printable"
"10.1371/journal.pone.0134497",2015,116,"Earliest Pottery on New Guinea Mainland Reveals Austronesian Influences in Highland Environments 3000 Years Ago","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0134497&type=printable"
"10.1371/journal.pone.0121193",2015,115,"Early Modern Humans and Morphological Variation in Southeast Asia: Fossil Evidence from Tam Pa Ling, Laos","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0121193&type=printable"
"10.1080/03122417.2011.11690525",2011,106,"New Direction In Human Colonisation of The Pacific: Lapita Settlement of South Coast New Guinea","https://www.tandfonline.com/doi/abs/10.1080/03122417.2011.11690525"
"10.1038/s41586-021-03823-6",2021,105,"Genome of a middle Holocene hunter-gatherer from Wallacea","https://www.nature.com/articles/s41586-021-03823-6.pdf"
"10.1016/j.jhevol.2018.07.001",2018,103,"The spatio-temporal distribution of archaeological and faunal finds at Liang Bua (Flores, Indonesia) in light of the revised chronology for Homo floresiensis","https://doi.org/10.1016/j.jhevol.2018.07.001"
"10.1016/s0031-0182(01)00243-7",2001,96,"Environmental change in the Late Pleistocene and later Holocene at Wanda site, Soroako, South Sulawesi, Indonesia","https://www.sciencedirect.com/science/article/pii/S0031018201002437"
"10.15184/aqy.2017.186",2017,95,"Fishing in life and death: Pleistocene fish-hooks from a burial context on Alor Island, Indonesia","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/BD9145338CF10EE824AC4A7F0AF7E2D9/S0003598X17001867a.pdf/div-class-title-fishing-in-life-and-death-pleistocene-fish-hooks-from-a-burial-context-on-alor-island-indonesia-div.pdf"
"10.1002/jqs.1197",2008,94,"Radiocarbon dating of charcoal from tropical sequences: results from the Niah Great Cave, Sarawak, and their broader implications","http://hdl.handle.net/2381/22073"
"10.25911/5d78d809b0b81",2001,91,"Islands in between : prehistory of the northeastern Indonesian archipelago","https://doi.org/10.25911/5d78d809b0b81"
"10.1537/ase.070416",2008,84,"Terminal Pleistocene human skeleton from Hang Cho Cave, northern Vietnam: implications for the biological affinities of Hoabinhian people","https://www.jstage.jst.go.jp/article/ase/116/3/116_070416/_pdf"
"10.1038/s41467-023-38715-y",2023,83,"Early presence of Homo sapiens in Southeast Asia by 86–68 kyr at Tam Pà Ling, Northern Laos","https://www.nature.com/articles/s41467-023-38715-y.pdf"
"10.1371/journal.pone.0193025",2018,81,"A reassessment of the early archaeological record at Leang Burung 2, a Late Pleistocene rock-shelter site on the Indonesian island of Sulawesi","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0193025&type=printable"
"10.5281/zenodo.6396030",2003,81,"Chronology of the Neolithic Transition in Island Southeast Asia and the Western Pacific: A View from 2003","https://doi.org/10.5281/zenodo.6396030"
"10.1038/s41467-022-29923-z",2022,77,"A Middle Pleistocene Denisovan molar from the Annamite Chain of northern Laos","https://www.nature.com/articles/s41467-022-29923-z.pdf"
"10.22459/ta48.11.2018.12",2018,74,"Mansiri in North Sulawesi: A new dentate-stamped pottery site in Island Southeast Asia","https://doi.org/10.22459/ta48.11.2018.12"
"10.3390/genes12070965",2021,74,"Mitogenomes Reveal Two Major Influxes of Papuan Ancestry across Wallacea Following the Last Glacial Maximum and Austronesian Contact","https://www.mdpi.com/2073-4425/12/7/965/pdf?version=1625536734"
"10.1353/asi.2018.0015",2018,73,"New Data from an Open Neolithic Site in Eastern Indonesia","https://muse.jhu.edu/pub/5/article/704187"
"10.1029/2012jd018060",2012,73,"The influence of Indian Ocean atmospheric circulation on Warm Pool hydroclimate during the Holocene epoch","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2012JD018060"
"10.1371/journal.pone.0251407",2021,72,"The first quantitative assessment of radiocarbon chronologies for initial pottery in Island Southeast Asia supports multi-directional Neolithic dispersal","https://doi.org/10.1371/journal.pone.0251407"
"10.1371/journal.pone.0141614",2015,68,"Unique Dental Morphology of Homo floresiensis and Its Evolutionary Implications","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0141614&type=printable"
"10.1080/004382400409934",2000,67,"Political dynamics and religious change in the late pre-colonial Banda Islands, Eastern Indonesia","https://www.tandfonline.com/doi/abs/10.1080/004382400409934"
"10.1073/pnas.1619013114",2017,67,"Early human symbolic behavior in the Late Pleistocene of Wallacea","https://www.pnas.org/content/pnas/114/16/4105.full.pdf"
"10.1353/asi.2009.0002",2009,59,"Changing Marine Exploitation During Late Pleistocene in Northern Wallacea: Shell Remains from Leang Sarru Rockshelter in Talaud Islands","https://muse.jhu.edu/pub/5/article/399925"
"10.22459/ta45.03.2017",2017,59,"New Perspectives in Southeast Asian and Pacific Prehistory","https://press-files.anu.edu.au/downloads/press/n2320/pdf/book.pdf"
"10.1038/s41598-019-42670-4",2019,57,"Savanna in equatorial Borneo during the late Pleistocene","https://www.nature.com/articles/s41598-019-42670-4.pdf"
"10.1537/ase.080411",2009,57,"The origin of Homo floresiensis and its relation to evolutionary processes under isolation","https://www.jstage.jst.go.jp/article/ase/117/1/117_080411/_pdf"
