site_id,site_name,lat,lon,coord_precision,region,country,date_bp,date_type,date_error,lab_code,cal_bp_2sigma_lo,cal_bp_2sigma_hi,site_type,context_detail,material_dated,cultural_period,species,n_volcanoes_200km,dist_nearest_volcano_km,tap_index,source_doi,source_citation,source_table,confidence,notes
NUSARC-0001,Song Terus,-8.017,110.917,approximate,Java,ID,60000,relative,,,,,,cave,Gunung Sewu karst cave - south coast Java,bone,Upper_Paleolithic,Homo_sapiens,12,153.5,0.8,,Semah et al. 2023,,high,H. sapiens teeth; far from volcanic plain
NUSARC-0002,Trinil,-7.374,111.358,exact,Java,ID,500000,relative,,,,,,river_terrace,Solo River terrace - Ngawi,bone,Lower_Paleolithic,Homo_erectus,8,121.6,0.6,10.1038/s41586-019-1273-1,Dubois 1894; Huffman et al. 2010,,high,H. erectus type site; exposed by river erosion
NUSARC-0003,Sangiran,-7.450,110.850,approximate,Java,ID,1600000,relative,,,,,,river_terrace,Solo basin dome - eroded by Cemoro River,bone,Lower_Paleolithic,Homo_erectus,10,169.3,0.7,,von Koenigswald 1940; Larick et al. 2001,,high,UNESCO World Heritage; anticlinal dome exposed by erosion
NUSARC-0004,Wajak,-8.033,111.500,approximate,Java,ID,28000,C14,,,,,,cave,Tulungagung karst cave - East Java,bone,Upper_Paleolithic,Homo_sapiens,10,89.7,0.7,,Dubois 1922; Storm et al. 2013,,medium,H. sapiens; original Dubois find
NUSARC-0005,Lida Ajer,-0.500,100.650,approximate,Sumatra,ID,68000,luminescence,,,63000,73000,cave,Karst cave in Padang Highlands - far from Barisan axis,tooth_enamel,Upper_Paleolithic,Homo_sapiens,15,80.0,0.7,10.1038/nature23452,Westaway et al. 2017,Table 1,high,U-series/ESR dating of H. sapiens teeth
NUSARC-0006,Liang Metanduno,-5.000,122.600,approximate,Sulawesi,ID,67800,U-series,,,,,,cave,Muna Island cave - minimal local volcanism,pigment,Upper_Paleolithic,Homo_sapiens,5,120.0,0.4,10.1038/s41586-024-08490-7,Oktaviana et al. 2026,,high,Oldest dated rock art in the world
NUSARC-0007,Laili Cave,-8.650,127.100,approximate,Nusa_Tenggara,TL,44600,C14,,,,,,cave,Karst cave in Timor-Leste,charcoal,Upper_Paleolithic,Homo_sapiens,8,150.0,0.5,10.1016/j.quascirev.2017.06.019,Hawkins et al. 2017,,high,Late Pleistocene occupation sequence
NUSARC-0008,Tabon Cave,9.300,117.900,approximate,Philippines,PH,47000,C14,,,,,,cave,Palawan - low volcanism area,bone,Upper_Paleolithic,Homo_sapiens,10,200.0,0.3,,Detroit et al. 2004,,high,Key Pleistocene site for Philippines
NUSARC-0009,Golo Cave,2.300,128.300,approximate,Maluku,ID,36000,C14,,,,,,cave,Morotai Island cave,charcoal,Upper_Paleolithic,Homo_sapiens,8,100.0,0.5,,Bellwood 1998,,medium,One of oldest Maluku sites
NUSARC-0010,Niah Cave,3.820,110.870,exact,Kalimantan,MY,40000,C14,,,,,,cave,Great Cave - Sarawak karst,charcoal,Upper_Paleolithic,Homo_sapiens,0,500.0,0.0,10.1016/j.jhevol.2006.12.002,Barker et al. 2007,,high,KEY CONTROL - zero volcanoes; Deep Skull
NUSARC-0011,Liang Bua,-8.530,120.440,exact,Nusa_Tenggara,ID,95000,U-series,,,,,,cave,Limestone cave in western Flores,bone,Lower_Paleolithic,Homo_floresiensis,6,50.0,0.5,10.1038/nature17179,Sutikna et al. 2016,,high,H. floresiensis type site
NUSARC-0012,Christmas River,-24.100,46.200,approximate,Madagascar,MG,10500,C14,,,,,,open_air,Open-air site with megafauna remains,bone,Mesolithic,Homo_sapiens,0,500.0,0.0,10.1126/sciadv.aat6925,Hansford et al. 2018,,high,KEY - oldest human evidence Madagascar; OPEN-AIR
