concept,n_languages,languages,forms,pan_known
if,6,Bugis|Bugis|Makassar|Wolio|Toraja-Sadan|Tolaki,nakko|rekko|punna|ande|iake|mano,
to bite,5,Muna|Wolio|Wolio|Wolio|Tolaki,aesia|bembaru|papaki|tompa|kaa,
"to tie up, fasten",5,Muna|Bugis|Makassar|Toraja-Sadan|Tolaki,aekooli|mas-sio|aññikkoʔ|pori|onggo,
"to cut, hack",5,Muna|Wolio|Wolio|Tolaki|Tolaki,aebhera|[kayu] ndamu|laelae|pole'i|pole,
grass,5,Muna|Bugis|Bugis|Toraja-Sadan|Tolaki,karuku|sarii|sərii|riu|rembu,
to throw,5,Bugis|Makassar|Wolio|Toraja-Sadan|Tolaki,maʔ-dempəʔ|aññambila|banaka|tibe|kali,
they,5,Bugis|Makassar|Wolio|Tolaki|Tolaki,ia-manəŋ|iya ŋasɛŋ|[maŋa] incia|mehira|mehiro,
big,5,Makassar|Wolio|Wolio|Toraja-Sadan|Tolaki,lompo|maoge|lewa|kapua|wo'ose,
to yawn,4,Muna|Bugis|Makassar|Wolio,andiwawa|maŋ-aleale|aʔlaulau|pomea,
wife,4,Muna|Muna|Wolio|Tolaki,mie no lambu|anahi|mañcuana [bawine]|tina,
to hunt,4,Muna|Bugis|Makassar|Toraja-Sadan,ahulo|rəŋŋəŋ|andoaŋ|lola,
to hide,4,Muna|Bugis|Wolio|Tolaki,aekope|maʔkasubbu|opo|hi'i,
how?,4,Muna|Muna|Makassar|Tolaki,pedahai|pedahamai|antekamma|mombake hawo,
to lie down,4,Bugis|Bugis|Toraja-Sadan|Tolaki,lewuu|liwuu|mammaʔ|mo'iso'iso,
to split,4,Bugis|Bugis|Makassar|Wolio,pueʔ|pue|ammuɛ|weta,
"dull, blunt",4,Bugis|Makassar|Wolio|Toraja-Sadan,ma-kunru|pokkoloʔ|makundu|ma-pumpu,
to fall,4,Bugis|Makassar|Toraja-Sadan|Tolaki,mabuəŋ|tuʔguruʔ|tobaŋ|mo'isa,
warm,4,Bugis|Makassar|Wolio|Tolaki,ma-pəlla|bambaŋ|masodo|mokula,
small,4,Bugis|Bugis|Makassar|Tolaki,ma-biccuʔ|ma-rənniʔ|caʔdi|mohewu,
where?,4,Bugis|Makassar|Wolio|Tolaki,kegi|kɛmàɛ|i apai|humbee,
to breathe,4,Makassar|Wolio|Tolaki|Tolaki,aʔmaiʔ|poinuñca|mehonahona|penao,
to chew,4,Makassar|Wolio|Wolio|Tolaki,añcaʔma|naŋku|paŋa|kaa,
"no, not",4,Makassar|Makassar|Toraja-Sadan|Tolaki,taɛna|tɛna|taeʔ|oki,
Twenty,4,Makassar|Wolio|Toraja-Sadan|Tolaki,ruampulo|rua pulu|duaŋpulo|ruambulo,
Fifty,4,Makassar|Wolio|Toraja-Sadan|Tolaki,limampulo|lima pulu|limaŋpulo|limambulo,
One Hundred,4,Makassar|Wolio|Toraja-Sadan|Tolaki,sibilaŋŋaŋ|saatu|saratuʔ|aso'etu,
to turn,3,Muna|Wolio|Wolio,apingka|lari|beŋku,
back,3,Muna|Bugis|Tolaki,towu|monri|bunggu,
intestines,3,Muna|Wolio|Toraja-Sadan,ghule-ghule|ŋkaluŋkalu|tambuk,
to swell,3,Muna|Wolio|Wolio,notente|tente|gende,
worm (earthworm),3,Muna|Toraja-Sadan|Tolaki,ghundeletu|kalintiŋ|uleule,
to flow,3,Muna|Wolio|Tolaki,nosolo|siwulu|lumaa,
woods/forest,3,Muna|Wolio|Tolaki,karumbu|koo|ahoma,
wet,3,Muna|Bugis|Tolaki,nomeme|ma-ricaʔ|meiwoi,
and,3,Muna|Bugis|Tolaki,bhe|sibawa|ronga,
thatch/roof,3,Bugis|Makassar|Wolio,pabbiŋəŋ|pattoŋkoʔ|pada,
"to stab, pierce",3,Bugis|Bugis|Makassar,maʔ-gajaŋ|soppaʔ|annoboʔ,
"to open, uncover",3,Bugis|Makassar|Tolaki,timpaʔ|aññuŋkɛ|hungga,
to fly,3,Bugis|Wolio|Tolaki,luttu|polaka|lumaa,
rotten,3,Bugis|Makassar|Toraja-Sadan,ma-kəbboŋ|bottoʔ|bosi,
salt,3,Bugis|Makassar|Tolaki,pəjje|cɛʔla|peanihi,
green,3,Bugis|Makassar|Tolaki,ma-kudaraʔ|moncoŋ bulo|mo'osu,
short,3,Bugis|Toraja-Sadan|Tolaki,ma-poncoʔ|kondiʔ|putu,
narrow,3,Bugis|Makassar|Tolaki,ma-cipi|ecereʔ|mohewu,
good,3,Bugis|Wolio|Tolaki,ma-deceŋ|malape|meambo,
near,3,Bugis|Wolio|Tolaki,ma-caweʔ|makasu|merambi,
who?,3,Bugis|Toraja-Sadan|Tolaki,niga|[m]inda|inae,
all,3,Bugis|Wolio|Tolaki,manəŋ|maliŋu|luwuako-,
Eight,3,Bugis|Makassar|Tolaki,arua|sagantuju|hoalu,
to cry,3,Makassar|Tolaki|Tolaki,aŋŋarruʔ|umi'ia|hono,
to vomit,3,Makassar|Makassar|Tolaki,laŋŋɛ|taʔlaŋŋɛ|mo'ua,
to spit,3,Makassar|Toraja-Sadan|Tolaki,appiʔru|met-tudu|mo'eni,
leaf,3,Makassar|Wolio|Tolaki,lɛkoʔ|tawa|tawa,
dry,3,Makassar|Wolio|Tolaki,kalotoroʔ|matuu|mowatu,
that,3,Makassar|Wolio|Tolaki,añjo|humai|nggitu'o,
other,3,Makassar|Wolio|Toraja-Sadan,maraɛŋ|mosagaanana|seŋaʔ,
to sleep,3,Wolio|Toraja-Sadan|Tolaki,kole|mammaʔ|mo'iso,
to sew,3,Wolio|Toraja-Sadan|Tolaki,posorumba|dasiʔ|moseu,
"to pound, beat",3,Wolio|Wolio|Tolaki,purokoti|pasaki|moaliali,
Six,3,Wolio|Wolio|Toraja-Sadan,nama|ʔana|annan,
road/path,2,Muna|Makassar,kangkaha|agaŋ,
to cook,2,Muna|Makassar,aegau|appallu,
husband,2,Muna|Tolaki,mie no lambu|langgai,
to plant,2,Muna|Tolaki,aeladu|mombaho,
to count,2,Muna|Tolaki,aefeapi|do'a,
to walk,2,Bugis|Bugis,joppa|jokka,
to squeeze,2,Bugis|Makassar,tassipi|ammaccoʔ,
meat/flesh,2,Bugis|Tolaki,juku|ramo,
leg/foot,2,Makassar|Toraja-Sadan,baŋkeŋ|letteʔ,
to fear,2,Makassar|Tolaki,mallaʔ|motaku,
"to sniff, smell",2,Makassar|Tolaki,aŋŋaraʔ|siusiu,
to laugh,2,Makassar|Tolaki,ammakkalaʔ|mototao,
to dream,2,Makassar|Tolaki,assoʔna|mo'ipi,
"to live, be alive",2,Makassar|Tolaki,tallasaʔ|laa,
to grow,2,Makassar|Tolaki,attimbo|toro,
