language,concept,form,cognacy,tags
Muna,road/path,kangkaha,,RESIDUAL
Muna,to turn,apingka,,RESIDUAL
Muna,back,towu,,RESIDUAL
Muna,intestines,ghule-ghule,,RESIDUAL
Muna,to cook,aegau,,RESIDUAL
Muna,to bite,aesia,,RESIDUAL
Muna,to see,aewura,,RESIDUAL
Muna,to see,aewora,,RESIDUAL
Muna,to yawn,andiwawa,,RESIDUAL
Muna,husband,mie no lambu,,RESIDUAL
Muna,wife,mie no lambu,,RESIDUAL
Muna,wife,anahi,,RESIDUAL
Muna,rope,kakoo,,RESIDUAL
Muna,"to tie up, fasten",aekooli,,RESIDUAL
Muna,to hunt,ahulo,,RESIDUAL
Muna,to hit,aewogha,,RESIDUAL
Muna,"to cut, hack",aebhera,,RESIDUAL
Muna,to plant,aeladu,,RESIDUAL
Muna,to swell,notente,,RESIDUAL
Muna,worm (earthworm),ghundeletu,,RESIDUAL
Muna,to flow,nosolo,,RESIDUAL
Muna,lake,katebho,,RESIDUAL
Muna,wet,nomeme,,RESIDUAL
Muna,red,dea,,RESIDUAL
Muna,to hide,aekope,,RESIDUAL
Muna,below,we panda,,RESIDUAL
Muna,and,bhe,,RESIDUAL
Muna,how?,pedahai,,RESIDUAL
Muna,how?,pedahamai,,RESIDUAL
Muna,to count,aefeapi,,RESIDUAL
Muna,One Thousand,riwu,,RESIDUAL
Bugis,to walk,joppa,,RESIDUAL
Bugis,to walk,jokka,,RESIDUAL
Bugis,back,monri,,RESIDUAL
Bugis,belly,baua,,RESIDUAL
Bugis,hair,gəmməʔ,,RESIDUAL
Bugis,ear,doccili,,RESIDUAL
Bugis,to yawn,maŋ-aleale,,RESIDUAL
Bugis,to lie down,lewuu,,RESIDUAL
Bugis,to lie down,liwuu,,RESIDUAL
Bugis,to stand,təttoŋ,,RESIDUAL
Bugis,woman/female,makunrai,,RESIDUAL
Bugis,thatch/roof,pabbiŋəŋ,,RESIDUAL
Bugis,to say,mak-kədaa,,RESIDUAL
Bugis,to say,pau,,RESIDUAL
Bugis,rope,tulu,,RESIDUAL
Bugis,to hunt,rəŋŋəŋ,,RESIDUAL
Bugis,"to stab, pierce",soppaʔ,,RESIDUAL
Bugis,to hit,tətteʔ,,RESIDUAL
Bugis,to steal,mennau,,RESIDUAL
Bugis,to split,pueʔ,,RESIDUAL
Bugis,to split,pue,,RESIDUAL
Bugis,"dull, blunt",ma-kunru,,RESIDUAL
Bugis,to squeeze,tassipi,,RESIDUAL
Bugis,to hold,mak-katənni,,RESIDUAL
Bugis,"to open, uncover",timpaʔ,,RESIDUAL
Bugis,to throw,maʔ-dempəʔ,,RESIDUAL
Bugis,to fall,mabuəŋ,,RESIDUAL
Bugis,to fly,luttu,,RESIDUAL
Bugis,meat/flesh,juku,,RESIDUAL
Bugis,fat/grease,lunraʔ,,RESIDUAL
Bugis,rotten,ma-kəbboŋ,,RESIDUAL
Bugis,grass,sarii,,RESIDUAL
Bugis,grass,sərii,,RESIDUAL
Bugis,salt,pəjje,,RESIDUAL
Bugis,cloud,əlluŋ,,RESIDUAL
Bugis,to blow,mat-tappoʔ,,RESIDUAL
Bugis,warm,ma-pəlla,,RESIDUAL
Bugis,wet,ma-ricaʔ,,RESIDUAL
Bugis,heavy,ma-tanəʔ,,RESIDUAL
Bugis,red,ma-cəllaʔ,,RESIDUAL
Bugis,small,ma-biccuʔ,,RESIDUAL
Bugis,small,ma-rənniʔ,,RESIDUAL
Bugis,short,ma-poncoʔ,,RESIDUAL
Bugis,thick,ma-umpəʔ,,RESIDUAL
Bugis,narrow,ma-cipi,,RESIDUAL
Bugis,good,ma-deceŋ,,RESIDUAL
Bugis,to hide,maʔkasubbu,,RESIDUAL
Bugis,near,ma-caweʔ,,RESIDUAL
Bugis,where?,kegi,,RESIDUAL
Bugis,they,ia-manəŋ,,RESIDUAL
Bugis,who?,niga,,RESIDUAL
Bugis,and,sibawa,,RESIDUAL
Bugis,if,nakko,,RESIDUAL
Bugis,if,rekko,,RESIDUAL
Bugis,Eight,arua,,RESIDUAL
Makassar,leg/foot,baŋkeŋ,,RESIDUAL
Makassar,to come,battu,,RESIDUAL
Makassar,dirty,raʔmasaʔ,,RESIDUAL
Makassar,dust,alimbuʔbuʔ,,RESIDUAL
Makassar,skin,bukku lɛŋ,,RESIDUAL
Makassar,nose,kaʔmuru,,RESIDUAL
Makassar,to breathe,aʔmaiʔ,,RESIDUAL
Makassar,"to sniff, smell",aŋŋaraʔ,,RESIDUAL
Makassar,to cry,aŋŋarruʔ,,RESIDUAL
Makassar,to vomit,laŋŋɛ,,RESIDUAL
Makassar,to vomit,taʔlaŋŋɛ,,RESIDUAL
Makassar,to spit,appiʔru,,RESIDUAL
Makassar,to chew,añcaʔma,,RESIDUAL
Makassar,to cook,appallu,,RESIDUAL
Makassar,to see,acciniʔ,,RESIDUAL
Makassar,to yawn,aʔlaulau,,RESIDUAL
Makassar,to dream,assoʔna,,RESIDUAL
Makassar,to sit,ammempo,,RESIDUAL
Makassar,to stand,ammenteŋ,,RESIDUAL
Makassar,father,maŋgɛ,,RESIDUAL
Makassar,thatch/roof,pattoŋkoʔ,,RESIDUAL
Makassar,to say,aŋkana,,RESIDUAL
Makassar,rope,otɛrɛʔ,,RESIDUAL
Makassar,"to tie up, fasten",aññikkoʔ,,RESIDUAL
Makassar,"to stab, pierce",annoboʔ,,RESIDUAL
Makassar,to hit,annunruŋ,,RESIDUAL
Makassar,to steal,allukka,,RESIDUAL
Makassar,"to live, be alive",tallasaʔ,,RESIDUAL
Makassar,to split,ammuɛ,,RESIDUAL
Makassar,"dull, blunt",pokkoloʔ,,RESIDUAL
Makassar,to grow,attimbo,,RESIDUAL
Makassar,to squeeze,ammaccoʔ,,RESIDUAL
Makassar,to hold,annaʔgalaʔ,,RESIDUAL
Makassar,to dig,aŋŋɛkɛ,,RESIDUAL
Makassar,"to open, uncover",aññuŋkɛ,,RESIDUAL
Makassar,to throw,aññambila,,RESIDUAL
Makassar,dog,koŋkoŋ,,RESIDUAL
Makassar,bird,jaŋanɟaŋaŋ,,RESIDUAL
Makassar,egg,bayâo,,RESIDUAL
Makassar,wing,kaʔñiʔ,,RESIDUAL
Makassar,fish,jukuʔ,,RESIDUAL
Makassar,rotten,bottoʔ,,RESIDUAL
Makassar,leaf,lɛkoʔ,,RESIDUAL
Makassar,fruit,rapporappo,,RESIDUAL
Makassar,water,jeʔneʔ,,RESIDUAL
Makassar,sea,tamparaŋ,,RESIDUAL
Makassar,salt,cɛʔla,,RESIDUAL
Makassar,cloud,rammaŋ,,RESIDUAL
Makassar,warm,bambaŋ,,RESIDUAL
Makassar,fire,pɛpɛʔ,,RESIDUAL
Makassar,black,lɛʔlɛŋ,,RESIDUAL
Makassar,white,kɛboʔ,,RESIDUAL
Makassar,red,ɛja,,RESIDUAL
Makassar,green,moncoŋ bulo,,RESIDUAL
Makassar,small,caʔdi,,RESIDUAL
Makassar,big,lompo,,RESIDUAL
Makassar,narrow,ecereʔ,,RESIDUAL
Makassar,"bad, evil",kodi,,RESIDUAL
Makassar,when?,riŋapanna,,RESIDUAL
Makassar,that,añjo,,RESIDUAL
Makassar,where?,kɛmàɛ,,RESIDUAL
Makassar,they,iya ŋasɛŋ,,RESIDUAL
Makassar,if,punna,,RESIDUAL
Makassar,how?,antekamma,,RESIDUAL
Makassar,"no, not",taɛna,,RESIDUAL
Makassar,"no, not",tɛna,,RESIDUAL
Makassar,Eight,sagantuju,,RESIDUAL
Makassar,Twenty,ruampulo,,RESIDUAL
Makassar,Fifty,limampulo,,RESIDUAL
Makassar,One Hundred,sibilaŋŋaŋ,,RESIDUAL
Makassar,One Thousand,sisaʔbu,,RESIDUAL
Wolio,to come,kawa,,RESIDUAL
Wolio,to come,umba,,RESIDUAL
Wolio,to turn,lari,,RESIDUAL
Wolio,to turn,beŋku,,RESIDUAL
Wolio,intestines,ŋkaluŋkalu,,RESIDUAL
Wolio,head,baa,,RESIDUAL
Wolio,to breathe,poinuñca,,RESIDUAL
Wolio,to chew,naŋku,,RESIDUAL
Wolio,to chew,paŋa,,RESIDUAL
Wolio,to drink,sumpu,,RESIDUAL
Wolio,to bite,bembaru,,RESIDUAL
Wolio,to bite,papaki,,RESIDUAL
Wolio,to bite,tompa,,RESIDUAL
Wolio,to see,kamata,,RESIDUAL
Wolio,to yawn,pomea,,RESIDUAL
Wolio,to sleep,kole,,RESIDUAL
Wolio,to sit,uncura,,RESIDUAL
Wolio,wife,mañcuana [bawine],,RESIDUAL
Wolio,thatch/roof,pada,,RESIDUAL
Wolio,name,saro,,RESIDUAL
Wolio,to say,kooni,,RESIDUAL
Wolio,rope,puloli,,RESIDUAL
Wolio,to sew,posorumba,,RESIDUAL
Wolio,needle,sorumba,,RESIDUAL
Wolio,to hit,bebe,,RESIDUAL
Wolio,to hit,rambi,,RESIDUAL
Wolio,to scratch,kaŋkaru,,RESIDUAL
Wolio,"to cut, hack",[kayu] ndamu,,RESIDUAL
Wolio,"to cut, hack",laelae,,RESIDUAL
Wolio,to split,weta,,RESIDUAL
Wolio,"dull, blunt",makundu,,RESIDUAL
Wolio,to swell,tente,,RESIDUAL
Wolio,to swell,gende,,RESIDUAL
Wolio,to hold,keni,,RESIDUAL
Wolio,to fly,polaka,,RESIDUAL
Wolio,rat,bokoti,,RESIDUAL
Wolio,tail,lenci,,RESIDUAL
Wolio,mosquito,kawaowaode,,RESIDUAL
Wolio,leaf,tawa,,RESIDUAL
Wolio,root,kulese,,RESIDUAL
Wolio,to flow,siwulu,,RESIDUAL
Wolio,sea,andala,,RESIDUAL
Wolio,woods/forest,koo,,RESIDUAL
Wolio,sky,bula,,RESIDUAL
Wolio,cloud,ta'ina ŋalu,,RESIDUAL
Wolio,rain,wao,,RESIDUAL
Wolio,lightning,berese,,RESIDUAL
Wolio,to blow,towii,,RESIDUAL
Wolio,dry,matuu,,RESIDUAL
Wolio,heavy,matamo,,RESIDUAL
Wolio,fire,waa,,RESIDUAL
Wolio,to burn,maŋau,,RESIDUAL
Wolio,ashes,walo,,RESIDUAL
Wolio,big,maoge,,RESIDUAL
Wolio,big,lewa,,RESIDUAL
Wolio,wide,maewa,,RESIDUAL
Wolio,"painful, sick",mapii,,RESIDUAL
Wolio,to hide,opo,,RESIDUAL
