culture,Belief in god(s),Belief in nature god(s),Belief in deified ancestor(s),Belief in ancestral spirits,Belief in nature spirits,Supernatural punishment for impiety,Actions of others after death affect afterlife,One's actions while living affect afterlife,Belief in culture hero(es),Mana as concept,Costly sacrifices and offerings
Southern Toraja,Present (major focus),Present (major focus),Present (major focus),Present (major focus),Present (major focus),Present (minor),Present (major focus),Present (minor),Present (major focus),Absent,Present (minor)
Eastern Toraja,Present (major focus),Present (major focus),Present (major focus),Principal focus,Present (major focus),Present (minor),Present (minor),Present (minor),Present (minor),Present (minor),Present (minor)
Merina,Present (major focus),Present (minor),Present (major focus),Present (major focus),Present (minor),Present (minor),Present (minor),Present (minor),Present (major focus),Absent,Present (minor)
Tanala,Present (major focus),Present (minor),Absent,Principal focus,Present (minor),Present (minor),Present (minor),Present (minor),Absent,Absent,Absent
Siraya,Principal focus,,Absent,Absent,,Present (minor),Present (major focus),Present (minor),,Absent,Present (minor)
Ata Tana 'Ai,Present (major focus),Absent,Present (major focus),Present (major focus),Absent,Present (minor),Present (major focus),,,Absent,Present (minor)
Tanna,Present (major focus),Present (major focus),Present (major focus),Present (minor),Present (major focus),Present (minor),Present (major focus),Present (minor),Absent,Present (minor),Present (minor)
Trobriand Islands,Absent,Absent,Principal focus,Present (major focus),Present (minor),Present (minor),Present (major focus),Absent,Present (major focus),Absent,Present (minor)
Simbo,Present (major focus),Present (minor),Absent,Present (major focus),Present (major focus),Present (minor),Present (major focus),Present (minor),Absent,Present (minor),Present (minor)
Berawan,Present (major focus),Present (major focus),Present (major focus),Present (major focus),Present (minor),Present (minor),Present (major focus),Present (minor),Present (major focus),Absent,Absent
Subanun,Present (major focus),Absent,Absent,Present (major focus),Present (major focus),Present (minor),Present (major focus),Absent,Absent,Absent,Present (minor)
Tetum,Present (minor),Present (minor),Absent,Present (major focus),Present (major focus),Present (minor),Present (major focus),Absent,Present (minor),Absent,Present (minor)
Roviana,Present (major focus),Present (major focus),Present (major focus),Present (major focus),Absent,Present (minor),Present (major focus),Absent,Present (major focus),Present (minor),Present (minor)
Small Islands,Present (major focus),Present (minor),Present (major focus),Present (minor),Absent,Present (minor),Present (major focus),Present (minor),Present (minor),Absent,Present (minor)
Marquesas,Present (major focus),Absent,Present (major focus),Present (major focus),Absent,Present (minor),Present (major focus),Absent,Present (minor),Present (minor),Present (minor)
Laboya,Present (major focus),Present (minor),Present (major focus),Present (minor),Absent,Present (minor),Present (major focus),Present (minor),Present (major focus),Absent,Present (minor)
Iban,Present (major focus),Present (major focus),Present (minor),Present (minor),Present (major focus),Present (minor),Present (major focus),Absent,Absent,Present (minor),Present (minor)
Toba Batak,Present (major focus),Present (major focus),Principal focus,Present (major focus),Present (minor),Present (minor),Present (major focus),Present (minor),Absent,Absent,Present (minor)
Manus (Titan),Present (major focus),Absent,Absent,Present (major focus),Present (minor),Present (minor),Present (major focus),Absent,Absent,Absent,Absent
Kalinga,Present (major focus),Present (minor),Present (minor),Present (minor),Present (minor),Present (minor),Present (major focus),Present (minor),Present (minor),Absent,Present (minor)
Visayans,Present (major focus),Present (major focus),Absent,Present (major focus),Present (major focus),Present (minor),Present (major focus),Present (minor),Present (minor),Absent,Present (minor)
Roti,Present (minor),Absent,Present (major focus),Principal focus,Absent,Present (minor),Present (major focus),Present (minor),Absent,Present (minor),Present (minor)
Karo,Present (minor),Present (major focus),Present (major focus),Principal focus,Present (major focus),Present (minor),Present (major focus),Present (minor),Present (minor),Absent,Present (minor)
Tinguian,Principal focus,Present (minor),Absent,Present (minor),Present (minor),Present (minor),Present (major focus),Absent,Absent,Absent,Present (minor)
