culture,culture_id,latitude,longitude,soil_ph,has_full_mortuary_package
Aeta,aeta,15.3,120.4,6.0,no
Ajie,ajie,-21.3,165.6,5.6,no
Alune,alune,-3.1,128.5,4.9,no
Ami,ami,23.4,121.4,5.1,no
Aneityum,aneityum,-20.2,169.8,5.4,no
Anuta,anuta,-11.6,169.8,,no
Arosi,arosi,-10.3,161.3,5.3,no
Ata Tana 'Ai,ata-tana-aai,-8.6,122.6,6.2,yes
Atayal,atayal,24.4,121.3,4.8,no
Atoni,atoni,-9.7,124.3,6.1,no
Belep,belep,-19.7,163.6,,no
Bellona,bellona,-11.3,159.8,5.4,no
Berawan,berawan,3.8,114.5,4.8,yes
Besemah,besemah,-4.1,103.3,5.1,no
Biak,biak,-1.0,136.0,4.9,no
Bontok,bontok,17.1,121.1,5.4,no
Bughotu,bughotu,-8.5,159.8,5.3,no
Buka,buka,-5.2,154.6,5.2,no
Bukidnon,bukidnon,8.2,125.0,5.5,no
Bunun,bunun,23.5,120.5,5.9,no
Casiguran Dumagat,casiguran-dumagat,16.3,122.0,5.4,no
Chamorro,chamorro,13.5,144.8,5.7,no
Cheke Holo,cheke-holo,-8.3,159.6,5.2,no
Chuuk,chuuk,7.3,151.6,,no
Dobuans,dobuans,-9.6,150.8,5.5,no
Dusun,dusun,5.7,116.4,5.2,no
Eastern Sumbanese,eastern-sumbanese,-9.9,120.3,6.2,no
Eastern Toraja,eastern-toraja,-1.9,120.6,,yes
Erromango,erromango,-18.8,169.2,5.2,no
Fijians,fijians,-17.8,178.0,5.1,no
Futuna,futuna,-14.3,-178.0,,no
Futuna-Aniwa,futuna-west,-19.5,170.2,,no
Ga'dang,gaddang-pagan,17.2,121.5,5.7,no
Goodenough Island,goodenough-island,-9.3,150.2,5.2,no
Hawaiians,hawaiians,19.6,-155.5,6.7,no
Iban,iban,1.2,111.6,4.6,yes
Ifaluk,ifaluk,7.2,144.5,,no
Ifugao,ifugao,16.7,121.2,5.7,no
Isneg,isneg,18.1,121.2,5.4,no
Kalinga,kalinga,17.5,121.3,5.4,yes
