id,title,date,total_keywords,indic,pre_indic,ambiguous,pre_indic_ratio,pre_indic_keywords,ambiguous_keywords
1,Charter of Pucangan,1041 CE (963 Śaka),16,13,1,2,0.062,hyaṁ,samudra|danu
2,Charter of Masahar,852 Śaka (~930 CE),14,8,3,3,0.214,maṅhuri|panumbas|hyaṁ,samudra|samgat|sīma
3,Munggut charter,944 Śaka (~1022 CE),14,9,4,1,0.286,maṅhuri|hyang|karāman|hyaṁ,sīma
4,Alasantan,Unknown (Old Javanese period),13,7,2,4,0.154,maṅhuri|hyaṁ,samudra|samgat|sīma|śapatha
5,Adan-Adan,1223 Śaka (~1301 CE),12,7,2,3,0.167,wuku|hyaṁ,samudra|sapatha|sīma
6,Linggasuntan,851 Śaka (~929 CE),11,7,1,3,0.091,hyaṁ,sapatha|samgat|sīma
7,Mula-Malurung,Unknown (Old Javanese period),11,8,2,1,0.182,maṅhuri|hyaṁ,sīma
8,Rameswarapura charter,1197 Śaka (~1275 CE),11,6,2,3,0.182,maṅhuri|hyaṁ,parvvata|samudra|śapatha
9,Sangguran Charter,928 CE,11,6,1,4,0.091,hyaṁ,samudra|sapatha|samgat|sīma
10,Gulung-Gulung,851 Śaka (~929 CE),10,7,1,2,0.1,hyaṁ,samgat|sīma
