form_id,language,concept,form,label,form_length,n_vowels,vowel_ratio,ends_in_vowel,initial_char,has_glottal,has_nasal_cluster,has_reduplication,n_consonant_clusters,has_prefix_like,max_cognate_set_size,n_cognate_sets,concept_residual_rate,concept_cross_lang_count,semantic_domain,is_core_vocab,language_id_encoded,language_cognacy_coverage
27-1_hand-1,Muna,hand,lima,1,4,2,0.5,1,other,0,0,0,0,0,1102,2,0.0,0,BODY,1,2,0.718
27-2_left-1,Muna,left,kema,1,4,2,0.5,1,k,0,0,0,0,0,5,1,0.0,0,OTHER,0,2,0.718
27-3_right-1,Muna,right,suana,1,5,3,0.6,1,s,0,0,0,0,0,384,2,0.0,0,OTHER,0,2,0.718
27-4_legfoot-1,Muna,leg/foot,ghaghe,1,6,2,0.3333,1,other,0,0,0,2,0,559,1,0.3333,2,BODY,1,2,0.718
27-5_towalk-1,Muna,to walk,akala,1,5,3,0.6,1,a,0,0,0,0,0,2,1,0.2857,1,ACTION,1,2,0.718
27-6_roadpath-1,Muna,road/path,kangkaha,0,8,3,0.375,1,k,0,1,0,1,1,0,0,0.3333,2,NATURE,1,2,0.718
27-7_tocome-1,Muna,to come,amai,1,4,3,0.75,1,a,0,0,0,0,0,1125,1,0.625,4,ACTION,1,2,0.718
27-8_toturn-1,Muna,to turn,apingka,0,7,3,0.4286,1,a,0,1,0,1,0,0,0,0.5,3,ACTION,1,2,0.718
27-9_toswim-1,Muna,to swim,aleni,1,5,3,0.6,1,a,0,0,0,0,0,388,1,0.1667,1,ACTION,1,2,0.718
27-10_dirty-1,Muna,dirty,noraku,1,6,3,0.5,1,other,0,0,0,0,0,4,1,0.1667,1,NATURE,0,2,0.718
27-11_dust-1,Muna,dust,harabu,1,6,3,0.5,1,other,0,0,0,0,0,11,1,0.1429,1,NATURE,0,2,0.718
27-12_skin-1,Muna,skin,kuli,1,4,2,0.5,1,k,0,0,0,0,0,720,1,0.1429,1,BODY,1,2,0.718
27-13_back-1,Muna,back,towu,0,4,2,0.5,1,t,0,0,0,0,0,0,0,0.375,3,BODY,1,2,0.718
27-14_belly-1,Muna,belly,taghi,1,5,2,0.4,1,t,0,0,0,1,1,46,1,0.1667,1,BODY,1,2,0.718
27-15_bone-1,Muna,bone,buku,1,4,2,0.5,1,b,0,0,0,0,0,78,1,0.0,0,BODY,1,2,0.718
27-16_intestines-1,Muna,intestines,ghule-ghule,0,11,4,0.3636,1,other,0,0,1,2,0,0,0,0.5714,4,BODY,1,2,0.718
27-17_liver-1,Muna,liver,ghate,1,5,2,0.4,1,other,0,0,0,1,0,828,1,0.0,0,BODY,1,2,0.718
27-18_breast-1,Muna,breast,titi,1,4,2,0.5,1,t,0,0,1,0,0,27,1,0.0,0,BODY,1,2,0.718
27-19_shoulder-1,Muna,shoulder,ghowea,1,6,3,0.5,1,other,0,0,0,1,0,356,1,0.1429,1,BODY,1,2,0.718
27-20_toknowbeknowledgeable-1,Muna,"to know, be knowledgeable",apandehaane,1,11,6,0.5455,1,a,0,1,0,1,0,9,1,0.1667,1,ACTION,0,2,0.718
27-21_tothink-1,Muna,to think,aefekiri,0,8,5,0.625,1,a,0,0,0,0,0,0,0,0.5,3,ACTION,0,2,0.718
27-22_tofear-1,Muna,to fear,aotehi,1,6,4,0.6667,1,a,0,0,0,0,0,2,1,0.3333,2,ACTION,0,2,0.718
27-23_blood-1,Muna,blood,rea,1,3,2,0.6667,1,other,0,0,0,0,0,929,1,0.1667,1,BODY,1,2,0.718
27-24_head-1,Muna,head,fotu,1,4,2,0.5,1,other,0,0,0,0,0,44,1,0.1667,1,BODY,1,2,0.718
27-25_neck-1,Muna,neck,wughu,1,5,2,0.4,1,other,0,0,0,1,0,3,1,0.1667,1,BODY,1,2,0.718
27-26_hair-1,Muna,hair,wulu no fotu,1,12,5,0.4167,1,other,0,0,0,0,0,44,1,0.1667,1,BODY,1,2,0.718
27-27_nose-1,Muna,nose,nee,1,3,2,0.6667,1,other,0,0,0,0,0,4,1,0.1667,1,BODY,1,2,0.718
27-28_tobreathe-1,Muna,to breathe,afenei,1,6,4,0.6667,1,a,0,0,0,0,0,2,1,0.5714,3,ACTION,0,2,0.718
27-29_tosniffsmell-1,Muna,"to sniff, smell",aefewono,1,8,5,0.625,1,a,0,0,0,0,0,2,1,0.3333,2,ACTION,0,2,0.718
27-30_mouth-1,Muna,mouth,wubha,1,5,2,0.4,1,other,0,0,0,1,0,275,1,0.3333,2,BODY,1,2,0.718
27-31_tooth-1,Muna,tooth,wangka,1,6,2,0.3333,1,other,0,1,0,1,0,4,1,0.0,0,BODY,1,2,0.718
27-32_tongue-1,Muna,tongue,lela,1,4,2,0.5,1,other,0,0,0,0,0,393,1,0.0,0,BODY,1,2,0.718
27-33_tolaugh-1,Muna,to laugh,afu|taa,1,7,4,0.5714,1,a,0,0,0,0,0,118,1,0.3333,2,ACTION,1,2,0.718
27-34_tocry-1,Muna,to cry,aoghae,1,6,4,0.6667,1,a,0,0,0,1,0,2,1,0.375,2,ACTION,1,2,0.718
27-35_tovomit-1,Muna,to vomit,atongka,1,7,3,0.4286,1,a,0,1,0,1,0,592,1,0.4286,2,ACTION,1,2,0.718
27-36_tospit-1,Muna,to spit,afoghoniu,1,9,5,0.5556,1,a,0,0,0,1,0,3,1,0.4286,3,ACTION,0,2,0.718
27-37_toeat-1,Muna,to eat,afumaa,1,6,4,0.6667,1,a,0,0,0,0,0,2,1,0.1667,1,ACTION,1,2,0.718
27-38_tochew-1,Muna,to chew,aemama,1,6,4,0.6667,1,a,0,0,1,0,0,189,1,0.5,3,ACTION,0,2,0.718
27-39_tocook-1,Muna,to cook,aegau,0,5,4,0.8,1,a,0,0,0,0,0,0,0,0.3333,2,ACTION,0,2,0.718
27-40_todrink-1,Muna,to drink,aforoghu,1,8,4,0.5,1,a,0,0,0,1,0,2,1,0.2857,2,ACTION,1,2,0.718
27-41_tobite-1,Muna,to bite,aesia,0,5,4,0.8,1,a,0,0,0,0,0,0,0,0.625,3,ACTION,1,2,0.718
27-42_tosuck-1,Muna,to suck,aekomi,1,6,4,0.6667,1,a,0,0,0,0,0,36,1,0.0,0,OTHER,0,2,0.718
27-43_ear-1,Muna,ear,pongke,1,6,2,0.3333,1,p,0,1,0,1,1,2,1,0.1667,1,BODY,0,2,0.718
27-44_tohear-1,Muna,to hear,afetingke,1,9,4,0.4444,1,a,0,1,0,1,0,2,1,0.1667,1,ACTION,1,2,0.718
27-45_eye-1,Muna,eye,mata,1,4,2,0.5,1,m,0,0,0,0,1,1471,1,0.0,0,BODY,0,2,0.718
27-46_tosee-1,Muna,to see,aewura,0,6,4,0.6667,1,a,0,0,0,0,0,0,0,0.875,5,ACTION,1,2,0.718
27-46_tosee-2,Muna,to see,aewora,0,6,4,0.6667,1,a,0,0,0,0,0,0,0,0.875,5,ACTION,1,2,0.718
27-47_toyawn-1,Muna,to yawn,andiwawa,0,8,4,0.5,1,a,0,1,1,1,0,0,0,1.0,4,ACTION,0,2,0.718
27-48_tosleep-1,Muna,to sleep,aolodo,1,6,4,0.6667,1,a,0,0,0,0,0,2,1,0.5,3,ACTION,1,2,0.718
27-49_toliedown-1,Muna,to lie down,aendole,1,7,4,0.5714,1,a,0,1,0,1,0,2,1,0.5714,3,ACTION,1,2,0.718
27-50_todream-1,Muna,to dream,amonifi,1,7,4,0.5714,1,a,0,0,0,0,0,356,2,0.3333,2,ACTION,0,2,0.718
27-51_tosit-1,Muna,to sit,aengkora,1,8,4,0.5,1,a,0,1,0,1,0,3,1,0.5714,4,ACTION,1,2,0.718
27-52_tostand-1,Muna,to stand,aere,1,4,3,0.75,1,a,0,0,0,0,0,2,1,0.8333,5,ACTION,1,2,0.718
27-53_personhumanbeing-1,Muna,person/human being,mie,1,3,2,0.6667,1,m,0,0,0,0,0,51,1,0.1667,1,OTHER,1,2,0.718
27-54_manmale-1,Muna,man/male,moghane,1,7,3,0.4286,1,m,0,0,0,1,1,703,1,0.1429,1,OTHER,1,2,0.718
27-55_womanfemale-1,Muna,woman/female,robhine,1,7,3,0.4286,1,other,0,0,0,1,0,744,2,0.1667,1,OTHER,1,2,0.718
