language,language_id,group,n_forms,n_cognate,n_residual,rule_residual_rate,ml_substrate_rate,auc,mean_p_substrate
Balinese,1,W.Indonesian,294,202,92,0.3129,0.6293,0.5894,0.5674
Banggai,2,Sulawesi,208,110,98,0.4712,0.6202,0.6488,0.5788
Bantik,5,Sulawesi,233,167,66,0.2833,0.7382,0.6806,0.6778
Gorontalo,12,Sulawesi,215,144,71,0.3302,0.8419,0.5666,0.7599
Bima,14,E.Indonesian,246,155,91,0.3699,0.5325,0.6246,0.5367
Javanese,20,W.Indonesian,217,167,50,0.2304,0.129,0.6442,0.2407
Manggarai,84,E.Indonesian,235,158,77,0.3277,0.5064,0.6968,0.5027
Sasak,185,W.Indonesian,267,174,93,0.3483,0.5581,0.5789,0.5238
Malay,233,W.Indonesian,236,230,6,0.0254,0.1568,0.737,0.2396
Bol.Mongondow,240,Sulawesi,228,172,56,0.2456,0.0921,0.513,0.2574
Sundanese,284,W.Indonesian,217,161,56,0.2581,0.0184,0.6341,0.1923
Acehnese,648,W.Indonesian,237,112,125,0.5274,0.6287,0.6181,0.591
Totoli,748,Sulawesi,227,102,125,0.5507,0.6035,0.7373,0.5663
Kulisusu,884,Sulawesi,222,84,138,0.6216,0.6351,0.8002,0.6332
Kambowa,968,Sulawesi,211,54,157,0.7441,0.7393,0.6975,0.6792
Uma,999,Sulawesi,242,61,181,0.7479,0.719,0.8389,0.6942
Muna,27,Original,219,185,34,0.155,0.0457,0.8716,0.1657
Bugis,48,Original,242,180,62,0.223,0.1777,0.9102,0.2614
Makassar,166,Original,217,137,80,0.221,0.2535,0.8958,0.3567
Wolio,192,Original,254,171,83,0.253,0.185,0.8469,0.3231
Toraja-Sadan,226,Original,216,171,45,0.184,0.0787,0.8773,0.2136
Tolaki,674,Original,209,75,134,0.641,0.6459,0.9393,0.6348
