rank,language,concept,form,p_substrate,p_austronesian,e022_tier,form_length,vowel_ratio,ends_in_vowel,has_glottal,has_nasal_cluster,has_prefix_like,semantic_domain
1,Tolaki,to see,ki'ii,0.9927,0.0073,0,5,0.6,1,1,0,0,ACTION
2,Tolaki,to hold,po'indi,0.9915,0.0085,0,7,0.429,1,1,1,1,ACTION
3,Tolaki,"to cut, hack",pole'i,0.9897,0.0103,1,6,0.5,1,1,0,1,ACTION
4,Tolaki,to buy,po'oli,0.9897,0.0103,0,6,0.5,1,1,0,1,ACTION
5,Tolaki,to cry,umi'ia,0.9878,0.0122,3,6,0.667,1,1,0,0,ACTION
6,Tolaki,salt,peanihi,0.9875,0.0125,3,7,0.571,1,0,0,0,NATURE
7,Makassar,thatch/roof,pattoŋkoʔ,0.9871,0.0129,3,9,0.333,0,1,1,1,OTHER
8,Tolaki,that,nggitu'o,0.9862,0.0138,3,8,0.375,1,1,1,0,GRAMMAR
9,Tolaki,One Hundred,aso'etu,0.9856,0.0144,2,7,0.571,1,1,0,0,NUMBER
10,Tolaki,"to know, be knowledgeable",to'ori,0.985,0.015,0,6,0.5,1,1,0,0,ACTION
11,Tolaki,to vomit,mo'ua,0.9836,0.0164,3,5,0.6,1,1,0,1,ACTION
12,Tolaki,to hear,podea,0.9805,0.0195,0,5,0.6,1,0,0,1,ACTION
13,Tolaki,thou,inggo'o,0.9794,0.0206,0,7,0.429,1,1,1,0,GRAMMAR
14,Tolaki,to say,te'eni,0.9782,0.0218,0,6,0.5,1,1,0,0,ACTION
15,Tolaki,to spit,mo'eni,0.9772,0.0228,3,6,0.5,1,1,0,1,ACTION
16,Tolaki,to dream,mo'ipi,0.9772,0.0228,0,6,0.5,1,1,0,1,ACTION
17,Tolaki,to stand,menggokora,0.9768,0.0232,0,10,0.4,1,0,1,1,ACTION
18,Tolaki,to dig,metanggali,0.9768,0.0232,0,10,0.4,1,0,1,1,ACTION
19,Tolaki,to lie down,mo'iso'iso,0.9762,0.0238,2,10,0.5,1,1,0,1,ACTION
20,Tolaki,far,mondae,0.9759,0.0241,0,6,0.5,1,0,1,1,GRAMMAR
21,Tolaki,big,wo'ose,0.9725,0.0275,1,6,0.5,1,1,0,0,QUALITY
22,Tolaki,new,wo'ohu,0.9725,0.0275,0,6,0.5,1,1,0,0,QUALITY
23,Tolaki,he/she,i'ia,0.9657,0.0343,0,4,0.75,1,1,0,0,GRAMMAR
24,Tolaki,he/she,ie'i,0.9657,0.0343,0,4,0.75,1,1,0,0,GRAMMAR
25,Tolaki,to drink,mo'inu,0.9651,0.0349,0,6,0.5,1,1,0,1,ACTION
26,Tolaki,to sleep,mo'iso,0.9651,0.0349,3,6,0.5,1,1,0,1,ACTION
27,Tolaki,to fall,mo'isa,0.9651,0.0349,2,6,0.5,1,1,0,1,ACTION
28,Tolaki,"correct, true",meara'i,0.9635,0.0365,0,7,0.571,1,1,0,1,QUALITY
29,Tolaki,how?,mombake hawo,0.9628,0.0372,2,12,0.417,1,0,1,1,GRAMMAR
30,Tolaki,egg,ti'olu,0.9613,0.0387,0,6,0.5,1,1,0,0,BODY
31,Tolaki,near,merambi,0.961,0.039,3,7,0.429,1,0,1,1,GRAMMAR
32,Tolaki,black,me'eto,0.96,0.04,0,6,0.5,1,1,0,1,QUALITY
33,Tolaki,green,mo'osu,0.96,0.04,3,6,0.5,1,1,0,1,QUALITY
34,Tolaki,old,motu'o,0.96,0.04,0,6,0.5,1,1,0,1,QUALITY
35,Tolaki,long,mendaa,0.959,0.041,0,6,0.5,1,0,1,1,QUALITY
36,Tolaki,good,meambo,0.959,0.041,3,6,0.5,1,0,1,1,QUALITY
37,Tolaki,to fly,lumaa,0.9588,0.0412,3,5,0.6,1,0,0,0,ACTION
38,Tolaki,to flow,lumaa,0.9588,0.0412,3,5,0.6,1,0,0,0,ACTION
39,Tolaki,to steal,ponini,0.9556,0.0444,0,6,0.5,1,0,0,1,ACTION
40,Tolaki,root,akara,0.9513,0.0487,0,5,0.6,1,0,0,0,NATURE
41,Tolaki,woods/forest,ahoma,0.9513,0.0487,3,5,0.6,1,0,0,0,NATURE
42,Tolaki,heavy,mobea,0.9511,0.0489,0,5,0.6,1,0,0,1,QUALITY
43,Tolaki,red,momea,0.9511,0.0489,0,5,0.6,1,0,0,1,QUALITY
44,Tolaki,wide,molua,0.9511,0.0489,0,5,0.6,1,0,0,1,QUALITY
45,Tolaki,"bad, evil",mosaa,0.9511,0.0489,0,5,0.6,1,0,0,1,QUALITY
46,Tolaki,"to pound, beat",moaliali,0.9486,0.0514,3,8,0.625,1,0,0,1,ACTION
47,Tolaki,sharp,monggaso,0.9448,0.0552,0,8,0.375,1,0,1,1,QUALITY
48,Tolaki,to sew,moseu,0.9425,0.0575,3,5,0.6,1,0,0,1,ACTION
49,Tolaki,to blow,mepua,0.9425,0.0575,0,5,0.6,1,0,0,1,ACTION
50,Tolaki,this,inono,0.9404,0.0596,0,5,0.6,1,0,0,0,GRAMMAR
51,Makassar,to think,ammikkiriʔ,0.9397,0.0603,0,10,0.4,0,1,0,0,ACTION
52,Tolaki,to see,ki'i,0.9392,0.0608,0,4,0.5,1,1,0,0,ACTION
53,Tolaki,to hide,hi'i,0.9355,0.0645,2,4,0.5,1,1,0,0,ACTION
54,Tolaki,to count,do'a,0.9355,0.0645,0,4,0.5,1,1,0,0,ACTION
55,Tolaki,to work,mombaho,0.9338,0.0662,0,7,0.429,1,0,1,1,ACTION
56,Tolaki,to plant,mombaho,0.9338,0.0662,0,7,0.429,1,0,1,1,ACTION
57,Makassar,dust,alimbuʔbuʔ,0.9331,0.0669,0,10,0.4,0,1,1,0,NATURE
58,Tolaki,and,ronga,0.9324,0.0676,3,5,0.4,1,0,1,0,GRAMMAR
59,Tolaki,One Thousand,aso-sou,0.9305,0.0695,0,7,0.571,1,0,0,0,NUMBER
60,Tolaki,to turn,putara,0.9296,0.0704,3,6,0.5,1,0,0,0,ACTION
61,Tolaki,Fifty,limambulo,0.9295,0.0705,2,9,0.444,1,0,1,0,NUMBER
62,Tolaki,to breathe,penao,0.9273,0.0727,2,5,0.6,1,0,0,0,ACTION
63,Tolaki,I,inaku,0.9267,0.0733,0,5,0.6,1,0,0,0,GRAMMAR
64,Bugis,to hide,maʔkasubbu,0.9266,0.0734,2,10,0.4,1,1,0,1,ACTION
65,Makassar,to fear,mallaʔ,0.9264,0.0736,0,6,0.333,0,1,0,1,ACTION
66,Makassar,"to tie up, fasten",aññikkoʔ,0.9221,0.0779,1,8,0.375,0,1,0,0,ACTION
67,Tolaki,to laugh,mototao,0.9181,0.0819,0,7,0.571,1,0,0,1,ACTION
68,Toraja-Sadan,One Thousand,saŋsaʔbu,0.9155,0.0845,0,8,0.375,1,1,1,0,NUMBER
69,Tolaki,they,mehira,0.9151,0.0849,1,6,0.5,1,0,0,1,GRAMMAR
70,Tolaki,they,mehiro,0.9151,0.0849,1,6,0.5,1,0,0,1,GRAMMAR
71,Tolaki,tail,ekoro,0.9119,0.0881,0,5,0.6,1,0,0,0,BODY
72,Tolaki,wet,meiwoi,0.9105,0.0895,3,6,0.667,1,0,0,1,QUALITY
73,Makassar,"dull, blunt",pokkoloʔ,0.9074,0.0926,2,8,0.375,0,1,0,1,QUALITY
74,Tolaki,where?,humbee,0.9066,0.0934,2,6,0.5,1,0,1,0,GRAMMAR
75,Tolaki,Twenty,ruambulo,0.9044,0.0956,2,8,0.5,1,0,1,0,NUMBER
76,Tolaki,flower,wulele,0.8995,0.1005,0,6,0.5,1,0,0,0,NATURE
77,Tolaki,star,wotiti,0.8995,0.1005,0,6,0.5,1,0,0,0,NATURE
78,Tolaki,back,bunggu,0.8993,0.1007,3,6,0.333,1,0,1,0,BODY
79,Tolaki,worm (earthworm),uleule,0.8974,0.1026,3,6,0.667,1,0,0,0,OTHER
80,Tolaki,you,inggomiu,0.8963,0.1037,0,8,0.5,1,0,1,0,GRAMMAR
81,Tolaki,"to open, uncover",hungga,0.8942,0.1058,3,6,0.333,1,0,1,0,ACTION
82,Tolaki,sky,lahuene,0.8927,0.1073,0,7,0.571,1,0,0,0,NATURE
83,Makassar,green,moncoŋ bulo,0.892,0.108,3,11,0.364,1,0,1,1,QUALITY
84,Tolaki,all,luwuako,0.8918,0.1082,3,7,0.571,1,0,0,0,GRAMMAR
85,Makassar,to spit,appiʔru,0.8881,0.1119,3,7,0.429,1,1,0,0,ACTION
86,Makassar,to chew,añcaʔma,0.8881,0.1119,2,7,0.429,1,1,0,0,ACTION
87,Makassar,to dream,assoʔna,0.8881,0.1119,0,7,0.429,1,1,0,0,ACTION
88,Tolaki,to sit,mererehu,0.8881,0.1119,0,8,0.5,1,0,0,1,ACTION
89,Makassar,to yawn,aʔlaulau,0.8849,0.1151,2,8,0.625,1,1,0,0,ACTION
90,Makassar,dirty,raʔmasaʔ,0.8832,0.1168,0,8,0.375,0,1,0,0,NATURE
91,Tolaki,if,mano,0.8757,0.1243,1,4,0.5,1,0,0,1,GRAMMAR
92,Bugis,thatch/roof,pabbiŋəŋ,0.8745,0.1255,3,8,0.375,0,0,1,1,OTHER
93,Tolaki,to climb,momone,0.8719,0.1281,0,6,0.5,1,0,0,1,ACTION
94,Makassar,"to stab, pierce",annoboʔ,0.8681,0.1319,3,7,0.429,0,1,0,0,ACTION
95,Tolaki,house,laika,0.8675,0.1325,0,5,0.6,1,0,0,0,OTHER
96,Tolaki,Eight,hoalu,0.8641,0.1359,3,5,0.6,1,0,0,0,NUMBER
97,Tolaki,"shy, ashamed",kohanu,0.8631,0.1369,0,6,0.5,1,0,0,0,QUALITY
98,Wolio,to breathe,poinuñca,0.8604,0.1396,2,8,0.5,1,0,0,1,ACTION
99,Makassar,to breathe,aʔmaiʔ,0.8603,0.1397,2,6,0.5,0,1,0,0,ACTION
