rank,language,concept,form,p_substrate,semantic_domain,form_length,vowel_ratio,ends_in_vowel,has_glottal,has_nasal_cluster,has_reduplication,n_consonant_clusters,has_prefix_like
1,Tolaki,to see,ki'ii,0.9927355,ACTION,5,0.6,1,1,0,0,0,0
2,Tolaki,to hold,po'indi,0.99149406,ACTION,7,0.4286,1,1,1,0,1,1
3,Tolaki,to buy,po'oli,0.98969436,ACTION,6,0.5,1,1,0,0,0,1
4,Tolaki,"to cut, hack",pole'i,0.98969436,ACTION,6,0.5,1,1,0,0,0,1
5,Tolaki,to cry,umi'ia,0.98780495,ACTION,6,0.6667,1,1,0,0,0,0
6,Tolaki,salt,peanihi,0.98751116,NATURE,7,0.5714,1,0,0,0,0,0
7,Makassar,thatch/roof,pattoŋkoʔ,0.9871143,OTHER,9,0.3333,0,1,1,0,2,1
8,Tolaki,that,nggitu'o,0.9861822,GRAMMAR,8,0.375,1,1,1,0,1,0
9,Tolaki,One Hundred,aso'etu,0.9856101,NUMBER,7,0.5714,1,1,0,0,0,0
10,Tolaki,"to know, be knowledgeable",to'ori,0.98502225,ACTION,6,0.5,1,1,0,0,0,0
11,Tolaki,to vomit,mo'ua,0.98355365,ACTION,5,0.6,1,1,0,0,0,1
12,Tolaki,to hear,podea,0.9804793,ACTION,5,0.6,1,0,0,0,0,1
13,Tolaki,thou,inggo'o,0.97937596,GRAMMAR,7,0.4286,1,1,1,0,1,0
14,Tolaki,to say,te'eni,0.978199,ACTION,6,0.5,1,1,0,0,0,0
15,Tolaki,to spit,mo'eni,0.9772479,ACTION,6,0.5,1,1,0,0,0,1
16,Tolaki,to dream,mo'ipi,0.9772479,ACTION,6,0.5,1,1,0,0,0,1
17,Tolaki,to stand,menggokora,0.9768253,ACTION,10,0.4,1,0,1,0,1,1
18,Tolaki,to dig,metanggali,0.9768253,ACTION,10,0.4,1,0,1,0,1,1
19,Tolaki,to lie down,mo'iso'iso,0.9761667,ACTION,10,0.5,1,1,0,0,0,1
20,Tolaki,far,mondae,0.9759251,GRAMMAR,6,0.5,1,0,1,0,1,1
21,Tolaki,new,wo'ohu,0.9724804,QUALITY,6,0.5,1,1,0,0,0,0
22,Tolaki,big,wo'ose,0.9724804,QUALITY,6,0.5,1,1,0,0,0,0
23,Tolaki,he/she,ie'i,0.9657366,GRAMMAR,4,0.75,1,1,0,0,0,0
24,Tolaki,he/she,i'ia,0.9657366,GRAMMAR,4,0.75,1,1,0,0,0,0
25,Tolaki,to sleep,mo'iso,0.9650973,ACTION,6,0.5,1,1,0,0,0,1
26,Tolaki,to drink,mo'inu,0.9650973,ACTION,6,0.5,1,1,0,0,0,1
27,Tolaki,to fall,mo'isa,0.9650973,ACTION,6,0.5,1,1,0,0,0,1
28,Tolaki,"correct, true",meara'i,0.96349144,QUALITY,7,0.5714,1,1,0,0,0,1
29,Tolaki,how?,mombake hawo,0.9627802,GRAMMAR,12,0.4167,1,0,1,0,1,1
30,Tolaki,egg,ti'olu,0.9613377,BODY,6,0.5,1,1,0,0,0,0
31,Tolaki,near,merambi,0.9609544,GRAMMAR,7,0.4286,1,0,1,0,1,1
32,Tolaki,black,me'eto,0.95997727,QUALITY,6,0.5,1,1,0,0,0,1
33,Tolaki,green,mo'osu,0.95997727,QUALITY,6,0.5,1,1,0,0,0,1
34,Tolaki,old,motu'o,0.95997727,QUALITY,6,0.5,1,1,0,0,0,1
35,Tolaki,long,mendaa,0.9589873,QUALITY,6,0.5,1,0,1,0,1,1
36,Tolaki,good,meambo,0.9589873,QUALITY,6,0.5,1,0,1,0,1,1
37,Tolaki,to flow,lumaa,0.9587886,ACTION,5,0.6,1,0,0,0,0,0
38,Tolaki,to fly,lumaa,0.9587886,ACTION,5,0.6,1,0,0,0,0,0
39,Tolaki,to steal,ponini,0.95557815,ACTION,6,0.5,1,0,0,1,0,1
40,Tolaki,woods/forest,ahoma,0.9512548,NATURE,5,0.6,1,0,0,0,0,0
41,Tolaki,root,akara,0.9512548,NATURE,5,0.6,1,0,0,0,0,0
42,Tolaki,wide,molua,0.95114493,QUALITY,5,0.6,1,0,0,0,0,1
43,Tolaki,red,momea,0.95114493,QUALITY,5,0.6,1,0,0,0,0,1
44,Tolaki,heavy,mobea,0.95114493,QUALITY,5,0.6,1,0,0,0,0,1
45,Tolaki,"bad, evil",mosaa,0.95114493,QUALITY,5,0.6,1,0,0,0,0,1
46,Tolaki,"to pound, beat",moaliali,0.94862413,ACTION,8,0.625,1,0,0,1,0,1
47,Tolaki,sharp,monggaso,0.9447856,QUALITY,8,0.375,1,0,1,0,1,1
48,Tolaki,to sew,moseu,0.9425329,ACTION,5,0.6,1,0,0,0,0,1
49,Tolaki,to blow,mepua,0.9425329,ACTION,5,0.6,1,0,0,0,0,1
50,Tolaki,this,inono,0.9404125,GRAMMAR,5,0.6,1,0,0,1,0,0
