name,lat,lon,zone,nearest_volcano,distance_km,azimuth_to_volcano,azimuth_from_volcano
Candi Jawi,-7.6624877,112.669879,A,Penanggungan,7.544029044626031,315.6140071756919,135.6203711565122
Candi Tikus,-7.5718035,112.4035341,A,Penanggungan,24.532182820871082,101.04077241639948,281.01190569648634
Candi Bajang Ratu,-7.5677409,112.3987632,A,Penanggungan,25.13717537248246,101.82246976659525,281.79298049281215
Candi jolotundo,-7.6100965,112.595732,A,Penanggungan,2.92748519403946,98.52824863779085,278.52476905179014
Candi Naga 1,-7.608458,112.6105279,A,Penanggungan,1.4065784691770526,115.98439391299098,295.9828744259012
Candi Putri,-7.611832,112.6093412,A,Penanggungan,1.4158611723889458,99.80402441551593,279.80234737979947
Candi Gentong,-7.6111708,112.6122723,A,Penanggungan,1.117339461159641,106.3536875259735,286.3523988575313
Candi Bayi,-7.6139718,112.6055954,A,Penanggungan,1.8080282638062386,90.10045597272989,270.09828239041235
Candi Pura,-7.6115047,112.6106941,A,Penanggungan,1.2765960989138916,102.55402293564532,282.552525163894
Candi Kendalisodo,-7.6067777,112.6076324,A,Penanggungan,1.775532442552149,116.89265123592946,296.8907484467908
Candi Tawangalun,-7.3988488,112.7891649,A,Penanggungan,30.198628232415132,217.59640532805804,37.61824336284138
Candi Kethek,-7.5939326,111.1602927,A,Lawu,4.913893947631907,134.6714352981826,314.6672366123343
Candi Wisnu,-7.6147858,112.613817,A,Penanggungan,0.9061075450484065,84.46684648689939,264.46576219534853
Candi Guru,-7.6148901,112.6127009,A,Penanggungan,1.029662910916638,84.48463963402776,264.48340744482556
Candi Selokelir,-7.6251042,112.6080982,A,Penanggungan,1.9677591911239267,51.13643298040097,231.13458967630703
Candi,-7.6176551,112.610255,A,Penanggungan,1.3567689434056875,72.56982770866051,252.56827114144403
Candi Naga,-7.6138526,112.6106987,A,Penanggungan,1.2456756565187417,90.75464678356411,270.75314939169624
Candi Lurah,-7.613422,112.6118635,A,Penanggungan,1.1190376454361861,93.29320195292973,273.2918589316935
Candi,-7.6252159,112.6159826,A,Penanggungan,1.412520938489828,28.003058755375037,208.00226087460825
Candi Merak,-7.6066004,112.6133722,A,Penanggungan,1.2574736993166042,130.86914932590162,310.86800670681777
Candi Penampihan,-7.9027228,111.7952694,A,Wilis,11.304467359339712,338.7033330042834,158.70842671974424
Candi Rengganis,-7.9647946,113.5730157,A,Lamongan,25.36580721126352,266.9170236066333,86.9489199462596
Candi Tumpak Wolu,-7.6032232,112.6158902,A,Penanggungan,1.3745718815747598,150.66665784658835,330.6658488762585
Candi Wayang,-7.6054843,112.6217173,A,Penanggungan,0.9474151266147434,178.11537326676103,358.1153358302339
Candi NN,-7.6047027,112.6170999,A,Penanggungan,1.1663798973327502,152.41756449752324,332.41691563526285
Candi Gajah Mungkur,-7.604506,112.6215523,A,Penanggungan,1.0568371852391591,177.32392390803966,357.3238646251878
Candi Griya,-7.6032082,112.6206324,A,Penanggungan,1.2094230479245176,172.84065777953776,352.8404767021323
Candi Kerajaan,-7.6039862,112.6236257,A,Penanggungan,1.1278079563382655,189.14136107200434,9.141576334143622
Candi Kama 4,-7.6042414,112.6206256,A,Penanggungan,1.095629116564983,172.052976126879,352.0527941368335
Candi Gedog,-8.0877749,112.1841994,B,Kelud,22.217285832960332,37.85630578986485,217.83905703726265
Candi Dadi,-8.1302386,111.9268294,A,Wilis,40.367456076699504,332.5649360550373,152.58834256349974
Candi Ketawanggede,-7.946843,112.6123534,A,Arjuno-Welirang,24.570027956940056,350.35678253448276,170.36187647461452
Candi Karang Besuki,-7.9523146,112.5997549,A,Arjuno-Welirang,24.980729245455016,353.7314363478704,173.73481338255613
Candi Sengon,-7.6045661,112.6151579,A,Penanggungan,1.2919297621722559,144.28882208374603,324.2879160734875
Candi Simping,-8.1640797,112.1461388,A,Kelud,31.544673278112526,34.40965136846876,214.38699299406903
Candi Sirah Kencong,-7.9800031,112.4278234,B,Kelud,14.319109267218323,292.8403784339277,112.85696144044147
Candi Gambar Wetan,-7.9680444,112.2388364,B,Kelud,8.712670585215148,60.9569721857053,240.94740741324253
Candi Wringin Branjang,-8.0027503,112.2817723,B,Kelud,8.589608691953693,19.650293623360653,199.64665867516047
Candi Brahu,-7.5429066,112.3743651,A,Penanggungan,28.416928104464613,106.16834380367249,286.1356847595032
Candi Gentong,-7.5435102,112.3780875,A,Penanggungan,28.00418210395373,106.26973645788735,286.2375670661717
Candi Wringin Lawang,-7.5418917,112.3909426,A,Penanggungan,26.700367757852323,107.49073596578461,287.4602652605416
Taman Candi Jago,-8.005805,112.7640344,A,Semeru,20.774940143706004,123.17141248748521,303.1492725588406
Kompleks Candi Sumberawan,-7.8553516,112.6448151,A,Arjuno-Welirang,16.017194511313832,331.297013444794,151.30647900226495
Candi Pari,-7.5161315,112.6834255,A,Penanggungan,12.816843660990523,211.8846000998834,31.892686893769678
Candi Cetho,-7.5957362,111.1581311,A,Lawu,4.952049622015978,131.0812291168195,311.07674366316877
Candi Menak Jinggo,-7.5583872,112.3865115,A,Penanggungan,26.682405947088053,103.41612001845562,283.385031360256
Candi Bangkal,-7.543221,112.6355351,A,Penanggungan,8.010418910985821,190.73274274732154,10.734527842514524
Candi Petirtaan Belahan,-7.6075228,112.6513504,A,Penanggungan,3.314074172229013,257.4460800781522,77.4499673203502
Situs Candi Terung,-7.3947721,112.6203456,A,Penanggungan,24.377712537835126,179.57143745323958,359.57122138474983
