name,lat,lon,zone,nearest_volcano,distance_km,azimuth_to_volcano,azimuth_from_volcano
Candi Jawi,-7.6624877,112.669879,A,Penanggungan,6.452583752783323,317.0663395062405,137.07164221240168
Candi Tikus,-7.5718035,112.4035341,A,Penanggungan,25.529727421042246,102.13262924831338,282.10269370134597
Candi Bajang Ratu,-7.5677409,112.3987632,A,Penanggungan,26.140901675632843,102.85902534413026,282.8284672765069
Candi jolotundo,-7.6100965,112.595732,A,Penanggungan,3.9340911161192245,106.25752070386966,286.25297962075933
Candi Naga 1,-7.608458,112.6105279,A,Penanggungan,2.500584555832247,120.88149197504401,300.87891187215115
Candi Putri,-7.611832,112.6093412,A,Penanggungan,2.451352343075944,111.74818085938642,291.74544291281165
Candi Gentong,-7.6111708,112.6122723,A,Penanggungan,2.186632120953842,116.67967427323413,296.67732489181867
Candi Bayi,-7.6139718,112.6055954,A,Penanggungan,2.771988347601573,103.99523896968054,283.99200413403685
Candi Pura,-7.6115047,112.6106941,A,Penanggungan,2.3280444854051057,113.9402270779425,293.93766848820894
Candi Kendalisodo,-7.6067777,112.6076324,A,Penanggungan,2.870373298396421,120.81306672939752,300.8101032904492
Candi Tawangalun,-7.3988488,112.7891649,A,Penanggungan,30.20914622412522,215.49893686449045,35.51973806097601
Candi Kethek,-7.5939326,111.1602927,A,Lawu,4.913893947631907,134.6714352981826,314.6672366123343
Candi Wisnu,-7.6147858,112.613817,A,Penanggungan,1.8754585983778687,108.0089107538954,288.0067655794038
Candi Guru,-7.6148901,112.6127009,A,Penanggungan,1.9894617047409764,106.59600426229196,286.5937111250104
Candi Selokelir,-7.6251042,112.6080982,A,Penanggungan,2.4796756008303324,76.77000271788586,256.76709752006246
Candi,-7.6176551,112.610255,A,Penanggungan,2.191726551430913,96.83374123910181,276.83112340552674
Candi Naga,-7.6138526,112.6106987,A,Penanggungan,2.2343967979434036,107.81515165293251,287.8125932808557
Candi Lurah,-7.613422,112.6118635,A,Penanggungan,2.128515832769061,110.09991552975617,290.0975116185502
Candi,-7.6252159,112.6159826,A,Penanggungan,1.6501711023293417,69.42382559896589,249.42196622592633
Candi Merak,-7.6066004,112.6133722,A,Penanggungan,2.361891184733264,129.11297772688528,309.1107747681682
Candi Penampihan,-7.9027228,111.7952694,A,Wilis,11.304467359339712,338.7033330042834,158.70842671974424
Candi Rengganis,-7.9647946,113.5730157,A,Iyang-Argapura,0.970956761708317,200.00014519977273,20.000563282906285
Candi Tumpak Wolu,-7.6032232,112.6158902,A,Penanggungan,2.4286726272578756,140.18567412837064,320.1838051827828
Candi Wayang,-7.6054843,112.6217173,A,Penanggungan,1.854338929982603,150.50919283917983,330.50809557336186
Candi NN,-7.6047027,112.6170999,A,Penanggungan,2.216937135399041,140.1099300146509,320.1082211375411
Candi Gajah Mungkur,-7.604506,112.6215523,A,Penanggungan,1.9583424681006854,151.61292822983876,331.6118091768281
Candi Griya,-7.6032082,112.6206324,A,Penanggungan,2.1336011074344325,151.06013213611425,331.0588913306112
Candi Kerajaan,-7.6039862,112.6236257,A,Penanggungan,1.9142345957727442,158.469068517923,338.4682241534809
Candi Kama 4,-7.6042414,112.6206256,A,Penanggungan,2.0342011137291665,149.4756220548578,329.4743802648678
Candi Gedog,-8.0877749,112.1841994,B,Kelud,22.217285832960332,37.85630578986485,217.83905703726265
Candi Dadi,-8.1302386,111.9268294,A,Wilis,40.367456076699504,332.5649360550373,152.58834256349974
Candi Ketawanggede,-7.946843,112.6123534,A,Kawi-Butak,18.127513950676356,279.46604547385647,99.48845387916242
Candi Karang Besuki,-7.9523146,112.5997549,A,Kawi-Butak,16.87939018693212,282.28060990029985,102.30128651082492
Candi Sengon,-7.6045661,112.6151579,A,Penanggungan,2.3708979715504155,136.3741387756196,316.3721726591734
Candi Simping,-8.1640797,112.1461388,A,Kelud,31.544673278112526,34.40965136846876,214.38699299406903
Candi Sirah Kencong,-7.9800031,112.4278234,B,Kawi-Butak,7.104969233858526,20.106121808037756,200.1030545863626
Candi Gambar Wetan,-7.9680444,112.2388364,B,Kelud,8.712670585215148,60.9569721857053,240.94740741324253
Candi Wringin Branjang,-8.0027503,112.2817723,B,Kelud,8.589608691953693,19.650293623360653,199.64665867516047
Candi Brahu,-7.5429066,112.3743651,A,Penanggungan,29.45197625436975,106.93847079099658,286.90474340342047
Candi Gentong,-7.5435102,112.3780875,A,Penanggungan,29.039945303248867,107.04716736700163,287.0139297834952
Candi Wringin Lawang,-7.5418917,112.3909426,A,Penanggungan,27.744122879273167,108.25876471173393,288.22722659441035
Taman Candi Jago,-8.005805,112.7640344,A,Semeru,20.774940143706004,123.17141248748521,303.1492725588406
Kompleks Candi Sumberawan,-7.8553516,112.6448151,A,Arjuno-Welirang,16.017194511313832,331.297013444794,151.30647900226495
Candi Pari,-7.5161315,112.6834255,A,Penanggungan,12.964316757134627,207.01245630252785,27.019492653057625
Candi Cetho,-7.5957362,111.1581311,A,Lawu,4.952049622015978,131.0812291168195,311.07674366316877
