name,entrance_az,volcano_az,nearest_volcano,distance_km,angular_diff,faces_volcano
Borobudur,90,74.41110691314486,Merapi,27.69522267931259,15.588893086855137,True
Prambanan,90,348.06185691126666,Merapi,23.980532233087846,101.93814308873334,False
Mendut,270,73.29950783895794,Merapi,24.74384182725809,163.29950783895794,False
Pawon,270,74.39987866149954,Merapi,26.43779450555684,164.39987866149954,False
Kalasan,90,353.49353306094724,Merapi,25.29287597404743,96.50646693905276,False
Sewu,90,347.39909162658824,Merapi,23.2433485996608,102.60090837341176,False
Plaosan,90,342.8356137823454,Merapi,23.158741030176067,107.16438621765462,False
Sambisari,270,2.6899838858857947,Merapi,23.487998216127945,92.6899838858858,False
Banyunibo,270,340.29641327595465,Merapi,26.810130690489462,70.29641327595465,True
Candi Badut,270,284.42974967678265,Kawi-Butak,16.9445436109672,14.429749676782649,True
Candi Kidal,270,301.147353031253,Kawi-Butak,21.49050849270187,31.147353031252976,True
Candi Singosari,180,337.76691579301956,Arjuno-Welirang,19.21954724396912,157.76691579301956,False
Candi Jawi,270,316.64966807694555,Penanggungan,6.422132408914893,46.649668076945545,True
Candi Penataran,270,60.96143830166386,Kelud,12.596646446434503,150.96143830166386,False
Candi Surawana,270,261.07018000687407,Wilis,27.990437014945684,8.929819993125932,True
Candi Jabung,270,195.79843443382438,Lamongan,31.548748448176372,74.20156556617562,True
Candi Jolotundo,270,106.52969628110515,Penanggungan,3.9087825825033455,163.47030371889485,False
Candi Tikus,0,102.10879844342026,Penanggungan,25.474930401412614,102.10879844342026,False
Candi Bajang Ratu,0,102.81010345922391,Penanggungan,26.109052309849602,102.81010345922391,False
Arjuna group (Dieng),270,44.773521142112884,Dieng,1.5663374850489231,134.77352114211288,False
