sanskrit_name,ipa,place,hanacaraka_status,hanacaraka_target,in_pan
ka,k,velar,RETAINED,ka,yes
kha,kʰ,velar,MERGED→ka,ka,yes
ga,g,velar,RETAINED,ga,yes
gha,gʰ,velar,MERGED→ga,ga,yes
nga,ŋ,velar,RETAINED,nga,check
ca,tʃ,palatal,RETAINED,ca,check
cha,tʃʰ,palatal,MERGED→ca,ca,check
ja,dʒ,palatal,RETAINED,ja,yes
jha,dʒʰ,palatal,MERGED→ja,ja,yes
nya,ɲ,palatal,RETAINED,nya,check
tta,ʈ,retroflex,MERGED→ta,ta,check
ttha,ʈʰ,retroflex,MERGED→tha,tha,check
dda,ɖ,retroflex,MERGED→da,da,check
ddha,ɖʰ,retroflex,MERGED→dha,dha,check
nna,ɳ,retroflex,MERGED→na,na,check
ta,t̪,dental,RETAINED,ta,yes
tha,t̪ʰ,dental,RETAINED,tha,yes
da,d̪,dental,RETAINED,da,yes
dha,d̪ʰ,dental,RETAINED,dha,yes
na,n,dental,RETAINED,na,yes
pa,p,labial,RETAINED,pa,yes
pha,pʰ,labial,MERGED→pa,pa,yes
ba,b,labial,RETAINED,ba,yes
bha,bʰ,labial,MERGED→ba,ba,yes
ma,m,labial,RETAINED,ma,yes
ya,j,semivowel,RETAINED,ya,check
ra,r,semivowel,RETAINED,ra,yes
la,l,semivowel,RETAINED,la,yes
wa,w,semivowel,RETAINED,wa,yes
sha,ʃ,fricative,MERGED→sa,sa,yes
ssa,ʂ,fricative,MERGED→sa,sa,check
sa,s,fricative,RETAINED,sa,yes
ha,h,fricative,RETAINED,ha,check
