concept,n_volc_langs,n_nonv_langs,n_volc_cogsets,n_nonv_cogsets,diversity_volc,diversity_nonv,diversity_diff,mean_len_volc,mean_len_nonv,unique_ratio_volc,unique_ratio_nonv,domain
143_fire,478,819,16,45,0.03347280334728033,0.054945054945054944,-0.021472251597774612,4.7984934086629005,4.117178612059158,0.5555555555555556,0.5358361774744027,volcanic
144_toburn,413,690,54,77,0.13075060532687652,0.11159420289855072,0.019156402428325794,5.169491525423729,5.402015677491601,0.6758474576271186,0.7390817469204927,volcanic
145_smoke,451,752,40,67,0.08869179600886919,0.08909574468085106,-0.0004039486719818741,5.615384615384615,5.0985576923076925,0.7130977130977131,0.6790865384615384,volcanic
146_ashes,458,747,51,64,0.11135371179039301,0.0856760374832664,0.025677674307126613,6.509355509355509,4.979318734793187,0.7837837837837838,0.6642335766423357,volcanic
119_earthsoil,456,755,38,67,0.08333333333333333,0.08874172185430464,-0.005408388520971308,5.202020202020202,5.0236406619385345,0.5212121212121212,0.624113475177305,volcanic
120_stone,483,781,13,39,0.026915113871635612,0.0499359795134443,-0.023020865641808688,4.932673267326733,4.4815256257449345,0.4415841584158416,0.5053635280095352,volcanic
121_sand,472,769,36,79,0.07627118644067797,0.10273081924577374,-0.026459632805095765,6.16530612244898,5.111515151515151,0.6448979591836734,0.656969696969697,volcanic
11_dust,389,583,62,64,0.15938303341902313,0.1097770154373928,0.049606017981630335,6.711943793911007,5.973805855161787,0.8056206088992974,0.785824345146379,volcanic
134_thunder,448,621,50,83,0.11160714285714286,0.13365539452495975,-0.02204825166781689,6.711618257261411,6.214689265536723,0.7427385892116183,0.7937853107344632,volcanic
135_lightning,435,620,36,78,0.08275862068965517,0.12580645161290321,-0.04304783092324804,6.223655913978495,6.120815138282387,0.7161290322580646,0.7074235807860262,volcanic
138_warm,326,704,41,82,0.12576687116564417,0.11647727272727272,0.009289598438371446,6.784702549575071,6.403733955659277,0.8271954674220963,0.7164527421236873,volcanic
1_hand,479,822,39,61,0.081419624217119,0.07420924574209246,0.007210378475026535,5.949907235621521,4.981481481481482,0.6771799628942486,0.5490196078431373,control
3_right,445,649,35,60,0.07865168539325842,0.09244992295839753,-0.013798237565139107,6.197396963123644,6.117647058823529,0.6377440347071583,0.736764705882353,control
4_legfoot,457,802,50,71,0.10940919037199125,0.0885286783042394,0.02088051206775185,5.987037037037037,4.672527472527473,0.7851851851851852,0.6527472527472528,control
5_towalk,448,779,60,92,0.13392857142857142,0.11810012836970475,0.015828443058866673,5.6200787401574805,5.457943925233645,0.7066929133858267,0.711214953271028,control
27_nose,484,818,38,61,0.07851239669421488,0.0745721271393643,0.003940269554850578,6.449725776965265,5.328782707622298,0.773308957952468,0.6666666666666666,control
122_water,476,787,27,53,0.05672268907563025,0.06734434561626429,-0.010621656540634038,4.216216216216216,4.105813953488372,0.5347490347490348,0.59465737514518,environment
124_sea,439,772,28,61,0.06378132118451026,0.07901554404145078,-0.015234222856940524,4.810020876826722,4.944382647385984,0.4718162839248434,0.592880978865406,environment
126_lake,278,467,37,38,0.13309352517985612,0.08137044967880086,0.05172307550105526,6.517915309446254,5.465116279069767,0.7752442996742671,0.6744186046511628,environment
127_woodsforest,413,684,63,91,0.15254237288135594,0.13304093567251463,0.019501437208841316,7.256124721603563,5.929889298892989,0.8084632516703786,0.7478474784747847,environment
128_sky,418,738,35,67,0.08373205741626795,0.09078590785907859,-0.007053850442810636,6.383474576271187,5.670384138785626,0.7161016949152542,0.6171003717472119,environment
131_cloud,442,737,53,91,0.11990950226244344,0.12347354138398914,-0.003564039121545695,6.1625,5.483213429256595,0.7395833333333334,0.7014388489208633,environment
133_rain,478,808,21,49,0.043933054393305436,0.06064356435643564,-0.016710509963130206,4.435361216730038,4.361653272101034,0.4847908745247148,0.5694603903559128,environment
136_wind,462,747,34,77,0.0735930735930736,0.10307898259705489,-0.029485909003981292,4.873239436619718,5.023391812865497,0.4788732394366197,0.6421052631578947,environment
