Culture_ID,Name,Latitude,Longitude,island_type,is_volcanic,ritual_complexity,mortuary_index
Maohi,Maohi,-17.6,-149.4,volcanic_high,1,1.4545454545454546,1.3333333333333333
Pohnpei,Pohnpei,6.9,158.2,volcanic_high,1,1.0909090909090908,1.0
Seniang,Seniang,-16.5,167.4,volcanic_high,1,0.9090909090909091,1.3333333333333333
Varisi,Varisi,-6.8,156.7,volcanic_high,1,1.2727272727272727,1.6666666666666667
aeta,Aeta,15.3,120.4,,0,1.2,2.0
ajie,Ajie,-21.3,165.6,mainland,0,1.1818181818181819,1.6666666666666667
alune,Alune,-3.1,128.5,mainland,0,1.0,1.0
ami,Ami,23.4,121.4,mainland,0,1.1,1.0
aneityum,Aneityum,-20.2,169.8,volcanic_high,1,1.125,1.0
anuta,Anuta,-11.6,169.8,volcanic_high,1,1.25,2.0
arosi,Arosi,-10.3,161.3,volcanic_high,1,1.2,1.3333333333333333
ata-tana-aai,Ata Tana 'Ai,-8.6,122.6,continental,0,1.1111111111111112,2.0
atayal,Atayal,24.4,121.3,mainland,0,0.8181818181818182,1.3333333333333333
atoni,Atoni,-9.7,124.3,continental,0,0.7272727272727273,0.6666666666666666
belep,Belep,-19.7,163.6,mainland,0,0.8181818181818182,1.6666666666666667
bellona,Bellona,-11.3,159.8,raised_atoll,0,1.3636363636363635,1.3333333333333333
berawan,Berawan,3.8,114.5,mainland,0,1.3636363636363635,2.0
besemah,Besemah,-4.1,103.3,mainland,0,1.2727272727272727,1.3333333333333333
biak,Biak,-1.0,136.0,raised_atoll,0,1.0909090909090908,1.6666666666666667
bontok,Bontok,17.1,121.1,volcanic_high,1,1.0,1.3333333333333333
bughotu,Bughotu,-8.5,159.8,volcanic_high,1,0.7,1.3333333333333333
buka,Buka,-5.2,154.6,volcanic_high,1,0.9,1.0
bukidnon,Bukidnon,8.2,125.0,mainland,0,0.9090909090909091,0.6666666666666666
bunun,Bunun,23.5,120.5,mainland,0,1.0,1.0
casiguran-dumagat,Casiguran Dumagat,16.3,122.0,volcanic_high,1,0.6363636363636364,0.3333333333333333
chamorro,Chamorro,13.5,144.8,volcanic_high,1,0.9090909090909091,1.0
cheke-holo,Cheke Holo,-8.3,159.6,volcanic_high,1,1.0,1.6666666666666667
chuuk,Chuuk,7.3,151.6,volcanic_high,1,1.4545454545454546,1.6666666666666667
dobuans,Dobuans,-9.6,150.8,volcanic_high,1,0.9090909090909091,0.6666666666666666
dusun,Dusun,5.7,116.4,mainland,0,0.8181818181818182,0.6666666666666666
eastern-sumbanese,Eastern Sumbanese,-9.9,120.3,continental,0,1.4545454545454546,1.6666666666666667
eastern-toraja,Eastern Toraja,-1.9,120.6,mainland,0,1.5454545454545454,2.0
erromango,Erromango,-18.8,169.2,volcanic_high,1,0.6363636363636364,1.0
fijians,Fijians,-17.8,178.0,continental,0,1.4545454545454546,1.6666666666666667
futuna,Futuna,-14.3,-178.0,volcanic_high,1,0.9090909090909091,1.0
futuna-west,Futuna-Aniwa,-19.5,170.2,volcanic_high,1,1.0,1.0
gaddang-pagan,Ga'dang,17.2,121.5,volcanic_high,1,0.7272727272727273,0.6666666666666666
goodenough-island,Goodenough Island,-9.3,150.2,volcanic_high,1,0.36363636363636365,0.6666666666666666
hawaiians,Hawaiians,19.6,-155.5,volcanic_high,1,0.9090909090909091,1.0
iban,Iban,1.2,111.6,mainland,0,1.1818181818181819,1.3333333333333333
ifaluk,Ifaluk,7.2,144.5,raised_atoll,0,1.0909090909090908,1.0
ifugao,Ifugao,16.7,121.2,volcanic_high,1,1.4545454545454546,1.6666666666666667
isneg,Isneg,18.1,121.2,volcanic_high,1,0.6363636363636364,1.3333333333333333
kalinga,Kalinga,17.5,121.3,volcanic_high,1,1.0909090909090908,1.3333333333333333
kaoka,Kaoka,-9.7,160.7,volcanic_high,1,0.9090909090909091,1.3333333333333333
kapingamarangi,Kapingamarangi,1.0,154.8,raised_atoll,0,1.0,1.0
karo,Karo,3.5,98.3,mainland,0,1.4545454545454546,2.3333333333333335
kayan,Kayan,2.1,115.1,mainland,0,1.2727272727272727,1.3333333333333333
kedang,Kedang,-8.2,123.8,volcanic_high,1,1.0909090909090908,1.0
kei,Kei,-5.8,132.8,continental,0,0.0,
kelabit,Kelabit,3.7,115.5,mainland,0,1.0909090909090908,1.3333333333333333
kiribati,Kiribati,-1.2,174.7,raised_atoll,0,1.3636363636363635,1.6666666666666667
kodi,Kodi,-9.6,119.0,,0,1.8,2.0
kosrae,Kosrae,5.3,163.0,volcanic_high,1,1.2857142857142858,1.0
kwaio,Kwaio,-9.0,160.9,volcanic_high,1,0.8181818181818182,1.3333333333333333
kwaraae,Kwara'ae,-8.7,160.8,volcanic_high,1,0.9090909090909091,1.6666666666666667
