Name,Latitude,Longitude,ritual_complexity,mortuary_index,distance_km,nearest_volcano,nearest_eruptions
Maohi,-17.6,-149.4,1.4545454545454546,1.3333333333333333,61.5,Teahitia,4
Pohnpei,6.9,158.2,1.0909090909090908,1.0,1321.2,Ambitle,1
Seniang,-16.5,167.4,0.9090909090909091,1.3333333333333333,81.7,Ambrym,57
Varisi,-6.8,156.7,1.2727272727272727,1.6666666666666667,123.3,Loloru,6
Aeta,15.3,120.4,1.2,2.0,19.6,Pinatubo,9
Ajie,-21.3,165.6,1.1818181818181819,1.6666666666666667,446.5,Yasur,3
Alune,-3.1,128.5,1.0,1.0,220.3,Banda Api,23
Ami,23.4,121.4,1.1,1.0,169.8,Kueishantao,2
Aneityum,-20.2,169.8,1.125,1.0,82.9,Yasur,3
Anuta,-11.6,169.8,1.25,2.0,351.7,Suretamatai,3
Arosi,-10.3,161.3,1.2,1.3333333333333333,207.9,Savo,3
Ata Tana 'Ai,-8.6,122.6,1.1111111111111112,2.0,18.0,Egon,4
Atayal,24.4,121.3,0.8181818181818182,1.3333333333333333,82.2,Kueishantao,2
Atoni,-9.7,124.3,0.7272727272727273,0.6666666666666666,135.0,Sirung,11
Belep,-19.7,163.6,0.8181818181818182,1.6666666666666667,601.2,Traitor's Head,1
Bellona,-11.3,159.8,1.3636363636363635,1.3333333333333333,241.3,Savo,3
Berawan,3.8,114.5,1.3636363636363635,2.0,903.7,Colo,3
Besemah,-4.1,103.3,1.2727272727272727,1.3333333333333333,21.9,Dempo,32
Biak,-1.0,136.0,1.0909090909090908,1.6666666666666667,784.3,Banda Api,23
Bontok,17.1,121.1,1.0,1.3333333333333333,165.3,Cagua,1
Bughotu,-8.5,159.8,0.7,1.3333333333333333,70.1,Savo,3
Buka,-5.2,154.6,0.9,1.0,120.7,Billy Mitchell,2
Bukidnon,8.2,125.0,0.9090909090909091,0.6666666666666666,78.4,Ragang,8
Bunun,23.5,120.5,1.0,1.0,209.7,Kueishantao,2
Casiguran Dumagat,16.3,122.0,0.6363636363636364,0.3333333333333333,214.1,Cagua,1
Chamorro,13.5,144.8,0.9090909090909091,1.0,122.5,NW Rota-1,1
