filename,title,year_ce,n_organic,n_lithic,n_metal,materials,classes
DHARMA_INS12Gilikan.xml,Gilikan (date lost),,3,0,2,bambu|atap|daun|emas|perak|sima,institution|organic|metal
DHARMA_INSIDENK00007.xml,"Dharmasraya A (Padang Roco Amoghapāśa base), 1286 CE",1286,3,1,1,atap|ijuk|daun|candi|emas,organic|metal|lithic
DHARMA_INSIDENK00050.xml,"Pillar from Kota Kapur (N. 50), 608 Śaka",686,1,0,0,atap,organic
DHARMA_INSIDENK00059.xml,Gunung Tua Lokanātha Statue,,2,0,1,ijuk|daun|emas,organic|metal
DHARMA_INSIDENK00066.xml,"Śrīkṣetra Dedication: Slab from Talang Tuwo (N. 66), 606 Śaka",684,3,0,1,kayu|atap|jati|emas,organic|metal
DHARMA_INSIDENK00096.xml,"Stela from Bukit Gombak (N. 96), 1278 Śaka",1356,1,1,1,ijuk|batu|emas,organic|metal|lithic
DHARMA_INSIDENK00138.xml,"Bronze base for a triad of statuettes (N. 138, ca. 10th c. CE)",950,1,0,1,daun|emas,organic|metal
DHARMA_INSIDENK00186.xml,"Makara of Candi Kedaton (N. 186), 10/11th c. CE",1050,0,1,1,candi|emas,metal|lithic
DHARMA_INSIDENK00351.xml,"Foundation of Sarungga's Hermitage (N. 351), 823 Śaka",901,0,0,1,emas,metal
DHARMA_INSIDENK00368.xml,Silver plate for the deity at Abhaya,,0,0,1,emas,metal
DHARMA_INSIDENK00388.xml,"Silver vase of the deity at Dieng, early 10th c. CE",950,1,1,1,kayu|mandapa|perak,organic|metal|lithic
DHARMA_INSIDENK00396.xml,Silver plate for the deified ancestor at Abhayamukha,,1,0,0,daun,organic
DHARMA_INSIDENK00526.xml,Kamalagyan charter (959 Śaka),1037,3,1,2,rumah_kayu|atap|ijuk|daun|batu|emas|perak|sima,metal|building|lithic|institution|organic
DHARMA_INSIDENKAbhayananda.xml,Abhayananda (779 Śaka),857,0,0,0,sima,institution
DHARMA_INSIDENKAdanAdan.xml,Adan-Adan (1223 Śaka),1301,5,0,3,kayu|atap|ijuk|daun|jati|emas|perak|tembaga|sima,institution|organic|metal
DHARMA_INSIDENKAdulengen.xml,Adulengen,,2,0,2,atap|daun|emas|perak|sima,institution|organic|metal
DHARMA_INSIDENKAirAsih.xml,Air Asih (between 1177 and 1208 Śaka),1286,0,1,3,prasada|emas|perak|tembaga|sima,institution|metal|lithic
DHARMA_INSIDENKAirKali.xml,Air Kali (849-850 Śaka),928,1,0,1,kayu|emas|sima,institution|organic|metal
DHARMA_INSIDENKAlasantan.xml,Alasantan,,5,1,1,kayu|bambu|atap|ijuk|daun|bata|emas|sima,institution|organic|metal|lithic
