language_id,language,concept,domain,n_forms,n_cognatesets,pmp_match,pan_match,either_match,pmp_cogsets_shared
1,Balinese,Eight,NUMBER,1,0,0,0,0,0
1,Balinese,Five,NUMBER,1,1,1,1,1,1
1,Balinese,Four,NUMBER,1,1,1,1,1,1
1,Balinese,I,OTHER,1,0,0,0,0,0
1,Balinese,Nine,NUMBER,1,2,0,1,1,0
1,Balinese,One,NUMBER,1,1,1,1,1,1
1,Balinese,Seven,NUMBER,1,1,0,1,1,0
1,Balinese,Six,NUMBER,1,1,0,1,1,0
1,Balinese,Ten,NUMBER,1,0,0,0,0,0
1,Balinese,Three,NUMBER,2,1,1,1,1,1
1,Balinese,Two,NUMBER,1,1,1,1,1,1
1,Balinese,above,OTHER,1,0,0,0,0,0
1,Balinese,all,OTHER,1,0,0,0,0,0
1,Balinese,and,OTHER,1,1,1,1,1,1
1,Balinese,ashes,NATURE,1,1,1,1,1,1
1,Balinese,at,OTHER,2,1,1,1,1,1
1,Balinese,back,BODY,1,1,0,0,0,0
1,Balinese,"bad, evil",OTHER,2,1,0,0,0,0
1,Balinese,belly,BODY,1,1,0,0,0,0
1,Balinese,below,OTHER,2,0,0,0,0,0
1,Balinese,big,OTHER,2,1,0,0,0,0
1,Balinese,bird,OTHER,2,0,0,0,0,0
1,Balinese,black,OTHER,2,1,0,0,0,0
1,Balinese,blood,BODY,2,1,0,0,0,0
1,Balinese,bone,BODY,1,1,1,1,1,1
1,Balinese,branch,OTHER,1,2,0,0,0,0
1,Balinese,breast,BODY,1,1,0,0,0,0
1,Balinese,child,KINSHIP,1,1,1,1,1,1
1,Balinese,cloud,NATURE,2,0,0,0,0,0
1,Balinese,cold,OTHER,1,1,1,0,1,1
1,Balinese,"correct, true",OTHER,2,1,1,0,1,1
1,Balinese,day,OTHER,2,1,0,0,0,0
1,Balinese,dirty,OTHER,1,1,0,0,0,0
1,Balinese,dog,OTHER,2,0,0,0,0,0
1,Balinese,dry,OTHER,1,1,0,0,0,0
1,Balinese,"dull, blunt",OTHER,1,1,1,0,1,1
1,Balinese,dust,OTHER,1,1,1,0,1,1
1,Balinese,ear,BODY,1,1,0,0,0,0
1,Balinese,earth/soil,NATURE,1,1,1,0,1,1
1,Balinese,egg,OTHER,1,1,1,1,1,1
1,Balinese,eye,BODY,1,1,1,1,1,1
1,Balinese,far,OTHER,1,1,1,0,1,1
1,Balinese,fat/grease,OTHER,1,1,1,0,1,1
1,Balinese,father,KINSHIP,2,1,0,0,0,0
1,Balinese,feather,OTHER,1,1,1,0,1,1
1,Balinese,fire,NATURE,1,1,1,1,1,1
1,Balinese,fish,OTHER,1,0,0,0,0,0
1,Balinese,flower,NATURE,1,1,1,0,1,1
1,Balinese,fog,OTHER,1,0,0,0,0,0
1,Balinese,fruit,NATURE,1,1,1,1,1,1
1,Balinese,good,OTHER,2,0,0,0,0,0
1,Balinese,grass,NATURE,1,0,0,0,0,0
1,Balinese,green,OTHER,1,1,0,0,0,0
1,Balinese,hair,BODY,1,1,1,1,1,1
1,Balinese,hand,BODY,2,2,1,1,1,1
1,Balinese,he/she,OTHER,1,1,1,1,1,1
1,Balinese,head,BODY,2,0,0,0,0,0
1,Balinese,heavy,OTHER,1,1,1,0,1,1
1,Balinese,house,OTHER,2,1,1,1,1,1
1,Balinese,how?,OTHER,1,0,0,0,0,0
1,Balinese,husband,KINSHIP,2,0,0,0,0,0
1,Balinese,if,OTHER,1,0,0,0,0,0
1,Balinese,"in, inside",OTHER,2,1,0,0,0,0
1,Balinese,intestines,BODY,1,1,0,0,0,0
1,Balinese,lake,NATURE,1,1,1,1,1,1
1,Balinese,leaf,NATURE,1,1,1,0,1,1
1,Balinese,left,OTHER,1,0,0,0,0,0
1,Balinese,leg/foot,BODY,1,1,0,0,0,0
1,Balinese,lightning,OTHER,1,0,0,0,0,0
1,Balinese,liver,BODY,1,1,1,1,1,1
1,Balinese,long,OTHER,2,1,0,0,0,0
1,Balinese,louse,OTHER,1,1,1,1,1,1
1,Balinese,man/male,KINSHIP,1,1,1,1,1,1
1,Balinese,meat/flesh,OTHER,1,1,1,1,1,1
1,Balinese,moon,NATURE,1,1,1,1,1,1
1,Balinese,mosquito,OTHER,2,1,0,0,0,0
1,Balinese,mother,KINSHIP,2,1,0,0,0,0
1,Balinese,mouth,BODY,2,2,0,0,0,0
1,Balinese,name,OTHER,2,1,1,1,1,1
1,Balinese,narrow,OTHER,2,1,0,0,0,0
1,Balinese,near,OTHER,2,1,0,0,0,0
1,Balinese,neck,BODY,1,1,0,0,0,0
1,Balinese,needle,OTHER,2,1,1,1,1,1
1,Balinese,new,OTHER,2,0,0,0,0,0
1,Balinese,night,OTHER,2,1,0,0,0,0
1,Balinese,"no, not",OTHER,1,0,0,0,0,0
1,Balinese,nose,BODY,1,0,0,0,0,0
1,Balinese,old,OTHER,1,1,1,1,1,1
1,Balinese,other,OTHER,1,1,1,0,1,1
1,Balinese,"painful, sick",OTHER,1,1,1,0,1,1
1,Balinese,person/human being,KINSHIP,1,0,0,0,0,0
1,Balinese,rain,NATURE,1,1,1,1,1,1
1,Balinese,rat,OTHER,1,0,0,0,0,0
1,Balinese,red,OTHER,1,0,0,0,0,0
1,Balinese,right,OTHER,2,2,1,1,1,1
1,Balinese,road/path,OTHER,1,0,0,0,0,0
1,Balinese,root,NATURE,1,1,1,0,1,1
1,Balinese,rope,OTHER,1,1,1,1,1,1
1,Balinese,rotten,OTHER,2,0,0,0,0,0
1,Balinese,salt,NATURE,1,1,0,0,0,0
1,Balinese,sand,NATURE,1,1,0,0,0,0
1,Balinese,sea,NATURE,1,1,1,0,1,1
1,Balinese,sharp,OTHER,2,1,0,0,0,0
1,Balinese,short,OTHER,1,1,1,0,1,1
