species,lat,lon,country,year,basisOfRecord
Canarium australasicum,-26.724254,153.014175,Australia,2026,HUMAN_OBSERVATION
Canarium australianum,-19.27638,146.725121,Australia,2026,HUMAN_OBSERVATION
Canarium australianum,-19.276944,146.725911,Australia,2026,HUMAN_OBSERVATION
Canarium australianum,-19.142798,146.867439,Australia,2026,HUMAN_OBSERVATION
Canarium australianum,-19.143929,146.801996,Australia,2026,HUMAN_OBSERVATION
Canarium australianum,-10.187342,142.329133,Australia,2026,HUMAN_OBSERVATION
Canarium australianum,-19.137678,146.858348,Australia,2026,HUMAN_OBSERVATION
Canarium australianum,-18.098569,144.4349,Australia,2026,HUMAN_OBSERVATION
Canarium indicum,7.270263,80.59812,Sri Lanka,2026,HUMAN_OBSERVATION
Canarium australianum,-16.709117,145.631147,Australia,2026,HUMAN_OBSERVATION
Canarium australianum,-19.196455,146.674988,Australia,2026,HUMAN_OBSERVATION
Canarium strictum,13.559566,75.015268,India,2026,HUMAN_OBSERVATION
Canarium australasicum,-28.610225,153.387478,Australia,2026,HUMAN_OBSERVATION
Canarium subulatum,24.650847,120.987117,Chinese Taipei,2026,HUMAN_OBSERVATION
Canarium subulatum,23.913294,120.883757,Chinese Taipei,2025,HUMAN_OBSERVATION
Canarium subulatum,24.068725,120.773928,Chinese Taipei,2025,HUMAN_OBSERVATION
Canarium littorale,1.398756,103.80703,Singapore,2025,HUMAN_OBSERVATION
Canarium subulatum,24.706353,121.116325,Chinese Taipei,2025,HUMAN_OBSERVATION
Canarium subulatum,24.706255,121.116242,Chinese Taipei,2025,HUMAN_OBSERVATION
Canarium littorale,1.355967,103.804233,Singapore,2025,HUMAN_OBSERVATION
Canarium pilosum,1.237873,103.726407,Singapore,2025,HUMAN_OBSERVATION
Canarium pilosum,3.024952,101.637032,Malaysia,2025,HUMAN_OBSERVATION
Canarium australianum,-12.891628,131.639222,Australia,2025,HUMAN_OBSERVATION
Canarium subulatum,24.706272,121.116295,Chinese Taipei,2025,HUMAN_OBSERVATION
Canarium australianum,-19.6652,147.3166,Australia,2025,HUMAN_OBSERVATION
Canarium australianum,-19.4411,146.9522,Australia,2025,HUMAN_OBSERVATION
Canarium strictum,9.03947,76.64916,India,2025,HUMAN_OBSERVATION
Canarium strictum,9.03947,76.64916,India,2025,HUMAN_OBSERVATION
Canarium strictum,9.03947,76.64916,India,2025,HUMAN_OBSERVATION
Canarium strictum,9.03947,76.64916,India,2025,HUMAN_OBSERVATION
Canarium strictum,9.03947,76.64916,India,2025,HUMAN_OBSERVATION
Canarium oleiferum,-20.435322,164.194698,New Caledonia,2025,HUMAN_OBSERVATION
Canarium australianum,-12.707666,130.992745,Australia,2025,HUMAN_OBSERVATION
Canarium subulatum,23.779812,120.807267,Chinese Taipei,2025,HUMAN_OBSERVATION
Canarium subulatum,24.169585,120.785956,Chinese Taipei,2025,HUMAN_OBSERVATION
Canarium australasicum,-28.620462,153.396022,Australia,2025,HUMAN_OBSERVATION
Canarium australianum,-19.156326,146.811396,Australia,2025,HUMAN_OBSERVATION
Canarium australianum,-19.172087,146.832909,Australia,2025,HUMAN_OBSERVATION
Canarium australianum,-19.17599,146.835307,Australia,2025,HUMAN_OBSERVATION
Canarium australianum,-17.156944,145.712464,Australia,2025,HUMAN_OBSERVATION
Canarium subulatum,24.049423,120.783312,Chinese Taipei,2025,HUMAN_OBSERVATION
Canarium subulatum,23.857656,120.783072,Chinese Taipei,2025,HUMAN_OBSERVATION
Canarium schweinfurthii,0.036798,13.43053,Gabon,2025,PRESERVED_SPECIMEN
Canarium schweinfurthii,0.051518,13.448563,Gabon,2025,PRESERVED_SPECIMEN
Canarium schweinfurthii,0.051518,13.448563,Gabon,2025,PRESERVED_SPECIMEN
Canarium schweinfurthii,0.036798,13.43053,Gabon,2025,PRESERVED_SPECIMEN
Canarium strictum,22.33021,80.49525,India,2025,HUMAN_OBSERVATION
Canarium strictum,9.03947,76.64916,India,2025,HUMAN_OBSERVATION
Canarium strictum,9.03947,76.64916,India,2025,HUMAN_OBSERVATION
Canarium strictum,22.33021,80.49525,India,2025,HUMAN_OBSERVATION
Canarium strictum,9.03947,76.64916,India,2025,HUMAN_OBSERVATION
Canarium strictum,22.33021,80.49525,India,2025,HUMAN_OBSERVATION
Canarium australianum,-19.151469,146.808684,Australia,2025,HUMAN_OBSERVATION
Canarium australianum,-16.804455,145.692353,Australia,2025,HUMAN_OBSERVATION
Canarium subulatum,24.75419,121.050461,Chinese Taipei,2025,HUMAN_OBSERVATION
Canarium subulatum,24.179317,120.783268,Chinese Taipei,2025,HUMAN_OBSERVATION
Canarium subulatum,24.1783,120.783432,Chinese Taipei,2025,HUMAN_OBSERVATION
