species,count
Canarium australianum,327
Canarium schweinfurthii,267
Canarium strictum,178
Canarium L.,164
Canarium subulatum,148
Canarium australasicum,76
Canarium scholasticum,42
Canarium lamianum,37
Canarium globosum,25
Canarium pilosum,23
Canarium obtusifolium,23
Canarium pulchrebracteatum,21
Canarium multiflorum,17
Canarium bullatum,14
Canarium obovatum,12
Canarium madagascariense,11
Canarium planifolium,11
Canarium acutifolium,9
Canarium oleiferum,8
Canarium littorale,8
Canarium boivinii,7
Canarium vulgare,6
Canarium album,6
Canarium betamponae,5
Canarium fugax,5
Canarium euphyllum,5
Canarium vitiense,5
Canarium galokense,4
Canarium ovatum,4
Canarium longistipulatum,4
Canarium lobocarpum,3
Canarium muelleri,3
Canarium compressum,3
Canarium hirsutum,2
Canarium megalanthum,2
Canarium indicum,2
Canarium harveyi,2
Canarium odontophyllum,2
Canarium luzonicum,1
Canarium gracile,1
Canarium pimela,1
Canarium euryphyllum,1
Canarium manii,1
Canarium patentinervium,1
Canarium pseudosumatranum,1
Canarium balansae,1
Canarium asperum,1
