kab_code,kab_name,province,total,pre_hindu,sanskrit,arabic,mixed,unknown,prehidu_ratio,lat,lng,dist_volcano_km
31.71,Kota Administrasi Jakarta Pusat,DKI Jakarta,44,9,0,1,1,33,1.0000,-6.172913263118424,106.81869625420377,61.6
31.75,Kota Administrasi Jakarta Timur,DKI Jakarta,65,21,2,0,3,39,0.9130,-6.2136855478344994,106.9440075965323,61.1
33.76,Kota Tegal,Jawa Tengah,27,10,1,0,1,15,0.9091,-6.8704087484501155,109.13741611002918,42.0
35.27,Kabupaten Sampang,Jawa Timur,182,30,3,2,1,146,0.9091,-7.1875353391978205,113.23734031169953,82.2
31.74,Kota Administrasi Jakarta Selatan,DKI Jakarta,65,17,2,0,0,46,0.8947,-6.247775007302514,106.80763679653259,53.2
32.09,Kabupaten Cirebon,Jawa Barat,424,168,28,0,23,205,0.8571,-6.764528033189753,108.47861955420773,16.6
35.13,Kabupaten Probolinggo,Jawa Timur,328,109,21,2,20,176,0.8385,-7.761818744749144,113.41597252537957,25.5
33.02,Kabupaten Banyumas,Jawa Tengah,331,137,28,1,11,154,0.8303,-7.4227990604767795,109.23008333914095,20.3
32.73,Kota Bandung,Jawa Barat,151,64,14,0,5,68,0.8205,-6.910655826355507,107.60986952537303,15.7
35.11,Kabupaten Bondowoso,Jawa Timur,219,68,16,4,11,120,0.8095,-7.914444581620128,113.82185071188832,33.7
35.12,Kabupaten Situbondo,Jawa Timur,136,34,9,1,7,85,0.7907,-7.707340624354634,114.00177518305065,46.7
35.74,Kota Probolinggo,Jawa Timur,29,15,4,0,3,7,0.7895,-7.75367770292879,113.21423953887185,28.7
36.73,Kota Serang,Banten,67,14,4,1,5,43,0.7778,-6.1196975739996,106.17346069838267,83.0
33.19,Kabupaten Kudus,Jawa Tengah,132,34,10,2,3,83,0.7727,-6.805651710957646,110.84219531187978,84.8
32.71,Kota Bogor,Jawa Barat,68,23,7,0,3,35,0.7667,-6.595057464978462,106.79411231002724,15.6
35.28,Kabupaten Pamekasan,Jawa Timur,185,13,4,0,1,167,0.7647,-7.156884154270928,113.47188259653895,92.5
33.28,Kabupaten Tegal,Jawa Tengah,287,87,27,0,7,166,0.7632,-6.995407828046843,109.12789492537367,28.8
35.26,Kabupaten Bangkalan,Jawa Timur,273,25,8,0,1,239,0.7576,-7.046392499923124,112.73706719653809,64.4
33.03,Kabupaten Purbalingga,Jawa Tengah,239,74,25,0,5,135,0.7475,-7.388814420295788,109.3640761679762,23.7
33.29,Kabupaten Brebes,Jawa Tengah,297,94,32,1,13,157,0.7460,-6.870110551867783,109.03921083886512,45.4
33.20,Kabupaten Jepara,Jawa Tengah,195,35,12,0,7,141,0.7447,-6.59009446252794,110.66812971187831,99.4
32.01,Kabupaten Bogor,Jawa Barat,435,175,65,2,13,180,0.7292,-6.479478948089524,106.82471731002641,28.7
33.73,Kota Salatiga,Jawa Tengah,23,8,3,0,3,9,0.7273,-7.33043714839692,110.5008298965402,15.4
32.14,Kabupaten Purwakarta,Jawa Barat,192,79,30,1,8,74,0.7248,-6.556211845847212,107.44125672537048,29.5
32.10,Kabupaten Majalengka,Jawa Barat,343,117,45,0,12,169,0.7222,-6.836270833744539,108.22755549468556,20.0
32.11,Kabupaten Sumedang,Jawa Barat,277,111,45,0,6,115,0.7115,-6.86120394309925,107.92061689653679,36.8
33.10,Kabupaten Klaten,Jawa Tengah,401,53,22,0,7,319,0.7067,-7.712385036340197,110.59213566770745,25.0
35.29,Kabupaten Sumenep,Jawa Timur,330,43,18,3,2,264,0.7049,-7.014033429943415,113.86352599653785,121.7
36.03,Kabupaten Tangerang,Banten,274,74,31,0,3,166,0.7048,-6.269630455565761,106.48440474071201,57.0
32.08,Kabupaten Kuningan,Jawa Barat,376,125,53,0,11,187,0.7022,-6.975864860855258,108.48310462537334,13.1
32.75,Kota Bekasi,Jawa Barat,56,25,11,0,3,17,0.6944,-6.2360139577925855,106.9942480407117,60.5
32.72,Kota Sukabumi,Jawa Barat,33,11,5,0,1,16,0.6875,-6.917619028189996,106.93185683886544,16.2
33.01,Kabupaten Cilacap,Jawa Tengah,284,94,43,0,12,135,0.6861,-7.725598913851234,109.00953989681535,58.1
36.02,Kabupaten Lebak,Banten,345,133,63,1,9,139,0.6786,-6.3607670885178305,106.24618699653327,66.7
36.01,Kabupaten Pandeglang,Banten,339,102,50,1,10,176,0.6711,-6.316855430513631,106.11479446982028,80.1
