kode,nama,province,layer,markers
31.01.01.1001,Pulau Panggang,DKI Jakarta,UNKNOWN,
31.01.01.1002,Pulau Kelapa,DKI Jakarta,UNKNOWN,
31.01.01.1003,Pulau Harapan,DKI Jakarta,UNKNOWN,
31.01.02.1001,Pulau Untung Jawa,DKI Jakarta,UNKNOWN,
31.01.02.1002,Pulau Tidung,DKI Jakarta,UNKNOWN,
31.01.02.1003,Pulau Pari,DKI Jakarta,UNKNOWN,
31.71.01.1001,Gambir,DKI Jakarta,UNKNOWN,
31.71.01.1002,Cideng,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.71.01.1003,Petojo Utara,DKI Jakarta,UNKNOWN,
31.71.01.1004,Petojo Selatan,DKI Jakarta,UNKNOWN,
31.71.01.1005,Kebon Kelapa,DKI Jakarta,UNKNOWN,
31.71.01.1006,Duri Pulo,DKI Jakarta,UNKNOWN,
31.71.02.1001,Pasar Baru,DKI Jakarta,UNKNOWN,
31.71.02.1002,Karang Anyar,DKI Jakarta,PRE_HINDU,[karang]
31.71.02.1003,Kartini,DKI Jakarta,UNKNOWN,
31.71.02.1004,Gunung Sahari Utara,DKI Jakarta,PRE_HINDU,gunung-
31.71.02.1005,Mangga Dua Selatan,DKI Jakarta,UNKNOWN,
31.71.03.1001,Kemayoran,DKI Jakarta,UNKNOWN,
31.71.03.1002,Kebon Kosong,DKI Jakarta,UNKNOWN,
31.71.03.1003,Harapan Mulia,DKI Jakarta,ARABIC,[mulia]
31.71.03.1004,Serdang,DKI Jakarta,UNKNOWN,
31.71.03.1005,Gunung Sahari Selatan,DKI Jakarta,PRE_HINDU,gunung-
31.71.03.1006,Cempaka Baru,DKI Jakarta,UNKNOWN,
31.71.03.1007,Sumur Batu,DKI Jakarta,PRE_HINDU,sumur-; [batu]
31.71.03.1008,Utan Panjang,DKI Jakarta,UNKNOWN,
31.71.04.1001,Senen,DKI Jakarta,UNKNOWN,
31.71.04.1002,Kenari,DKI Jakarta,UNKNOWN,
31.71.04.1003,Paseban,DKI Jakarta,UNKNOWN,
31.71.04.1004,Kramat,DKI Jakarta,UNKNOWN,
31.71.04.1005,Kwitang,DKI Jakarta,UNKNOWN,
31.71.04.1006,Bungur,DKI Jakarta,UNKNOWN,
31.71.05.1001,Cempaka Putih Timur,DKI Jakarta,UNKNOWN,
31.71.05.1002,Cempaka Putih Barat,DKI Jakarta,UNKNOWN,
31.71.05.1003,Rawasari,DKI Jakarta,MIXED,-sari; rawa-
