Language_ID,n_concepts,n_cognate,cognacy_rate,ID,Name,Glottocode,Latitude,Longitude,Macroarea,dist_java_km,dist_taiwan_km,region
1,201,83,0.4129353233830846,1,Balinese,bali1278,-8.35714,115.075,Papunesia,523.6067096095164,3600.43459206296,Bali/Lesser Sunda
2,179,74,0.4134078212290503,2,Banggai (W.dialect),bang1368,-1.58305,123.171,Papunesia,1560.4376958228825,2798.9802021815494,Sulawesi
3,157,78,0.4968152866242038,3,Banggi,bong1289,7.29249,117.174,Papunesia,1808.2409942304012,1847.9039806854382,Philippines
4,187,47,0.25133689839572193,4,Banoni,bann1247,-6.23061,155.128,Papunesia,4937.87133525284,4965.250629061351,Melanesia
5,201,86,0.42786069651741293,5,Bantik,bant1286,1.44586,124.846,Papunesia,1886.0682895369237,2487.1054977675544,Borneo
6,201,99,0.4925373134328358,6,Gayo,gayo1244,4.3733,97.3456,Papunesia,1959.8511206115459,3310.9690691737787,Sumatra/Malay
7,192,74,0.3854166666666667,7,Gedaged,geda1237,-5.18175,145.781,Papunesia,3917.544180946514,4171.4339925430995,Melanesia
8,195,89,0.4564102564102564,8,Geser,gese1240,-3.8016,130.701,Papunesia,2283.2216817666626,3212.8045949425496,Eastern Indonesia
9,173,67,0.3872832369942196,9,Ghari,ghar1239,-9.4791,159.917,Papunesia,5445.879571898352,5598.524670378778,Melanesia
10,199,54,0.271356783919598,10,Gimán,gane1237,-0.42618,127.976,Papunesia,2101.173969996097,2765.180107177823,Eastern Indonesia
12,200,67,0.335,12,Gorontalo (Hulondalo),goro1259,0.62689,122.288,Papunesia,1598.3564025658995,2547.16873781143,Borneo
13,201,99,0.4925373134328358,13,Hanunóo,hanu1241,12.4159,121.221,Papunesia,2516.8760732261435,1232.7164525970234,Eastern Indonesia
14,201,84,0.417910447761194,14,Bima,bima1247,-8.57376,118.445,Papunesia,893.7599960113615,3577.2405225858447,Sulawesi
15,197,94,0.47715736040609136,15,Bintulu,bint1246,3.867,113.634,Papunesia,1313.9012717990338,2322.0313471960185,Borneo
16,193,69,0.35751295336787564,16,Bobot,bobo1254,-3.43514,130.179,Papunesia,2234.927995957967,3155.935901168937,Eastern Indonesia
17,196,72,0.3673469387755102,17,Bonerate,bone1254,-7.37657,121.792,Papunesia,1256.1128152135093,3434.396446652366,Sulawesi
18,200,83,0.415,18,Chamorro,cham1312,13.438011,144.74474,Papunesia,4449.729449135493,2737.2615458895675,Melanesia
19,193,56,0.29015544041450775,19,Canala,xara1244,-21.7034,165.996,Papunesia,6153.197388603577,6997.5275860921165,Oceania (Remote)
20,201,68,0.3383084577114428,20,Javanese,java1254,-7.001,109.287,Papunesia,134.72630541763908,3622.421640349034,Java
21,172,37,0.21511627906976744,21,Kilokaka (Ysabel),zaza1245,-8.18719,159.255,Papunesia,5378.843073183139,5448.975311603913,Melanesia
22,200,85,0.425,22,Timugon (Murut),timu1262,5.1796,115.826,Papunesia,1533.0441022453863,2111.2614396488807,Philippines
23,114,28,0.24561403508771928,23,Kis,kiss1246,-3.83909,143.96,Papunesia,3734.508855488813,3928.7331751857496,Melanesia
24,176,54,0.3068181818181818,24,Mor,morm1235,-2.87055,135.95,Papunesia,2874.87941831909,3349.6792695690833,Eastern Indonesia
25,200,78,0.39,25,Mota,mota1237,-13.835361,167.690924,Papunesia,6286.462884091699,6557.528533512188,Oceania (Remote)
26,200,78,0.39,26,Motu,motu1246,-9.67492,147.424,Papunesia,4075.9983750428773,4675.7796422305755,Melanesia
27,201,79,0.39303482587064675,27,Muna (Katobu-Tongkuno Dialect),muna1247,-5.40419,122.541,Papunesia,1361.4508842771147,3218.348869926166,Sulawesi
28,201,114,0.5671641791044776,28,Iban,iban1264,2.09041,112.934,Papunesia,1102.83704412624,2534.1717005792384,Borneo
29,198,84,0.42424242424242425,29,Kaidipang,kaid1239,0.85641,123.217,Papunesia,1698.255299239331,2529.18614073846,Borneo
30,178,70,0.39325842696629215,30,Kairiru,kair1263,-3.34608,143.558,Papunesia,3698.152981514312,3858.063819539769,Melanesia
31,199,64,0.32160804020100503,31,Kakiduge:n Ilongot,ilon1239,16.3785,121.547,Papunesia,2924.7959207938825,793.9325456891853,Eastern Indonesia
32,201,91,0.4527363184079602,32,Kambera,kamb1299,-9.88447,120.235,Papunesia,1112.9707615772757,3713.1159584973066,Sulawesi
33,200,90,0.45,33,Kapampangan,pamp1243,14.9603,120.502,Papunesia,2734.49167339821,951.0060577060278,Eastern Indonesia
34,201,78,0.3880597014925373,34,Lamaholot Ile Mandiri (Flores Timur),lama1277,-8.36439,122.803,Papunesia,1369.2679088127868,3548.5758239112743,Sulawesi
37,199,70,0.35175879396984927,37,Bughotu,bugh1239,-8.47948,159.802,Papunesia,5437.437341637367,5515.688328864222,Melanesia
38,200,81,0.405,38,Marquesan,nort2845,-8.89412,-140.108,Papunesia,11993.283972368039,11301.43731399238,Madagascar
39,167,55,0.32934131736526945,39,Ali,kapp1237,-3.28761,142.659,Papunesia,3600.4906381708693,3791.9486438156896,Melanesia
40,189,41,0.21693121693121692,40,Ambai (Yapen),amba1265,-1.88126,136.526,Papunesia,2960.6617182185055,3284.471899856847,Eastern Indonesia
41,200,97,0.485,41,Mori,mori1268,-2.56016,121.37,Papunesia,1333.1303846429123,2898.034594617308,Sulawesi
42,195,86,0.441025641025641,42,Atoni,uabm1237,-9.77284,124.144,Papunesia,1531.7393239733503,3715.5377907696297,Sulawesi
43,200,104,0.52,43,Aklanon - Bisayan,akla1241,11.5543,122.354,Papunesia,2497.4620082346073,1336.0010346835747,Eastern Indonesia
44,173,24,0.13872832369942195,44,Babatana,baba1268,-7.22281,157.149,Papunesia,5152.98103608146,5204.310439959825,Melanesia
45,201,93,0.4626865671641791,45,Berawan (Long Terawan),west2564,3.9815,114.528,Papunesia,1356.359274377053,2278.9282213860783,Borneo
46,184,45,0.24456521739130435,46,Biga (Misool),matb1237,-1.8801,130.075,Papunesia,2267.2863922084175,2988.1318938162794,Eastern Indonesia
47,196,93,0.4744897959183674,47,Bikol (Naga City),cent2087,13.7574,123.403,Papunesia,2765.361877552735,1112.4306744866349,Eastern Indonesia
48,201,103,0.5124378109452736,48,Buginese (Soppeng Dialect),bugi1244,-4.47,119.977,Papunesia,1111.2736679549319,3112.1010650234707,Sulawesi
49,197,67,0.3401015228426396,49,Buli,buli1255,1.0008,128.443,Papunesia,2213.18800744425,2627.4386947859844,Eastern Indonesia
50,201,94,0.46766169154228854,50,Buru [Namrole Bay],buru1303,-3.43957,126.632,Papunesia,1852.1300187342238,3057.099996990179,Eastern Indonesia
52,201,77,0.38308457711442784,52,Hawaiian,hawa1245,19.6297,-155.43,Papunesia,10721.012099447295,8524.472406189652,Mainland SEA
53,199,84,0.4221105527638191,53,Hitu (Ambon),hitu1239,-3.57478,128.186,Papunesia,2015.8314411981737,3109.704631981518,Eastern Indonesia
54,174,26,0.14942528735632185,54,Hoava,hoav1238,-8.19679,157.595,Papunesia,5196.295059339469,5313.515423824015,Melanesia
55,188,52,0.2765957446808511,55,Kasira (Irahutu),irar1238,-2.94438,133.586,Papunesia,2616.1324998250884,3241.1780971938615,Eastern Indonesia
56,191,23,0.12041884816753927,56,Kaulong (Au Village),kaul1240,-6.08192,149.696,Papunesia,4340.362048686956,4530.352564144172,Melanesia
57,191,48,0.2513089005235602,57,Kayupulau [Kajupulau],kayu1243,-2.54415,140.626,Papunesia,3391.761412500895,3591.9516024941463,Melanesia
58,200,87,0.435,58,Rarotongan,raro1241,-21.23,-159.78,Papunesia,9687.785537960732,9908.83558030345,Madagascar
59,197,76,0.38578680203045684,59,Kei (Tanimbar-Kei),keii1239,-5.63948,133.02,Papunesia,2506.933152040404,3493.0263015752807,Eastern Indonesia
60,200,94,0.47,60,Kelabit (Bario),kela1258,3.31783,115.428,Papunesia,1325.9601911158977,2322.722030739703,Borneo
61,172,78,0.45348837209302323,61,Kemak,kema1243,-9.00299,125.159,Papunesia,1632.5704808879084,3642.349985891298,Eastern Indonesia
62,201,95,0.472636815920398,62,Kenyah (Long Anap),main1275,3.42975,116.47431,Papunesia,1389.7045677217159,2284.1095058481164,Borneo
63,199,103,0.5175879396984925,63,Kerinci,keri1250,-1.93668,101.403,Papunesia,1173.0048508481768,3535.0619397386863,Sumatra/Malay
64,172,80,0.46511627906976744,64,Nukuoro,nuku1260,3.84,154.975,Papunesia,5103.860309971872,4251.342218536298,Melanesia
65,191,60,0.31413612565445026,65,Kusaie,kosr1238,5.31,162.98,Papunesia,6004.491108996802,4925.877929392958,Melanesia
66,198,48,0.24242424242424243,66,Kwaio,kwai1243,-8.93744,160.965,Papunesia,5562.970035423095,5645.762171797176,Melanesia
67,199,26,0.1306532663316583,67,Lamogai (Mulakaino),lamo1244,-5.87071,149.321,Papunesia,4300.882392053147,4485.06287341765,Melanesia
68,199,78,0.39195979899497485,68,Lau,lauu1247,-8.51018,160.872,Papunesia,5554.830288628133,5607.187142410341,Melanesia
69,178,66,0.3707865168539326,69,Leipon,leip1237,-1.9665,147.226,Papunesia,4124.918488237585,4008.743488986032,Melanesia
70,193,97,0.5025906735751295,70,Letinese,leti1246,-8.19808,127.674,Papunesia,1904.2206630108335,3598.553969756943,Eastern Indonesia
71,188,48,0.2553191489361702,71,Levei,kheh1237,-2.06626,146.746,Papunesia,4070.467135108934,3980.295637560428,Melanesia
72,183,58,0.31693989071038253,72,Likum,liku1243,-2.16157,146.695,Papunesia,4063.0861090444664,3984.2102483678286,Melanesia
73,197,70,0.3553299492385787,73,Loniu,loni1238,-2.06124,147.35,Papunesia,4136.708428965978,4025.87221771371,Melanesia
74,187,62,0.3315508021390374,74,Lou,louu1245,-2.38659,147.346,Papunesia,4130.301856191703,4051.8503434366185,Melanesia
75,201,96,0.47761194029850745,75,Madurese,nucl1460,-7.0,113.0,Papunesia,292.13335833634693,3501.0455322397975,Bali/Lesser Sunda
76,200,62,0.31,76,Nêlêmwa,kuma1276,-20.4035,164.193,Papunesia,5952.1786542444115,6762.381832688902,Oceania (Remote)
77,200,43,0.215,77,Yapese,yape1248,9.55811,138.125,Papunesia,3609.4526277357095,2390.1824862444932,Eastern Indonesia
78,192,102,0.53125,78,Yamdena,yamd1240,-7.73722,131.44,Papunesia,2318.8052315506566,3654.039418367093,Eastern Indonesia
80,201,73,0.36318407960199006,80,Murnaten (Alune),alun1238,-3.11477,128.394,Papunesia,2050.5143782351906,3065.942444074414,Eastern Indonesia
82,191,57,0.29842931937172773,82,Maleu,male1289,-5.61613,148.445,Papunesia,4206.697284780853,4399.262446060844,Melanesia
83,196,106,0.5408163265306123,83,Maloh,emba1238,1.3156,112.63,Papunesia,1010.977518673903,2626.6598019269736,Borneo
