candi,candi_lat,candi_lon,kab_code,kab_name,distance_km,prehidu_ratio,volcano_dist
Candi Jawi,-7.6624877,112.669879,35.15,Kabupaten Sidoarjo,24.524293516665967,0.5714,7.544029044626031
Candi Tikus,-7.5718035,112.4035341,35.16,Kabupaten Mojokerto,12.55565803669839,0.5056,24.53218282087108
Candi Bajang Ratu,-7.5677409,112.3987632,35.16,Kabupaten Mojokerto,12.273735620750342,0.5056,25.13717537248246
Candi jolotundo,-7.6100965,112.595732,35.15,Kabupaten Sidoarjo,22.585335163680732,0.5714,2.92748519403946
Candi Naga 1,-7.608458,112.6105279,35.15,Kabupaten Sidoarjo,21.498703198614965,0.5714,1.4065784691770526
Candi Putri,-7.611832,112.6093412,35.15,Kabupaten Sidoarjo,21.884003697334,0.5714,1.4158611723889458
Candi Gentong,-7.6111708,112.6122723,35.15,Kabupaten Sidoarjo,21.646736795826193,0.5714,1.117339461159641
Candi Bayi,-7.6139718,112.6055954,35.15,Kabupaten Sidoarjo,22.310266201738372,0.5714,1.8080282638062384
Candi Pura,-7.6115047,112.6106941,35.15,Kabupaten Sidoarjo,21.77212032247176,0.5714,1.2765960989138916
Candi Kendalisodo,-7.6067777,112.6076324,35.15,Kabupaten Sidoarjo,21.522049370982177,0.5714,1.775532442552149
Candi Tawangalun,-7.3988488,112.7891649,35.15,Kabupaten Sidoarjo,9.50323905253603,0.5714,30.19862823241513
Candi Kethek,-7.5939326,111.1602927,35.2,Kabupaten Magetan,19.866916392052364,0.3438,4.913893947631907
Candi Wisnu,-7.6147858,112.613817,35.15,Kabupaten Sidoarjo,21.896548896851172,0.5714,0.9061075450484064
Candi Guru,-7.6148901,112.6127009,35.15,Kabupaten Sidoarjo,21.97122072451602,0.5714,1.029662910916638
Candi Selokelir,-7.6251042,112.6080982,35.15,Kabupaten Sidoarjo,23.204058129008246,0.5714,1.9677591911239267
Candi,-7.6176551,112.610255,35.15,Kabupaten Sidoarjo,22.374820015727583,0.5714,1.3567689434056875
Candi Naga,-7.6138526,112.6106987,35.15,Kabupaten Sidoarjo,21.991401774341817,0.5714,1.2456756565187417
Candi Lurah,-7.613422,112.6118635,35.15,Kabupaten Sidoarjo,21.882093480948758,0.5714,1.119037645436186
Candi,-7.6252159,112.6159826,35.15,Kabupaten Sidoarjo,22.77281906210951,0.5714,1.412520938489828
Candi Merak,-7.6066004,112.6133722,35.15,Kabupaten Sidoarjo,21.154012425988995,0.5714,1.2574736993166042
Candi Penampihan,-7.9027228,111.7952694,35.03,Kabupaten Trenggalek,18.723382168160533,0.6042,11.304467359339712
Candi Rengganis,-7.9647946,113.5730157,35.09,Kabupaten Jember,26.853479384245418,0.4894,25.36580721126352
Candi Tumpak Wolu,-7.6032232,112.6158902,35.15,Kabupaten Sidoarjo,20.6878988463535,0.5714,1.3745718815747598
Candi Wayang,-7.6054843,112.6217173,35.15,Kabupaten Sidoarjo,20.56009261662764,0.5714,0.9474151266147434
Candi NN,-7.6047027,112.6170999,35.15,Kabupaten Sidoarjo,20.754237546432286,0.5714,1.1663798973327502
Candi Gajah Mungkur,-7.604506,112.6215523,35.15,Kabupaten Sidoarjo,20.476483987182633,0.5714,1.0568371852391591
Candi Griya,-7.6032082,112.6206324,35.15,Kabupaten Sidoarjo,20.406535642641472,0.5714,1.2094230479245176
Candi Kerajaan,-7.6039862,112.6236257,35.15,Kabupaten Sidoarjo,20.30900171709984,0.5714,1.1278079563382657
Candi Kama 4,-7.6042414,112.6206256,35.15,Kabupaten Sidoarjo,20.504691090019676,0.5714,1.095629116564983
Candi Gedog,-8.0877749,112.1841994,35.72,Kota Blitar,2.506801702674969,0.5,22.21728583296033
Candi Dadi,-8.1302386,111.9268294,35.04,Kabupaten Tulungagung,7.870207667438138,0.4578,40.367456076699504
Candi Ketawanggede,-7.946843,112.6123534,35.73,Kota Malang,4.17571974507837,0.3684,24.570027956940056
Candi Karang Besuki,-7.9523146,112.5997549,35.73,Kota Malang,4.701988976307038,0.3684,24.980729245455016
Candi Sengon,-7.6045661,112.6151579,35.15,Kabupaten Sidoarjo,20.857095934518952,0.5714,1.291929762172256
Candi Simping,-8.1640797,112.1461388,35.72,Kota Blitar,7.496421370093919,0.5,31.544673278112526
Candi Sirah Kencong,-7.9800031,112.4278234,35.79,Kota Batu,16.105851404198287,0.1818,14.319109267218325
Candi Gambar Wetan,-7.9680444,112.2388364,35.72,Kota Blitar,16.71817233468075,0.5,8.712670585215148
Candi Wringin Branjang,-8.0027503,112.2817723,35.05,Kabupaten Blitar,15.452216608178158,0.4205,8.589608691953693
Candi Brahu,-7.5429066,112.3743651,35.16,Kabupaten Mojokerto,11.029042244101792,0.5056,28.416928104464613
Candi Gentong,-7.5435102,112.3780875,35.16,Kabupaten Mojokerto,10.847319730106614,0.5056,28.00418210395373
Candi Wringin Lawang,-7.5418917,112.3909426,35.16,Kabupaten Mojokerto,9.959270026640763,0.5056,26.700367757852323
Taman Candi Jago,-8.005805,112.7640344,35.73,Kota Malang,14.671388762838337,0.3684,20.774940143706004
Kompleks Candi Sumberawan,-7.8553516,112.6448151,35.73,Kota Malang,13.667914343899353,0.3684,16.017194511313832
Candi Pari,-7.5161315,112.6834255,35.15,Kabupaten Sidoarjo,8.566840280453569,0.5714,12.816843660990523
Candi Cetho,-7.5957362,111.1581311,35.2,Kabupaten Magetan,20.0221851682842,0.3438,4.952049622015978
Candi Menak Jinggo,-7.5583872,112.3865115,35.16,Kabupaten Mojokerto,11.81559976196325,0.5056,26.682405947088053
Candi Bangkal,-7.543221,112.6355351,35.15,Kabupaten Sidoarjo,14.031113034099853,0.5714,8.010418910985821
Candi Petirtaan Belahan,-7.6075228,112.6513504,35.15,Kabupaten Sidoarjo,19.287805514085377,0.5714,3.314074172229013
Situs Candi Terung,-7.3947721,112.6203456,35.15,Kabupaten Sidoarjo,12.250750984970857,0.5714,24.377712537835126
Candi Kesiman,-7.6504231,112.5299286,35.16,Kabupaten Mojokerto,23.414019201934572,0.5056,10.05031635601139
Candi Patakan,-7.2836656,112.2565327,35.24,Kabupaten Lamongan,25.18548722906858,0.4697,54.52430055687243
Candi Surowono,-7.7464638,112.2180204,35.06,Kabupaten Kediri,20.450790731371907,0.506,22.687928368525384
Candi Tegowangi,-7.7347204,112.1611752,35.06,Kabupaten Kediri,15.205751597459571,0.506,27.075743038580452
Situs Candi Tondowongso,-7.7905516,112.1422892,35.06,Kabupaten Kediri,11.220779551185826,0.506,23.95014150252409
Candi Mirigambar,-8.1341345,111.9759543,35.04,Kabupaten Tulungagung,11.351455311007042,0.4578,43.03294499038896
Candi Penataran,-8.0163487,112.2092507,35.72,Kota Blitar,10.44204340282381,0.5,14.506527738932354
Situs Candi Gempur Adan-Adan,-7.769902,112.1171099,35.06,Kabupaten Kediri,9.108716642215828,0.506,27.55091774592358
Candi Ngetos,-7.6935104,111.8424528,35.18,Kabupaten Nganjuk,12.10347368072224,0.5802,15.768686401513587
Situs Candi Ganter,-7.8271272,112.3939101,35.79,Kota Batu,13.733016242967404,0.1818,14.84553514384028
Candi Situsumpak,-7.5406294,112.4025429,35.16,Kabupaten Mojokerto,9.29502509989578,0.5056,25.52819038742014
Candi Kedaton,-7.5704583,112.3796406,35.16,Kabupaten Mojokerto,13.354265843657652,0.5056,27.148101795405
candi jawar,-8.1680934,112.8953201,35.73,Kota Malang,35.72830210343234,0.3684,7.298970614628095
Cagar Budaya Candi Pendem,-7.497183,111.2241471,35.2,Kabupaten Magetan,21.136177138820862,0.3438,14.64768030254971
Candi Songgoriti,-7.8672218,112.4927191,35.79,Kota Batu,2.3322764811752017,0.1818,17.843502120761723
Candi Badut,-7.95776,112.59857,35.73,Kota Malang,4.476761275822649,0.3684,25.56911220837899
Candi Sumberawan,-7.85722,112.652,35.73,Kota Malang,13.554998483571653,0.3684,16.590176070886262
Candi Satu,-8.4078258,114.1649588,35.1,Kabupaten Banyuwangi,30.225905657714353,0.4787,34.23589349843994
Candi Borobudur,-8.2011378,111.088786,35.01,Kabupaten Pacitan,1.7469353590169647,0.5,65.06432108480904
Candi Mendut,-7.9405761,112.6271802,35.73,Kota Malang,4.202200607057613,0.3684,24.218199023170307
Candi Pendem,-7.4971784,111.2241507,35.2,Kabupaten Magetan,21.136387438314475,0.3438,14.648272610667703
Candi Prambanan,-8.1992747,111.0914972,35.01,Kabupaten Pacitan,1.3902454494274439,0.5,64.80868820650375
Candi Plaosan,-8.2182728,114.3671726,35.1,Kabupaten Banyuwangi,0.535956525551105,0.4787,22.526665222312683
Candi Sewu,-7.940663,112.6343583,35.73,Kota Malang,4.128525890528211,0.3684,24.427264247958107
Candi Merak,-7.6066004,112.6133722,35.15,Kabupaten Sidoarjo,21.154012425988995,0.5714,1.2574736993166042
Candi Sukuh,-7.6273153,111.1315373,33.13,Kabupaten Karanganyar,21.44348621315569,0.5962,6.668651043298096
