word,origin,domain,meaning,etymology,attestation
kayu,native,nature,wood/tree,PMP *kahiw,All kakawin
waringin,native,nature,banyan tree,Austronesian,"Ramayana, Nagarakretagama"
pandan,native,nature,pandanus,PMP *pandan,Ramayana
wuŋa,native,nature,flower,PMP *buŋa,All kakawin
ron,native,nature,leaf,PMP *dahun (shifted),All kakawin
wwah,native,nature,fruit,PMP *buaq,All kakawin
alas,native,nature,forest,PMP *alas,"Ramayana, Arjunawiwaha"
gunung,native,nature,mountain,PMP *gunuŋ,All kakawin
wukir,native,nature,mountain (literary),PMP *bukid,Arjunawiwaha
sagara,ambiguous,nature,sea,Skt sagara / PMP *tasik,Ramayana
tasik,native,nature,sea/lake,PMP *tasik,Ramayana
lwah,native,nature,river,Austronesian,Nagarakretagama
watu,native,nature,stone,PMP *batu,All kakawin
tanah,native,nature,earth/land,PMP *taneq,All kakawin
langit,native,nature,sky,PMP *langit,All kakawin
angin,native,nature,wind,PMP *haŋin,All kakawin
udan,native,nature,rain,PMP *quzan,Ramayana
banyu,native,nature,water,PMP *wanun? or local,Nagarakretagama
wway,native,nature,water,PMP *wahiR,All kakawin
kukus,native,nature,smoke,PMP *kukus,Ramayana
apuy,native,nature,fire,PMP *hapuy,All kakawin
awu,native,nature,ash,PMP *qabu,Ramayana
geni,native,nature,fire (lit.),Javanese innovation,Bharatayuddha
manuk,native,nature,bird,PMP *manuk,All kakawin
mina,native,nature,fish,PMP *mina? or local,Ramayana
ula,native,nature,snake,PMP *SulaR,Ramayana
asu,native,nature,dog,PMP *asu,Ramayana
wanara,sanskrit,nature,monkey,Skt vanara,Ramayana
gajah,sanskrit,nature,elephant,Skt gaja,All kakawin
naga,sanskrit,nature,serpent/dragon,Skt naga,All kakawin
garuda,sanskrit,nature,eagle deity,Skt garuda,All kakawin
singha,sanskrit,nature,lion,Skt simha,Ramayana
mayura,sanskrit,nature,peacock,Skt mayura,Arjunawiwaha
kaga,sanskrit,nature,bird (literary),Skt khaga,Ramayana
padma,sanskrit,nature,lotus,Skt padma,All kakawin
kamala,sanskrit,nature,lotus (another),Skt kamala,Ramayana
taru,sanskrit,nature,tree (literary),Skt taru,Arjunawiwaha
wana,sanskrit,nature,forest (literary),Skt vana,"Ramayana, Arjunawiwaha"
parwata,sanskrit,nature,mountain (literary),Skt parvata,Arjunawiwaha
samudra,sanskrit,nature,ocean,Skt samudra,Ramayana
megha,sanskrit,nature,cloud,Skt megha,All kakawin
surya,sanskrit,nature,sun,Skt surya,All kakawin
chandra,sanskrit,nature,moon,Skt candra,All kakawin
tara,sanskrit,nature,star (literary),Skt tara,Arjunawiwaha
ratri,sanskrit,nature,night,Skt ratri,All kakawin
akasa,sanskrit,nature,sky/space,Skt akasha,All kakawin
tangan,native,body,hand,PMP *tangan,ABVD attestation
suku,native,body,foot,PMP *suku? or local,Kakawin usage
mata,native,body,eye,PMP *mata,All kakawin
kulit,native,body,skin,PMP *kulit,Ramayana
balung,native,body,bone,PMP *baluŋ? or local,Literary
ati,native,body,liver/heart,PMP *qatay,All kakawin
rah,native,body,blood,PMP *daRaq,"Ramayana, Bharatayuddha"
hulu,native,body,head,PMP *qulu,All kakawin
rambut,native,body,hair,PMP *Rambut?,All kakawin
irung,native,body,nose,PMP *ijuŋ,Literary
ilat,native,body,tongue,PMP *dilaq,Literary
susu,native,body,breast,PMP *susu,Literary
weteng,native,body,belly,PMP *beteŋ? or local,Literary
