concept,parameter_id,oj_form,pmp_form,oj_cognacy,pmp_cognacy,shared_cognacy,is_cognate_with_pmp
wide,159_wide,lwâ,*ma-labeʀ,1?,49,,False
to flow,123_toflow,hili,*qaliʀ,56,1,,False
branch,113_branch,paŋ,*daqan,20,1,,False
"to die, be dead",75_todiebedead,pati,*m-atay,1,1,1,True
to turn,8_toturn,putěr,*biliŋ,1,4,1,True
to yawn,47_toyawn,a-ŋhwap,*ma-huab,19,19,19,True
to hear,44_tohear,rěŋö,*deŋeʀ,1,1,1,True
to throw,94_tothrow,habalaŋ,*tudaq,nan,1,,False
rain,133_rain,udan,*quzan,1,1,1,True
neck,25_neck,gulû,*liqeʀ,39,1,,False
black,147_black,hirěŋ,*ma-qitem,32,1,,False
liver,17_liver,ati,*qatay,1,1,1,True
person/human being,53_personhumanbeing,wwaŋ,*tau,20,1,,False
yellow,150_yellow,kuniŋ,*ma-kunij,1,1,1,True
"no, not",195_nonot,tan,*qazi,nan,1,,False
earth/soil,119_earthsoil,tanah,*tanaq,1,1,1,True
tongue,32_tongue,ilat,*dilaq,"4,25",4,4,True
to cook,39_tocook,tasak,*tanek,19,1,,False
blood,23_blood,râh,*daʀaq,1,1,1,True
bone,15_bone,tahulan,*tuqelan,1,1,1,True
to sleep,48_tosleep,turû,*tiduʀ,1,1,1,True
thunder,134_thunder,gěrěh,*gurgur,1,1,1,True
dirty,10_dirty,rigěd,*cemed,34,26,,False
to lie down,49_toliedown,g<um>uliŋ,*qinep,54,1,,False
rat,102_rat,tikus,*labaw,22,1,,False
to blow,137_toblow,tyup,*hiup,"1,19",1,1,True
Five,201_five,lima,*lima,1,1,1,True
small,152_small,d.ěmit,*dikiq,23,138,,False
to split,80_tosplit,pilah,*belaq,1?,1,,False
to cry,34_tocry,tangis,*taŋis,1,1,1,True
to hide,171_tohide,wuni,*buni,1,1,1,True
right,3_right,kanan,*ka-wanan,"1,73","1,62",1,True
back,13_back,gěgěr,*likud,26,1,,False
to spit,36_tospit,idu,*luzaq,32,1,,False
meat/flesh,103_meatflesh,maŋsa,*hesi,nan,1,31,True
fish,111_fish,iwak,*hikan,25,1,,False
woods/forest,127_woodsforest,alas,*alas,1,1,1,True
year,169_year,tahun,*taqun,1,1,1,True
cloud,131_cloud,megha,*ʀabun,113,1,,False
day,168_day,rahina,*qalejaw,11,1,,False
head,24_head,hulu,*qulu,1,1,1,True
