lat,lon,volcano,dist_volcano_km,burial_depth_cm,sedi_rate_mm_yr,nearby_candi,nearest_kab,kab_prehidu_ratio,composite_score,angle_deg
-7.9964,112.2716,Kelud,8,2130.0,13.1,6,Kabupaten Blitar,0.42,48.27,210
-7.934,112.2352,Kelud,8,2130.0,13.1,6,Kota Blitar,0.5,48.03,270
-8.051,112.2398,Kelud,15,2130.0,13.1,7,Kabupaten Blitar,0.42,47.84,210
-7.9881,112.2135,Kelud,12,2130.0,13.1,6,Kota Blitar,0.5,47.5,240
-7.9964,112.3444,Kelud,8,2130.0,13.1,4,Kabupaten Blitar,0.42,47.27,150
-7.934,112.3808,Kelud,8,2130.0,13.1,2,Kota Batu,0.182,46.99,90
-7.934,112.4444,Kelud,15,2130.0,13.1,3,Kota Batu,0.182,46.56,90
-7.8716,112.3444,Kelud,8,2130.0,13.1,1,Kota Batu,0.182,46.49,30
-7.9881,112.4025,Kelud,12,2130.0,13.1,2,Kota Batu,0.182,46.46,120
-7.8664,112.4262,Kelud,15,2130.0,13.1,2,Kota Batu,0.182,46.06,60
