lon_center,lat_center,site_count,road_dist,bpcb_dist,uni_dist,volcano_dist
110.950,-8.750,0,55302.5,121.9,125.7,175.2
110.950,-8.650,0,44298.1,111.9,116.2,169.7
110.950,-8.550,0,33367.2,102.1,107.1,164.8
110.950,-8.450,0,22507.7,92.6,98.3,160.5
110.950,-8.350,0,12017.0,83.5,90.1,156.8
110.950,-8.250,0,3636.6,75.0,82.5,153.9
110.950,-8.150,0,3297.6,67.2,75.8,151.7
110.950,-8.050,0,4262.3,60.4,70.2,150.4
110.950,-7.950,0,3429.0,55.1,66.1,149.8
110.950,-7.850,1,3582.9,51.7,63.6,150.1
110.950,-7.750,0,2391.8,50.6,63.1,151.1
110.950,-7.650,0,122.7,51.8,64.5,153.0
110.950,-7.550,0,1517.8,55.3,67.7,155.7
110.950,-7.450,0,3730.5,60.7,72.5,159.1
110.950,-7.350,0,2523.4,67.5,78.6,163.2
110.950,-7.250,0,5335.6,75.3,85.7,167.9
110.950,-7.150,0,759.2,83.9,93.6,173.2
110.950,-7.050,0,2581.0,93.0,102.0,179.0
110.950,-6.950,0,4016.0,102.5,111.0,185.4
111.050,-8.750,0,53440.8,126.9,131.6,165.9
111.050,-8.650,0,42672.9,117.3,122.6,160.1
111.050,-8.550,0,32139.7,108.0,113.9,154.9
111.050,-8.450,0,22079.0,99.0,105.7,150.2
111.050,-8.350,0,11631.9,90.6,98.1,146.3
111.050,-8.250,1,738.5,82.8,91.2,143.2
111.050,-8.150,3,184.0,75.8,85.2,140.9
111.050,-8.050,0,0.0,69.9,80.3,139.4
111.050,-7.950,0,43.4,65.4,76.7,138.8
111.050,-7.850,0,30.7,62.5,74.6,139.1
111.050,-7.750,0,68.6,61.6,74.1,140.2
111.050,-7.650,2,0.0,62.6,75.3,142.3
111.050,-7.550,1,289.3,65.6,78.1,145.1
111.050,-7.450,0,30.7,70.2,82.3,148.8
111.050,-7.350,0,130.1,76.1,87.7,153.1
111.050,-7.250,0,178.8,83.1,94.1,158.1
111.050,-7.150,0,864.0,91.0,101.3,163.7
111.050,-7.050,0,825.6,99.5,109.2,169.9
111.050,-6.950,0,126.4,108.4,117.6,176.6
111.150,-8.750,0,52281.8,132.6,138.1,156.8
111.150,-8.650,0,41212.2,123.4,129.5,150.7
111.150,-8.550,0,30173.2,114.6,121.3,145.1
111.150,-8.450,0,19103.6,106.2,113.7,140.2
111.150,-8.350,0,8064.8,98.4,106.6,136.0
111.150,-8.250,0,30.7,91.3,100.3,132.6
111.150,-8.150,0,186.5,85.0,94.9,130.0
111.150,-8.050,0,387.9,79.8,90.5,128.4
111.150,-7.950,0,30.7,75.9,87.3,127.8
111.150,-7.850,0,30.7,73.4,85.5,128.1
111.150,-7.750,1,721.7,72.6,85.1,129.3
111.150,-7.650,5,931.1,73.5,86.2,131.5
111.150,-7.550,5,110.6,76.0,88.6,134.6
111.150,-7.450,0,521.3,80.0,92.3,138.5
111.150,-7.350,1,61.3,85.3,97.2,143.2
111.150,-7.250,0,480.0,91.6,103.0,148.5
111.150,-7.150,0,43.4,98.8,109.6,154.5
111.150,-7.050,0,86.7,106.6,117.0,161.0
111.150,-6.950,0,153.3,115.0,124.9,168.0
111.250,-8.750,0,53313.7,138.9,145.1,148.0
111.250,-8.650,0,42393.7,130.2,137.0,141.5
111.250,-8.550,0,31615.3,121.9,129.3,135.5
111.250,-8.450,0,21057.8,114.0,122.1,130.2
111.250,-8.350,0,10602.8,106.8,115.6,125.7
111.250,-8.250,0,186.5,100.3,109.8,122.0
111.250,-8.150,0,30.7,94.6,104.9,119.2
111.250,-8.050,0,306.6,89.9,100.9,117.5
111.250,-7.950,0,110.6,86.5,98.1,116.8
111.250,-7.850,0,122.7,84.3,96.5,117.1
111.250,-7.750,0,0.0,83.6,96.1,118.5
111.250,-7.650,0,480.0,84.4,97.0,120.9
111.250,-7.550,0,178.8,86.6,99.2,124.2
111.250,-7.450,3,263.8,90.1,102.6,128.4
111.250,-7.350,1,196.3,94.9,106.9,133.4
111.250,-7.250,0,797.3,100.6,112.3,139.2
111.250,-7.150,0,510.3,107.2,118.4,145.5
111.250,-7.050,0,0.0,114.4,125.2,152.4
111.250,-6.950,0,542.5,122.3,132.6,159.8
111.350,-8.750,0,50745.1,145.8,152.6,139.5
111.350,-8.650,0,40095.4,137.5,144.9,132.5
111.350,-8.550,0,29690.7,129.7,137.7,126.1
111.350,-8.450,0,20040.2,122.3,131.0,120.4
111.350,-8.350,0,9834.0,115.6,124.9,115.5
111.350,-8.250,0,61.3,109.6,119.6,111.5
111.350,-8.150,0,0.0,104.4,115.0,108.5
111.350,-8.050,0,43.4,100.2,111.5,106.5
111.350,-7.950,0,565.4,97.1,108.9,105.7
111.350,-7.850,0,30.7,95.3,107.5,106.1
111.350,-7.750,0,97.0,94.6,107.1,107.6
111.350,-7.650,0,239.5,95.3,108.0,110.2
111.350,-7.550,0,910.7,97.3,109.9,113.9
111.350,-7.450,1,173.5,100.5,113.0,118.5
111.350,-7.350,1,290.9,104.7,117.0,123.9
111.350,-7.250,0,153.3,109.9,121.8,130.1
111.350,-7.150,0,1431.1,116.0,127.5,136.8
111.350,-7.050,0,290.9,122.7,133.9,144.1
111.350,-6.950,0,656.2,130.1,140.8,151.9
111.450,-8.750,0,48123.5,153.1,155.2,131.4
111.450,-8.650,0,37212.9,145.3,149.2,124.0
111.450,-8.550,0,26464.3,137.9,143.8,117.1
111.450,-8.450,0,16072.2,131.0,139.2,110.9
111.450,-8.350,0,5217.6,124.8,134.4,105.6
111.450,-8.250,0,43.4,119.2,129.5,101.1
111.450,-8.150,0,30.7,114.5,125.4,97.8
111.450,-8.050,0,282.7,110.7,122.1,95.6
111.450,-7.950,0,68.6,107.9,119.8,94.7
111.450,-7.850,0,68.6,106.2,118.4,95.1
111.450,-7.750,0,30.7,104.4,118.2,96.8
111.450,-7.650,1,43.4,102.8,118.9,99.7
111.450,-7.550,0,68.6,102.4,120.7,103.8
111.450,-7.450,4,0.0,103.2,123.5,108.8
111.450,-7.350,1,153.3,105.1,127.1,114.6
111.450,-7.250,0,0.0,108.2,131.6,121.3
111.450,-7.150,0,882.9,112.3,136.9,128.5
111.450,-7.050,0,460.0,117.3,142.9,136.2
111.450,-6.950,0,282.7,123.1,147.8,144.4
111.550,-8.750,0,46367.4,160.4,146.2,123.7
111.550,-8.650,0,35673.6,151.4,139.9,115.8
111.550,-8.550,0,25262.6,142.7,134.1,108.4
111.550,-8.450,0,14503.6,134.3,129.1,101.7
111.550,-8.350,0,4066.4,126.4,124.9,95.8
111.550,-8.250,0,61.3,119.0,121.5,90.9
111.550,-8.150,0,126.4,112.2,119.1,87.2
111.550,-8.050,0,68.6,106.1,117.7,84.7
111.550,-7.950,0,153.3,100.9,117.3,83.7
111.550,-7.850,0,239.5,96.7,118.0,84.2
111.550,-7.750,1,0.0,93.7,119.7,86.1
111.550,-7.650,5,30.7,91.8,122.4,89.3
111.550,-7.550,0,30.7,91.4,126.0,93.8
111.550,-7.450,0,68.6,92.2,130.5,99.3
111.550,-7.350,1,738.5,94.4,132.6,105.7
111.550,-7.250,0,178.8,97.8,132.4,112.8
111.550,-7.150,0,153.3,102.3,133.0,120.6
111.550,-7.050,0,678.8,107.8,134.6,128.8
111.550,-6.950,0,247.2,114.1,137.1,137.5
111.650,-8.750,0,45264.8,154.4,137.6,116.6
111.650,-8.650,0,34197.4,145.0,130.8,108.1
111.650,-8.550,0,23161.9,135.9,124.6,100.1
111.650,-8.450,0,12103.9,127.1,119.2,92.8
111.650,-8.350,0,1276.1,118.7,114.6,86.4
111.650,-8.250,0,548.5,110.7,110.9,80.9
111.650,-8.150,0,92.0,103.4,108.3,76.7
111.650,-8.050,0,126.4,96.8,106.7,73.9
111.650,-7.950,0,61.3,91.1,106.3,72.7
111.650,-7.850,0,68.6,86.4,107.0,73.2
111.650,-7.750,1,768.4,82.9,108.9,75.4
111.650,-7.650,0,2407.6,80.9,111.9,79.1
111.650,-7.550,0,30.7,80.3,115.8,84.1
111.650,-7.450,0,290.9,81.3,120.7,90.2
111.650,-7.350,0,92.0,83.8,121.6,97.2
111.650,-7.250,0,92.0,87.6,121.4,104.9
111.650,-7.150,0,214.6,92.6,122.1,113.2
111.650,-7.050,0,247.2,98.6,123.8,121.9
111.650,-6.950,1,613.3,105.5,126.5,131.0
111.750,-8.750,0,46743.3,148.9,129.3,110.0
111.750,-8.650,0,36102.0,139.2,122.0,101.0
111.750,-8.550,0,25382.8,129.7,115.4,92.5
111.750,-8.450,0,14607.1,120.4,109.5,84.5
111.750,-8.350,0,3665.8,111.5,104.5,77.3
