volume,year,match_type,match_desc,match_text,depth_m,depth_unit,site_name,has_site,has_volcanic,location,sites_nearby,volcanic_nearby,locations_nearby,page_est,context
OV_1912,1912,depth_el,X el diep,3 el diep,2.07,el,,False,False,,,,,17,"erk in den vorni van een paralle-   lopipedum, metende 7^ ^ bij 4^ ^ hoogte van   4 el. Volgens de berichten zou ..deze oudheid bestaan  hebben nit een hooge toren in den vorm van een ge-  knotte naald. gelijkvloers voorzien van 2 kamers’* (brief  van den Gouverneur van Sumatra’s Westknst aan de  Directie van het Bataviaascli Genootsc-hap, d. d. 6 Ja-  nuari 1865 Xo. 70). Er voor lag een soort terras.  Het is het overbljifsel van een stupa en draagt den  naam biaro.   Bij onderzoek werden op 6^,3 el diepte aangetrotfen :  a. het boven gedeelte eener Heseh, n. 1 . een goiideii hals en  een rand van zilver, terwiji de door oxydatie vergane  rest blijkbaar van brons is geweest. Er staat een on-  ontcijferde iegende in XagarT-^chrift op. In het flesch""  je bevonden zicdi drie oiigeslepen robij"
OV_1912,1912,depth_m,diepte van X.X M,diepte van 2.50 M,2.5,meter,,False,False,,,,,33,"van de graven een    71    vierkant plat afgeknotte lieiivel te beviudeii, + 2 M. hoog,  aan welks Zuid-Oost hoek een pat werd aaTigetroffen, waarvaii  de binneiizijde was bekleed met gruote langwerpig vierkante  steeiieu (zandsteen).   Op de belling van den lieiivel vond ik stiikken roode  baksteen; volgens oiiden van dagen nit de kaiupong had daiir  vroeger een luissigit gestaau, ik liet de put iiitgraven in  de meening, dat bierin nog wel iets ge\ondeu zoii kaimen  worden, docdi trof op een diepte van 2.50 M. niets ander>  aan dan modder en roode eii blauwe })otseherven : ook vond  ik een kort cylindervormig voorwerp (le. M.). dat bij nadere  besebouwiiig de ruggewervel van een vi.-cb bleek te zijn.  met atgesneden vertakkingen en rond bijgewerkt, daania  waarricbijnlijk gebruikt ab uor"
OV_1914,1914,depth_m,X.X M diep,3.50 M. diep,3.5,meter,Tjandi Djawi,True,False,,Tjandi Djawi; ontgravingen; opgraving; baksteenen; beeld van Krtauagara,,,23,"me-  dedeeliug van den regent, het thans te Soerabaja staand  Aksobhya-beeld van Krtauagara uit 1211 , genaamd de Djaka  Dolok, afkomstig is. Eindelijk was, eveneens door den  regent, op een plants genaamd TJniidi Tilcoes. op korten  afstand van Badjaugratoe, een boveu den grond uitstekend  toj>stuk aangetruhen, dat klaarblijkelijk nog aan het bpbe-  hoorend, geheel in den grond geraakte bouwwerk vastzat.  Ook hier haddeu onder leiding van den Heer Melville  verdere ontgravingen plants, die tot 3.50 M. diepte werden   1) Hierovt‘ 1 ' zal eeii kleine medetleeling Avordun opgenomen in het  Tjidschr. Bat. Uen.     58    voortgezet. Wat er te voorsehijn kwam. was een baksteenen  plateautje op fraai versierd roetstuk, met opzij zorgvuldig  bewerkte met in- en uitspriugende lijsteii geornamentee"
OV_1914,1914,depth_m,op een diepte van X,op een diepte van 2 M,2.0,meter,baksteenen,True,True,afdeeling Redjang,baksteenen; steenen beeld; Steenen beeld,krater,afdeeling Redjang; afdeeling Mokko; Afdeeling Manna; Afdeeling Kroe,46,"p. 8.   Onderafdeeling Redjang.   91. (loenoeug Kaba.   Aan den rand van den Noordelijken krater een groot  zittend steenen beeld, gesebonden.   Lit.   Tijdsehr. Bat. Ren. XIY (1865) p. 188.   Onderafdeeling Mokko^mokko.   92. Koeala Meutjoeto.   Zes onde graven met roode baksteenen en steenen ziiiltjes,  aan den top versierd met ingebeitelde tiguren.   Lit.   Notulen 1887 p. 121.     bD be    110    03. Seblat.   Steeneii wigvormige beitel en puntbijl (batoe kilat of gigi  oentoer), de eerste op een diepte van 2 M. in den grond  evonden, beiden tbans in bet llusenm te Leiden.   Lit.   Jnyuboll, Catalogus Leiden (1909) p, 50 no. 891/3 en S91 '2.   Afdeeling Manna.   94. Padang Goetji.   Steenen beeld. opgezonden naar Let Maseuin te Batavia.   Lit.   Notuleu ISTo p. 42.   Afdeeling Kroe.   "
OV_1914,1914,depth_vadem,X vadem diep,4 vadem diep,6.8,vadem,ruine,True,False,,ruine; lingga,,,56,"van bier zijn  opgenomen in bet Museum te Batavia.   Vroeger stond te Sauggan een steeneu ,,me=djid“. Aan  de overzijde van de Kapoeas werden in den groud kommen  of potten gevonden, in de rivier zelf een gouden lingga.  waarvau tbans in bet Museum te Batavia een repro-  ductie is.   Lit.   Nota van Gontroleur Bakker (1877), tbans in bet arcbief  van bet Bat. Gen. De steenen van aebter de controleurs-  vvoning zijn tot 4n a 50 e. M. groot en worden tbans op  graven gebruikt. De potten lagen op 4 vadem diepte.   Notnlen 1877 p. 44 sij.   ^otulen 1870 p. 22 — 24 en 144.   Xotnlen 1880 j). 97 en 112.   Bakker, Het rijk Sanggau, 'rijdscbr. Bat. Gen. XXIX  (1884) p. 368 en 600.   Xotnlen 1887 p. 17 m|. en Bijlage VI no. 782a.   Xotnlen lOlo p. lO) s(]., 134 en Bijlage III no. lo3i  en 461i.   B"
OV_1920,1920,depth_m,diepte van X.X M,"diepte 
van 4.28 M",4.28,meter,fundamenten,True,True,,fundamenten; fundamenten,kratermeer,,69,"n van de Ardjoena-  groep eene diepte heeft bereikt van 4.28 M. Nog 5 meter meer naar het Zuiden  peilende bereikte men plotseling op 10 M. nog geen grond. Hier is dus de oever  van het oude kratermeer bereikt, dat veel grooter van omvang blijkt te zijn geweest  dan de tegenwoordige Bale kambang, terwijl daardoor tevens vast stond, dat, inge-  volge bovenvermelde hypothese aannemende, dat hier inderdaad vroeger een stad  aan het meer gelegen heeft, de draineering van het plateau slechts tot een diepte  van 4.28 M. noodig zou zijn om de geheele stad te voorschijn te kunnen brengen.     84    OUDHEIDKUNDIG VERSLAG, DERDE KWARTAAL 1920    Daardoor kwam men voor het dilemma te staan, 6f het moeras slechts tot een  diepte te draineeren, waardoor de Ardjoenagroep en fundamenten aan den noordrand"
OV_1920,1920,depth_m,diepte van X.X M,diepte van 4.28 M,4.28,meter,fundamenten,True,False,,fundamenten; fundamenten,,,70,"brengen.     84    OUDHEIDKUNDIG VERSLAG, DERDE KWARTAAL 1920    Daardoor kwam men voor het dilemma te staan, 6f het moeras slechts tot een  diepte te draineeren, waardoor de Ardjoenagroep en fundamenten aan den noordrand  geheel droog zouden komen te liggen en waardoor een onderzoek naar het bestaan  van fundamenten en andere restanten meer in het midden van de vlakte gelegen even  onmogelijk zou blijven als tot nog toe het geval was, of op grond van meergenoemde  hypothese het moeras tot een diepte van 4.28 M. te draineeren, waardoor dat  onderzoek dan zou kunnen plaats hebben.   Het behoeft geen betoog, dat de wetenschap het laatste vorderde, waarbij nog  in aanmerking kwam, dat, mocht het blijken dat tenslotte toch alleen langs de randen  van de vlakte restanten van oude bouwwerken voo"
OV_1923,1923,depth_m,X.X M diep,"1.80 M. 
diep",1.8,meter,monumentalen,True,False,,monumentalen,,,46,"rstel-  lingsarbeid in genoemd jaar werd ingeleid, is evenwel ten duidelijkste gebleken dat  elke gevel nog een zesde poort is rijk geweest. Van laatstgenoemde poorten is op  elke face o.m. het topstuk der omlij sting, in de gedaante van een monumentalen  kala-kop, uit den grond te voorschijn gekomen. Deze zesde poort was een uitvloeisel  van de ombouwing van den oorspronkelijken voet. Op het grondplan is ze aangeduid  met P. Ze stond op de buitenzijde van de breede aanstapeling, overwelfde het 1.80 M.  diepe bordes van de trap, die naar den breeden omgang voerde en sloot aan bij  de thans verdwenen lage balustrade b, welke de buitenzijde van den omgang  begrensde l ), Zooals we zien valt ook hier het trapgat deels buiten het poortlichaam  en schiet het wel 2 M. binnen den vloer van den om"
OV_1923,1923,depth_voet,X voet diep,"16 
voet diep",4.88,voet,fundamenten,True,False,Desa Pondok,fundamenten; baksteenen fundament,,Desa Pondok; desa Mendalan vereenigd; desa  Pondokagoeng; Desa Bajem; Desa Pait,150,een steenen watervat.   Desa Pondok (thans met de desa Mendalan vereenigd tot de desa  Pondokagoeng).   Conform sub 2312 inventaris.   Desa Bajem.   Conform sub 2310 inventaris.   In het gehucht Boeloeredjo werden op een tegalan van Kromotaroeno  baksteenen fundamenten gevonden.   Desa Pait.   Op een oro-oro in het gehucht Barakan zes bekapte steenen.   Desa Kadjang (thans met de desa Poelosari vereenigd tot de desa  Soekosari).   Op de sawah van Tjokro een onbekapte steen waarin een rond gat ± 16  voet diep.   Op de tegal van Mertodikromo op de Goenoeng Krengih (gehucht Soember-  soeko) twee bekapte steenen en een steenen neut met ronde knop.   Desa Poelosari (thans Soekosari).   Op het erf van Drono (gehucht Mangir) een bekapte steen en een fragment  van een bewerkte steen.      BIJLAGE 
OV_1924,1924,depth_m,op een diepte van X,op een diepte van 7 ,7.0,meter,inscriptie,True,False,,inscriptie; beeldje van trachiet; beeldje waarvan; lingga,,,17,"an Rsatnai^ onderdistr. Gajamprit (Klaten) een      OUDHEIDKUNDIG VERSLAG, EERSTE EN TWEEDE KWARTAAL 1925 19    lingga aangetroffen (opgenomen in het Sriwedari-Museum te Solo) met de volgende  inscriptie :   // swasti <?akawarsatita 856 phal  gunamasa tithi pratipada krsnapa  ksa wa O po O O tatkala sang pamg^t  angg^han manusuk sIma.   Volgens mededeeling van den Assistant- Resident van Koeala Koepas werd  omstreeks 1903 door den heer E. A. Hilckes bij het doen van mijnbouwkundige  opsporingen op een diepte van 7 i 8 Meter, op een niet nader bekende plants tusschen  Goenoeng Koepang en Karang Intan (onderafd. Martapoera) een  beeldje van trachiet, hoog 34, breed 15 c.M. gevonden. Het beeldje waarvan  op ons verzoek een foto vervaardigd werd, is blijkens de halve-maan-vormige  uitsteeksels"
