filename,title,lang,date_ce,century,edition_word_count,has_translation,n_sanskrit,n_indigenous,n_unknown,n_geo_terms,n_volcanic_terms,n_admin_terms
DHARMA_INS12Gilikan.xml,Gilikan (date lost),kaw-Latn,,,1041,False,23,60,958,7,0,4
DHARMA_INSIDENK00007.xml,"Dharmasraya A (Padang Roco Amoghapāśa base), 1286 CE",omy-Latn,1286,13,121,True,18,4,99,2,0,3
DHARMA_INSIDENK00050.xml,"Pillar from Kota Kapur (N. 50), 608 Śaka",omy-Latn,686,7,235,True,6,1,228,2,0,0
DHARMA_INSIDENK00059.xml,Gunung Tua Lokanātha Statue,omy-Latn,,,33,True,4,1,28,0,0,0
DHARMA_INSIDENK00066.xml,"Śrīkṣetra Dedication: Slab from Talang Tuwo (N. 66), 606 Śaka",omy-Latn,684,7,247,True,11,5,231,1,1,0
DHARMA_INSIDENK00096.xml,"Stela from Bukit Gombak (N. 96), 1278 Śaka",omy-Latn,1356,14,247,True,15,1,231,2,1,3
DHARMA_INSIDENK00138.xml,"Bronze base for a triad of statuettes (N. 138, ca. 10th c. CE)",omy-Latn,,,9,False,1,0,8,0,0,0
DHARMA_INSIDENK00186.xml,"Makara of Candi Kedaton (N. 186), 10/11th c. CE",kaw-Latn,,,4,True,0,1,3,0,0,0
DHARMA_INSIDENK00351.xml,"Foundation of Sarungga's Hermitage (N. 351), 823 Śaka",kaw-Latn,901,10,16,True,3,0,13,0,0,0
DHARMA_INSIDENK00368.xml,Silver plate for the deity at Abhaya,kaw-Latn,,,10,True,0,0,10,0,0,0
DHARMA_INSIDENK00388.xml,"Silver vase of the deity at Dieng, early 10th c. CE",kaw-Latn,,,9,True,0,1,8,0,0,0
DHARMA_INSIDENK00396.xml,Silver plate for the deified ancestor at Abhayamukha,kaw-Latn,,,9,True,0,0,9,0,0,0
DHARMA_INSIDENK00526.xml,Kamalagyan charter (959 Śaka),kaw-Latn,1037,11,836,True,55,57,724,5,1,17
DHARMA_INSIDENKAbhayananda.xml,Abhayananda (779 Śaka),kaw-Latn,857,9,35,True,3,4,28,0,0,3
DHARMA_INSIDENKAdanAdan.xml,Adan-Adan (1223 Śaka),kaw-Latn,1301,14,1493,True,110,66,1317,10,2,16
DHARMA_INSIDENKAdulengen.xml,Adulengen,kaw-Latn,,,532,False,41,12,479,4,1,8
DHARMA_INSIDENKAirAsih.xml,Air Asih (between 1177 and 1208 Śaka),kaw-Latn,1286,13,272,True,23,24,225,3,0,6
DHARMA_INSIDENKAirKali.xml,Air Kali (849-850 Śaka),kaw-Latn,928,10,359,False,5,18,336,4,2,2
DHARMA_INSIDENKAlasantan.xml,Alasantan,kaw-Latn,,,1916,True,35,129,1752,9,1,11
DHARMA_INSIDENKAmoghapasaPlaqueTropenmuseum.xml,Singasari Amoghapāśa plaque Tropenmuseum,san-Latn,,,54,True,5,0,49,0,0,1
DHARMA_INSIDENKAnjatan.xml,Anjatan: Foundation Charter of the Amr̥tamaṅgala Monastery,kaw-Latn,,,659,True,16,41,602,5,2,12
DHARMA_INSIDENKAyamTeas_I.xml,Ayam Teas I (822 Śaka),kaw-Latn,900,9,199,False,6,6,187,1,1,5
DHARMA_INSIDENKAyamTeas_II.xml,Charter of Ayam Teas II,kaw-Latn,,,166,False,7,6,153,1,1,6
DHARMA_INSIDENKAyamTeas_III.xml,"Charter of Ayam Teas III (822 Śaka, 901-01-01)",kaw-Latn,900,9,225,False,4,8,213,1,1,4
DHARMA_INSIDENKBalekambang.xml,Prayer for long life of Vijaya (7th c. CE),san-Latn,,,21,True,0,0,21,0,0,0
DHARMA_INSIDENKBarahasrama.xml,"Barahasrama (837 Śaka, 915-12-14)",kaw-Latn,915,10,679,True,18,46,615,5,1,8
DHARMA_INSIDENKBarsahan.xml,Barsahan charter (date lost),kaw-Latn,,,499,False,12,45,442,2,0,6
DHARMA_INSIDENKBatur.xml,Batur,kaw-Latn,,,340,True,16,37,287,4,0,3
DHARMA_INSIDENKBatutulis.xml,Batutulis,osn-Latn,,,101,True,2,4,95,3,1,4
DHARMA_INSIDENKBhatari.xml,"Bhatari (829 Śaka, 907-10-07)",,907,10,398,False,7,31,360,1,0,6
DHARMA_INSIDENKBorobudurHB021.xml,"Relief label from Borobudur's hidden base, no. 21 (8th c. CE)",san-Latn,,,4,True,0,0,4,0,0,0
DHARMA_INSIDENKBorobudurHB024.xml,"Relief label from Borobudur's hidden base, no. 24",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB029.xml,"Relief label from Borobudur's hidden base, no. 29",san-Latn,,,0,True,0,0,0,0,0,0
DHARMA_INSIDENKBorobudurHB043.xml,"Relief label from Borobudur's hidden base, no. 43 (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB121A.xml,"Relief label from Borobudur's hidden base, no. 121A (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB121B.xml,"Relief label from Borobudur's hidden base, no. 121B (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB122.xml,"Relief label from Borobudur's hidden base, no. 122 (8th c. CE)",san-Latn,,,2,True,0,0,2,0,0,0
DHARMA_INSIDENKBorobudurHB123.xml,"Relief label from Borobudur's hidden base, no. 123 (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB124A.xml,"Relief label from Borobudur's hidden base, no. 124A (8th c. CE)",san-Latn,,,1,True,1,0,0,0,0,0
DHARMA_INSIDENKBorobudurHB124B.xml,"Relief label from Borobudur's hidden base, no. 124B (8th c. CE)",san-Latn,,,1,True,1,0,0,0,0,0
DHARMA_INSIDENKBorobudurHB125A.xml,"Relief label from Borobudur's hidden base, no. 125A (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB125B.xml,"Relief label from Borobudur's hidden base, no. 125B (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB126A.xml,"Relief label from Borobudur's hidden base, no. 126A (8th c. CE)",san-Latn,,,2,True,0,0,2,0,0,0
DHARMA_INSIDENKBorobudurHB126B.xml,"Relief label from Borobudur's hidden base, no. 126B (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB127A.xml,"Relief label from Borobudur's hidden base, no. 127A (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,1
DHARMA_INSIDENKBorobudurHB127B.xml,"Relief label from Borobudur's hidden base, no. 127B (8th c. CE)",san-Latn,,,3,True,0,0,3,0,0,0
DHARMA_INSIDENKBorobudurHB128.xml,"Relief label from Borobudur's hidden base, no. 128 (8th c. CE)",san-Latn,,,3,True,0,0,3,0,0,0
DHARMA_INSIDENKBorobudurHB129.xml,"Relief label from Borobudur's hidden base, no. 129 (8th c. CE)",san-Latn,,,1,True,1,0,0,0,0,0
DHARMA_INSIDENKBorobudurHB130.xml,"Relief label from Borobudur's hidden base, no. 130 (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB131A.xml,"Relief label from Borobudur's hidden base, no. 131A (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
DHARMA_INSIDENKBorobudurHB131B.xml,"Relief label from Borobudur's hidden base, no. 131B (8th c. CE)",san-Latn,,,1,True,0,0,1,0,0,0
