lat,lon,burial_all_cm,burial_classical_cm,burial_pre_inscription_cm,nearest_volcano,dist_nearest_km
-8.8,110.5,3.8,0.0,0.0,Kelud,221.2
-8.8,110.55,4.3,0.0,0.0,Kelud,216.2
-8.8,110.6,4.8,0.0,0.0,Kelud,211.3
-8.8,110.65,5.4,0.0,0.0,Kelud,206.5
-8.8,110.7,6.0,0.0,0.0,Kelud,201.6
-8.8,110.75,6.7,0.0,0.0,Kelud,196.8
-8.8,110.8,7.5,0.0,0.0,Kelud,192.0
-8.8,110.85,8.4,0.0,0.0,Kelud,187.3
-8.8,110.9,9.4,0.0,0.0,Kelud,182.6
-8.8,110.95,10.5,0.0,0.0,Kelud,178.0
-8.8,111.0,11.7,0.0,0.0,Kelud,173.4
-8.8,111.05,13.0,0.0,0.0,Kelud,168.9
-8.8,111.1,14.5,0.0,0.0,Kelud,164.4
-8.8,111.15,16.1,0.0,0.0,Kelud,160.0
-8.8,111.2,17.9,0.0,0.0,Kelud,155.6
-8.8,111.25,19.9,0.0,0.0,Kelud,151.3
-8.8,111.3,22.0,0.0,0.0,Kelud,147.2
-8.8,111.35,24.4,0.0,0.0,Kelud,143.1
-8.8,111.4,27.0,0.0,0.0,Kelud,139.1
-8.8,111.45,29.7,0.0,0.0,Kelud,135.2
-8.8,111.5,32.7,0.0,0.0,Kelud,131.4
-8.8,111.55,36.0,0.0,0.0,Kelud,127.7
-8.8,111.6,39.4,0.0,0.0,Kelud,124.2
-8.8,111.65,43.0,0.0,0.0,Kelud,120.8
-8.8,111.7,46.8,0.0,0.0,Kelud,117.6
-8.8,111.75,50.7,0.0,0.0,Kelud,114.6
-8.8,111.8,54.7,0.0,0.0,Kelud,111.7
-8.8,111.85,58.7,0.0,0.0,Kelud,109.1
-8.8,111.9,62.8,0.0,0.0,Kelud,106.6
-8.8,111.95,66.7,0.0,0.0,Kelud,104.4
-8.8,112.0,70.5,0.0,0.0,Kelud,102.5
-8.8,112.05,74.2,0.1,0.0,Kelud,100.8
-8.8,112.1,77.4,0.1,0.0,Kelud,99.4
-8.8,112.15,80.1,0.2,0.0,Kelud,98.3
-8.8,112.2,82.4,0.2,0.0,Kelud,97.5
-8.8,112.25,84.1,0.2,0.0,Kelud,96.9
-8.8,112.3,85.3,0.2,0.0,Kelud,96.7
-8.8,112.35,85.8,0.2,0.0,Kelud,96.8
-8.8,112.4,85.7,0.2,0.0,Semeru,96.0
-8.8,112.45,85.1,0.2,0.0,Semeru,92.8
-8.8,112.5,83.9,0.1,0.0,Semeru,89.9
-8.8,112.55,82.2,0.1,0.0,Semeru,87.1
-8.8,112.6,80.1,0.1,0.0,Semeru,84.7
-8.8,112.65,77.5,0.0,0.0,Semeru,82.6
-8.8,112.7,74.7,0.0,0.0,Semeru,80.7
-8.8,112.75,71.7,0.0,0.0,Semeru,79.2
-8.8,112.8,68.4,0.0,0.0,Semeru,78.1
-8.8,112.85,65.0,0.0,0.0,Semeru,77.4
-8.8,112.9,61.4,0.0,0.0,Semeru,77.0
-8.8,112.95,57.6,0.0,0.0,Semeru,77.0
-8.8,113.0,53.8,0.0,0.0,Semeru,77.4
-8.8,113.05,50.0,0.0,0.0,Semeru,78.2
-8.8,113.1,46.2,0.0,0.0,Semeru,79.4
-8.8,113.15,42.4,0.0,0.0,Semeru,80.9
-8.8,113.2,38.7,0.0,0.0,Semeru,82.8
-8.8,113.25,35.2,0.0,0.0,Semeru,85.0
-8.8,113.3,31.8,0.0,0.0,Semeru,87.5
-8.8,113.35,28.6,0.0,0.0,Semeru,90.2
-8.8,113.4,25.7,0.0,0.0,Lamongan,91.7
-8.8,113.45,23.0,0.0,0.0,Lamongan,92.3
-8.8,113.5,20.5,0.0,0.0,Lamongan,93.1
-8.8,113.55,18.2,0.0,0.0,Raung,92.5
-8.8,113.6,16.2,0.0,0.0,Raung,89.4
-8.8,113.65,14.3,0.0,0.0,Raung,86.6
-8.8,113.7,12.7,0.0,0.0,Raung,84.0
-8.8,113.75,11.2,0.0,0.0,Raung,81.6
-8.8,113.8,9.9,0.0,0.0,Raung,79.6
-8.8,113.85,8.8,0.0,0.0,Raung,78.0
-8.8,113.9,7.7,0.0,0.0,Raung,76.7
-8.8,113.95,6.8,0.0,0.0,Raung,75.7
-8.8,114.0,6.0,0.0,0.0,Raung,75.2
-8.8,114.05,5.3,0.0,0.0,Raung,75.1
-8.8,114.1,4.7,0.0,0.0,Raung,75.3
-8.8,114.15,4.1,0.0,0.0,Raung,76.0
-8.8,114.2,3.6,0.0,0.0,Raung,77.0
-8.8,114.25,3.2,0.0,0.0,Raung,78.5
-8.8,114.3,2.8,0.0,0.0,Raung,80.2
-8.8,114.35,2.5,0.0,0.0,Raung,82.3
-8.8,114.4,2.2,0.0,0.0,Ijen,84.3
-8.8,114.45,1.9,0.0,0.0,Ijen,85.6
-8.8,114.5,1.7,0.0,0.0,Ijen,87.3
-8.8,114.55,1.5,0.0,0.0,Ijen,89.2
-8.8,114.6,1.3,0.0,0.0,Ijen,91.4
-8.8,114.65,1.2,0.0,0.0,Ijen,93.9
-8.8,114.7,1.1,0.0,0.0,Ijen,96.7
-8.8,114.75,0.9,0.0,0.0,Ijen,99.6
-8.75,110.5,4.0,0.0,0.0,Kelud,218.8
-8.75,110.55,4.5,0.0,0.0,Kelud,213.8
-8.75,110.6,5.1,0.0,0.0,Kelud,208.9
