century,label,full_label,expected_population,inscriptions,external_sources,known_sites,sedimentation_mm_yr,material_survival,observed_evidence,expected_evidence,burial_factor,decay_factor,darkness_index
-30,3000 BCE,3000-2901 BCE,0.01,0,0,5,3,0.3,2.5,1.0,0.2,0.7,0.0
-29,2900 BCE,2900-2801 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.75
-28,2800 BCE,2800-2701 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.75
-27,2700 BCE,2700-2601 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.75
-26,2600 BCE,2600-2501 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.75
-25,2500 BCE,2500-2401 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.75
-24,2400 BCE,2400-2301 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.75
-23,2300 BCE,2300-2201 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.75
-22,2200 BCE,2200-2101 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.75
-21,2100 BCE,2100-2001 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.75
-20,2000 BCE,2000-1901 BCE,0.01,0,0,3,3,0.25,1.5,1.0,0.2,0.75,0.0
-19,1900 BCE,1900-1801 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.75
-18,1800 BCE,1800-1701 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.748
-17,1700 BCE,1700-1601 BCE,0.01,0,1,0,3,0.05,2.0,1.0,0.2,0.95,0.0
-16,1600 BCE,1600-1501 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.736
-15,1500 BCE,1500-1401 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.73
-14,1400 BCE,1400-1301 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.724
-13,1300 BCE,1300-1201 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.718
-12,1200 BCE,1200-1101 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.712
-11,1100 BCE,1100-1001 BCE,0.01,0,0,0,3,0.05,0.0,1.0,0.2,0.95,0.706
-10,1000 BCE,1000-901 BCE,0.01,0,0,3,3,0.2,1.5,1.0,0.2,0.8,0.0
-9,900 BCE,900-801 BCE,0.05,0,0,0,3,0.05,0.0,5.0,0.2,0.95,0.694
-8,800 BCE,800-701 BCE,0.05,0,0,0,3,0.05,0.0,5.0,0.2,0.95,0.688
-7,700 BCE,700-601 BCE,0.05,0,0,0,3,0.05,0.0,5.0,0.2,0.95,0.682
-6,600 BCE,600-501 BCE,0.05,0,0,0,3,0.05,0.0,5.0,0.2,0.95,0.676
-5,500 BCE,500-401 BCE,0.05,0,0,4,3,0.15,2.0,5.0,0.2,0.85,0.39
-4,400 BCE,400-301 BCE,0.05,0,0,0,3,0.05,0.0,5.0,0.2,0.95,0.664
-3,300 BCE,300-201 BCE,0.05,0,2,3,3,0.1,5.5,5.0,0.2,0.9,0.0
-2,200 BCE,200-101 BCE,0.15,0,2,5,3,0.1,6.5,15.0,0.2,0.9,0.364
-1,100 BCE,100-1 BCE,0.15,0,2,4,3,0.08,6.0,15.0,0.2,0.92,0.384
0,0 BCE,100 BCE-1 CE,0.15,0,0,2,3,0.05,1.0,15.0,0.2,0.95,0.597
1,C1,1-100 CE,0.3,0,2,2,3,0.05,5.0,30.0,0.2,0.95,0.528
2,C2,101-200 CE,0.3,0,3,3,3,0.05,7.5,30.0,0.2,0.95,0.471
3,C3,201-300 CE,0.3,0,1,2,3,0.05,3.0,30.0,0.2,0.95,0.56
4,C4,301-400 CE,0.3,0,2,3,3,0.07,5.5,30.0,0.2,0.93,0.5
5,C5,401-500 CE,0.3,0,3,5,5,0.1,8.5,30.0,0.33,0.9,0.487
6,C6,501-600 CE,0.5,0,2,4,5,0.12,6.0,50.0,0.33,0.88,0.586
7,C7,601-700 CE,0.5,2,2,8,5,0.15,10.0,50.0,0.33,0.85,0.52
8,C8,701-800 CE,0.5,5,3,15,5,0.25,18.5,50.0,0.33,0.75,0.391
9,C9,801-900 CE,0.7,28,3,25,8,0.3,46.5,70.0,0.53,0.7,0.234
10,C10,901-1000 CE,0.7,31,3,30,10,0.25,52.0,70.0,0.67,0.75,0.193
11,C11,1001-1100 CE,0.85,8,0,15,6,0.2,15.5,85.0,0.4,0.8,0.513
12,C12,1101-1200 CE,0.85,1,0,8,5,0.15,5.0,85.0,0.33,0.85,0.565
13,C13,1201-1300 CE,0.85,7,0,12,8,0.2,13.0,85.0,0.53,0.8,0.552
14,C14,1301-1400 CE,0.85,4,0,20,7,0.25,14.0,85.0,0.47,0.75,0.505
15,C15,1401-1500 CE,1.0,0,0,10,7,0.2,5.0,100.0,0.47,0.8,0.57
