lat,lon,composite_score,nearest_volcano,dist_volcano_km,estimated_burial_m
-7.98,112.36,0.855,Kelud,8.0,5.0
-7.96,112.36,0.855,Kelud,6.6,6.6
-7.94,112.36,0.855,Kelud,5.8,7.7
-7.94,112.38,0.855,Kelud,8.0,5.0
-7.92,112.36,0.855,Kelud,5.8,7.7
-7.92,112.38,0.855,Kelud,8.0,5.0
-7.9,112.36,0.855,Kelud,6.6,6.6
-7.88,112.3,0.855,Kelud,5.6,8.0
-7.88,112.32,0.855,Kelud,5.7,7.9
-7.88,112.34,0.855,Kelud,6.6,6.6
-7.88,112.36,0.855,Kelud,8.0,5.0
-7.86,112.3,0.855,Kelud,7.8,5.2
-7.86,112.32,0.855,Kelud,7.9,5.1
-7.78,112.62,0.855,Arjuno-Welirang,7.5,5.5
-7.76,112.62,0.855,Arjuno-Welirang,6.0,7.4
-7.74,112.52,0.855,Arjuno-Welirang,6.2,7.2
-7.74,112.62,0.855,Arjuno-Welirang,5.1,8.9
-7.72,112.52,0.855,Arjuno-Welirang,6.1,7.2
-7.72,112.62,0.855,Arjuno-Welirang,5.1,9.0
-7.72,112.64,0.855,Arjuno-Welirang,7.2,5.8
-7.7,112.62,0.855,Arjuno-Welirang,5.9,7.6
-7.7,112.64,0.855,Arjuno-Welirang,7.9,5.1
-7.68,112.62,0.855,Penanggungan,7.3,5.8
-7.68,112.64,0.855,Penanggungan,7.3,5.7
-7.68,112.66,0.855,Penanggungan,8.0,5.0
-7.66,112.64,0.855,Penanggungan,5.1,8.8
-7.66,112.66,0.855,Penanggungan,6.1,7.4
-7.66,112.68,0.855,Penanggungan,7.5,5.5
-7.64,112.68,0.855,Penanggungan,6.3,7.1
-7.72,112.5,0.849,Arjuno-Welirang,8.3,4.7
-7.64,112.7,0.849,Penanggungan,8.3,4.7
-7.86,112.28,0.848,Kelud,8.4,4.6
-7.74,112.5,0.848,Arjuno-Welirang,8.4,4.7
-7.96,112.38,0.844,Kelud,8.6,4.4
-7.9,112.38,0.844,Kelud,8.6,4.4
-7.76,112.5,0.838,Arjuno-Welirang,9.0,4.1
-7.68,112.68,0.834,Penanggungan,9.2,4.0
-7.66,112.7,0.832,Penanggungan,9.3,3.9
-7.86,112.36,0.827,Kelud,9.7,3.6
-7.98,112.38,0.826,Kelud,9.7,3.6
-7.88,112.38,0.826,Kelud,9.7,3.6
-7.7,112.66,0.823,Arjuno-Welirang,9.9,3.4
-7.84,112.3,0.821,Kelud,10.0,3.3
-7.94,112.4,0.819,Kelud,10.2,3.2
-7.92,112.4,0.819,Kelud,10.2,3.2
-7.64,112.72,0.817,Penanggungan,10.4,3.1
-7.84,112.28,0.816,Kelud,10.5,3.0
-7.74,112.48,0.815,Arjuno-Welirang,10.5,3.0
-7.96,112.4,0.814,Kelud,10.7,2.9
-7.9,112.4,0.814,Kelud,10.7,2.9
-7.8,112.64,0.814,Arjuno-Welirang,10.7,2.9
-7.98,112.28,0.81,Kelud,6.4,6.9
-7.98,112.3,0.81,Kelud,5.6,8.0
-7.94,112.24,0.81,Kelud,7.6,5.4
-7.94,112.26,0.81,Kelud,5.4,8.4
-7.92,112.24,0.81,Kelud,7.6,5.4
-7.76,112.48,0.81,Arjuno-Welirang,11.0,2.7
-7.86,112.38,0.809,Kelud,11.1,2.7
-7.8,112.56,0.809,Arjuno-Welirang,8.1,4.9
-7.66,112.72,0.808,Penanggungan,11.2,2.6
-7.96,112.24,0.806,Kelud,8.2,4.8
-7.9,112.24,0.806,Kelud,8.2,4.8
-7.84,112.26,0.806,Kelud,11.3,2.6
-7.84,112.36,0.804,Kelud,11.5,2.5
-7.6,112.52,0.799,Penanggungan,12.1,2.2
-8.0,112.36,0.797,Kelud,9.7,3.6
-7.94,112.42,0.797,Kelud,12.4,2.1
-7.84,112.24,0.796,Kelud,12.5,2.0
-7.98,112.32,0.795,Kelud,5.7,7.9
-7.98,112.34,0.795,Kelud,6.6,6.6
-7.92,112.26,0.795,Kelud,5.4,8.4
-7.9,112.26,0.795,Kelud,6.3,7.1
-7.88,112.26,0.795,Kelud,7.7,5.3
-7.88,112.28,0.795,Kelud,6.4,6.9
-7.82,112.28,0.795,Kelud,12.6,2.0
-7.8,112.54,0.795,Arjuno-Welirang,8.8,4.3
-7.8,112.58,0.795,Arjuno-Welirang,7.9,5.1
-7.78,112.54,0.795,Arjuno-Welirang,6.9,6.3
-7.78,112.56,0.795,Arjuno-Welirang,5.9,7.6
-7.78,112.58,0.795,Arjuno-Welirang,5.7,7.9
-7.78,112.6,0.795,Arjuno-Welirang,6.3,7.0
-7.76,112.52,0.795,Arjuno-Welirang,7.0,6.1
-7.76,112.54,0.795,Arjuno-Welirang,5.2,8.8
