filename,title,lang,date_ce,century,lat,lon,geocode_method,confidence,geocode_note,nearest_volcano,volcano_dist_km,nearest_volcano_c30,volcano_dist_km_c30
DHARMA_INSIDENK00186.xml,"Makara of Candi Kedaton (N. 186), 10/11th c. CE",kaw-Latn,,,-7.4853909,112.726104,candi_match,medium,Matched candi: candi,Penanggungan,17.3,Penanggungan,18.337396692690415
DHARMA_INSIDENK00388.xml,"Silver vase of the deity at Dieng, early 10th c. CE",kaw-Latn,,,-7.21,109.92,known_location,high,Dieng Plateau,Dieng,1.11,Dieng,1.1119492664455637
DHARMA_INSIDENK00526.xml,Kamalagyan charter (959 Śaka),kaw-Latn,1037.0,11.0,-7.55,112.39,known_location,medium,Trowulan area,Penanggungan,25.95,Penanggungan,27.5746415703154
DHARMA_INSIDENKAdanAdan.xml,Adan-Adan (1223 Śaka),kaw-Latn,1301.0,14.0,-7.8,112.01,known_location,medium,Kediri area,Kelud,36.07,Wilis,27.775847962526772
DHARMA_INSIDENKAirAsih.xml,Air Asih (between 1177 and 1208 Śaka),kaw-Latn,1286.0,13.0,-7.8,112.01,known_location,medium,Kediri area,Kelud,36.07,Wilis,27.775847962526772
DHARMA_INSIDENKAirKali.xml,Air Kali (849-850 Śaka),kaw-Latn,928.0,10.0,-7.6,112.0,known_location,medium,East Java,Kelud,50.13,Wilis,35.29900196463691
DHARMA_INSIDENKAmoghapasaPlaqueTropenmuseum.xml,Singasari Amoghapāśa plaque Tropenmuseum,san-Latn,,,-7.89,112.65,known_location,high,"Singasari, Malang",Arjuno,18.98,Arjuno-Welirang,19.717008360413857
DHARMA_INSIDENKAyamTeas_I.xml,Ayam Teas I (822 Śaka),kaw-Latn,900.0,9.0,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96,Merapi,12.450374766925789
DHARMA_INSIDENKAyamTeas_II.xml,Charter of Ayam Teas II,kaw-Latn,,,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96,Merapi,12.450374766925789
DHARMA_INSIDENKAyamTeas_III.xml,"Charter of Ayam Teas III (822 Śaka, 901-01-01)",kaw-Latn,900.0,9.0,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96,Merapi,12.450374766925789
DHARMA_INSIDENKBarahasrama.xml,"Barahasrama (837 Śaka, 915-12-14)",kaw-Latn,915.0,10.0,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96,Merapi,12.450374766925789
DHARMA_INSIDENKBatur.xml,Batur,kaw-Latn,,,-8.24,115.37,known_location,medium,"Batur, Bali",Batur,0.0,Batur,0.5934764124093873
DHARMA_INSIDENKBatutulis.xml,Batutulis,osn-Latn,,,-6.61,106.8,known_location,high,"Bogor, West Java",Tangkubanperahu,89.91,Salak,13.63135872171528
