filename,title,lang,date_ce,century,lat,lon,geocode_method,confidence,geocode_note,nearest_volcano,volcano_dist_km
DHARMA_INSIDENK00007.xml,"Dharmasraya A (Padang Roco Amoghapāśa base), 1286 CE",omy-Latn,1286,13,-1.5,101.6,known_location,high,"Dharmasraya, Sumatra",Krakatau,664.2
DHARMA_INSIDENK00050.xml,"Pillar from Kota Kapur (N. 50), 608 Śaka",omy-Latn,686,7,-2.08,105.85,known_location,high,Bangka Island,Krakatau,449.54
DHARMA_INSIDENK00059.xml,Gunung Tua Lokanātha Statue,omy-Latn,,,1.52,99.95,known_location,medium,"Padang Lawas, N. Sumatra",Krakatau,1042.47
DHARMA_INSIDENK00066.xml,"Śrīkṣetra Dedication: Slab from Talang Tuwo (N. 66), 606 Śaka",omy-Latn,684,7,-2.96,104.71,known_location,high,"Palembang area, Sumatra",Krakatau,357.91
DHARMA_INSIDENK00096.xml,"Stela from Bukit Gombak (N. 96), 1278 Śaka",omy-Latn,1356,14,1.35,103.75,known_location,medium,Singapore area,Krakatau,848.9
DHARMA_INSIDENK00186.xml,"Makara of Candi Kedaton (N. 186), 10/11th c. CE",kaw-Latn,,,-7.4853909,112.726104,candi_match,medium,Matched candi: candi,Penanggungan,17.3
DHARMA_INSIDENK00388.xml,"Silver vase of the deity at Dieng, early 10th c. CE",kaw-Latn,,,-7.21,109.92,known_location,high,Dieng Plateau,Dieng,1.11
DHARMA_INSIDENK00526.xml,Kamalagyan charter (959 Śaka),kaw-Latn,1037,11,-7.55,112.39,known_location,medium,Trowulan area,Penanggungan,25.95
DHARMA_INSIDENKAdanAdan.xml,Adan-Adan (1223 Śaka),kaw-Latn,1301,14,-7.8,112.01,known_location,medium,Kediri area,Kelud,36.07
DHARMA_INSIDENKAirAsih.xml,Air Asih (between 1177 and 1208 Śaka),kaw-Latn,1286,13,-7.8,112.01,known_location,medium,Kediri area,Kelud,36.07
DHARMA_INSIDENKAirKali.xml,Air Kali (849-850 Śaka),kaw-Latn,928,10,-7.6,112.0,known_location,medium,East Java,Kelud,50.13
DHARMA_INSIDENKAmoghapasaPlaqueTropenmuseum.xml,Singasari Amoghapāśa plaque Tropenmuseum,san-Latn,,,-7.89,112.65,known_location,high,"Singasari, Malang",Arjuno,18.98
DHARMA_INSIDENKAyamTeas_I.xml,Ayam Teas I (822 Śaka),kaw-Latn,900,9,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96
DHARMA_INSIDENKAyamTeas_II.xml,Charter of Ayam Teas II,kaw-Latn,,,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96
DHARMA_INSIDENKAyamTeas_III.xml,"Charter of Ayam Teas III (822 Śaka, 901-01-01)",kaw-Latn,900,9,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96
DHARMA_INSIDENKBarahasrama.xml,"Barahasrama (837 Śaka, 915-12-14)",kaw-Latn,915,10,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96
DHARMA_INSIDENKBatur.xml,Batur,kaw-Latn,,,-8.24,115.37,known_location,medium,"Batur, Bali",Batur,0.0
DHARMA_INSIDENKBatutulis.xml,Batutulis,osn-Latn,,,-6.61,106.8,known_location,high,"Bogor, West Java",Tangkubanperahu,89.91
DHARMA_INSIDENKBhatari.xml,"Bhatari (829 Śaka, 907-10-07)",,907,10,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96
DHARMA_INSIDENKBorobudurHB021.xml,"Relief label from Borobudur's hidden base, no. 21 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB024.xml,"Relief label from Borobudur's hidden base, no. 24",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB029.xml,"Relief label from Borobudur's hidden base, no. 29",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB043.xml,"Relief label from Borobudur's hidden base, no. 43 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB121A.xml,"Relief label from Borobudur's hidden base, no. 121A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB121B.xml,"Relief label from Borobudur's hidden base, no. 121B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB122.xml,"Relief label from Borobudur's hidden base, no. 122 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB123.xml,"Relief label from Borobudur's hidden base, no. 123 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB124A.xml,"Relief label from Borobudur's hidden base, no. 124A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB124B.xml,"Relief label from Borobudur's hidden base, no. 124B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB125A.xml,"Relief label from Borobudur's hidden base, no. 125A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB125B.xml,"Relief label from Borobudur's hidden base, no. 125B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB126A.xml,"Relief label from Borobudur's hidden base, no. 126A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB126B.xml,"Relief label from Borobudur's hidden base, no. 126B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB127A.xml,"Relief label from Borobudur's hidden base, no. 127A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB127B.xml,"Relief label from Borobudur's hidden base, no. 127B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB128.xml,"Relief label from Borobudur's hidden base, no. 128 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB129.xml,"Relief label from Borobudur's hidden base, no. 129 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB130.xml,"Relief label from Borobudur's hidden base, no. 130 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB131A.xml,"Relief label from Borobudur's hidden base, no. 131A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB131B.xml,"Relief label from Borobudur's hidden base, no. 131B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB132.xml,"Relief label from Borobudur's hidden base, no. 132 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
