ref_id,tradition,source_text,author,citation,language,date_ce,date_label,passage_text,nusantara_relevance,independence_group,scholarly_consensus,n_entities,notes
CHEM-001,CHEMICAL,Saqqara embalming workshop vessels,Rageot et al. 2023,Nature 614: 287-293,n/a,-594,664-525 BCE (26th Dynasty),Vessel 5 (inscribed 'antiu'): GC-MS identified triterpenoids diagnostic of Dipterocarpaceae (dammar) resin. Vessel 62: Canarium sp. (elemi) resin identified via oleanane/ursane-type triterpenoids. Both taxa are restricted to Southeast Asia and tropical Africa/Asia respectively.,HIGH,chemical,CONSENSUS,4,Peer-reviewed in Nature. GC-MS is unambiguous for Dipterocarpaceae. This is the strongest single piece of evidence for pre-classical Nusantaran long-distance trade.
CHEM-002,CHEMICAL,Terqa clove find,Buccellati excavation team,"Reported in Turner 2004, Dalby 2000",n/a,-1700,~1700 BCE (Old Babylonian period),"Charred clove buds (Syzygium aromaticum) recovered from a domestic context at Tell Ashara (ancient Terqa), middle Euphrates, Syria. Radiocarbon dating places the context in the early 2nd millennium BCE.",HIGH,chemical,CONTESTED,2,"Identification debated. If confirmed, earliest transport of exclusively Nusantaran product to Mediterranean. Cloves grow NOWHERE else naturally."
CHEM-003,CHEMICAL,Austronesian crop dispersal to South Asia,Crowther et al. 2016; Fuller et al. 2011,PNAS 113(24): 6635-6640,n/a,-1050,~1500-600 BCE,"Archaeobotanical evidence for introduction of coconut (Cocos nucifera), banana (Musa spp.), taro (Colocasia esculenta), and sandalwood (Santalum album) to South India and Sri Lanka. Outrigger boat (katamaran < Tamil kattumaram) technology appears simultaneously.",HIGH,chemical,CONSENSUS,4,"Multiple independent lines (phytoliths, genetics, linguistics). Implies organized recurring Austronesian maritime contact with South Asia by mid-2nd millennium BCE."
CHEM-004,CHEMICAL,Cinnamon/cassia in Egyptian-Phoenician trade,van der Veen 2011; Cappers 2006,"van der Veen, Consumption, Trade and Innovation (2011)",n/a,-1000,~1000 BCE onwards,"Cinnamomum verum (Sri Lanka) and C. cassia (South China/Vietnam) identified in Egyptian contexts. Papyrus Harris I (Ramesses III, ~1155 BCE) lists 'ti-sps' among temple offerings. Herodotus (Hist. 3.111) describes cinnamon harvested from 'great birds' nests' — classic intermediary obfuscation of source.",MEDIUM,chemical,PROBABLE,3,"Cinnamon is not exclusively Nusantaran (Sri Lanka), but its presence implies Indian Ocean trade networks that include Nusantara."
CHEM-005,CHEMICAL,Berenike pepper and Indian Ocean cargo,Wendrich et al. 2003; Sidebotham 2011,"Sidebotham, Berenike and the Ancient Maritime Spice Route (2011)",n/a,50,1st century CE,"Excavations at Berenike (Egyptian Red Sea port) yielded black pepper (Piper nigrum, South India), coconut shell fragments, teak (Tectona grandis, SE Asia), and a Tamil-Brahmi potsherd. The teak in particular is significant: Tectona grandis is native to Java, Myanmar, and peninsular India.",MEDIUM,chemical,CONSENSUS,4,Teak could be from Java. Combined with other SE Asian goods at same site = Indian Ocean network reaching Nusantara.
CHEM-006,CHEMICAL,Intan and Belitung shipwrecks,Flecker 2002; Krahl et al. 2010,"Flecker, The Archaeological Excavation of the 10th Century Intan Shipwreck (2002)",n/a,930,"~930 CE (Intan), ~830 CE (Belitung)","Intan shipwreck (Java Sea, ~930 CE): SE Asian vessel carrying Chinese ceramics, tin ingots, bronze mirrors, and aromatic resins. Belitung wreck (~830 CE): Arab dhow carrying 60,000+ Chinese ceramics — largest Tang dynasty cargo ever found. Both confirm massive maritime trade through Indonesian waters.",HIGH,chemical,CONSENSUS,4,Physical proof of maritime trade through Nusantara. But post-400 CE so less relevant for pre-classical VOLCARCH argument.
GRK-001,GREEK,Geographica (fragments via Strabo),Eratosthenes of Cyrene,"Strabo, Geographica 1.4.2, 2.1.14, 15.1.14",Greek,-235,~276-195 BCE,"Eratosthenes describes the inhabited world extending from the Pillars of Heracles to the eastern extremity where Chryse (χρυσῆ, 'golden') and Argyre (ἀργυρῆ, 'silver') islands lie. Strabo (15.1.14) preserves: 'Beyond the mouths of the Ganges... the region of Chryse.'",HIGH,greco-roman,CONTESTED,2,Chryse identification debated since antiquity. Wheatley (1961) argues Malay Peninsula. Could also be Sumatra.
GRK-002,GREEK,Periplus Maris Erythraei,Anonymous merchant,PME §60-66 (Casson 1989 edition),Greek,50,~40-70 CE,"§60: 'After Chryse there is a river called the Ganges... Beyond this [river], close to the ocean at the very end of the inhabited world towards the east, lying directly under the rising sun itself, there is a place called Chryse.' §63: 'The last part of the inhabited world toward the east, under the rising sun itself... Chryse... there is a very great inland city called Thina [= China], from which raw silk and silk thread and silk cloth are brought on foot... It is not easy to get to this Thina; for rarely do people come from it, and only a few.'",HIGH,greco-roman,PROBABLE,5,First-hand merchant knowledge. Author clearly knows of lands beyond India. Chryse = transit point between India and China.
GRK-003,GREEK,"Geographia, Book VII",Claudius Ptolemy,"Ptolemy, Geographia VII.2-3 (Stückelberger & Graßhoff 2006)",Greek,150,~150 CE,"VII.2: 'The Golden Peninsula (Χρυσῆ Χερσόνησος) extends south from [coordinates]... Sabara emporium, Perimula, Kole.' VII.2.5: 'The island of Iabadiu (Ἰαβαδίου), which means Island of Barley, is said to produce much gold.' VII.2.29: 'Argyre [Silver City] at the western point.' Coordinates given: Iabadiu at roughly 8°S 118°E (reconstructed).",HIGH,greco-roman,PROBABLE,7,Iabadiu = Yavadvipa is widely accepted. Ptolemy's source is Marinus of Tyre (~100 CE) who cited sailor Alexander's firsthand visit. Coordinates place it in correct region.
GRK-004,GREEK,"Geography (lost, reconstructed via Pliny/Ptolemy)",Marinus of Tyre,"Ptolemy, Geographia I.11-17 (citations of Marinus)",Greek,110,~100-120 CE,Marinus compiled sailing directions and distances to eastern lands. Ptolemy (I.11): 'Marinus says the distance from the Stone Tower to Sera [China] is... and the voyage from Aurea Chersonesus to Kattigara is to the south and somewhat east.' Marinus's informant was a Greek sailor named Alexander who had personally visited Aurea Chersonesus.,HIGH,greco-roman,PROBABLE,3,Marinus is Ptolemy's primary source for SE Asia. The Alexander testimony represents genuine eyewitness knowledge.
