volume,year,paragraph_idx,page_est,category,subcategory,description,matched_text,captured_value,depth_m,cooccurrence,cooccurrence_count,context
OV_1912,1912,1,0,volcanic,tephra,tephra/ash/tuff,ASCH,,,location+volcanic,2,BATAVIAASCH GENOOTSCHAP VAN KUNSTEN EN WETENSCHAPPEN ' WELTEVREDEN ] 'S HAGE ALBRECHT & Co M. NIJHOFF AL. 57^1 3i~ .U... CA.; : '^VSs’^OM I N H O U D Bladz.
OV_1912,1912,1,0,location,batavia,Batavia/Jakarta,BATAVIA,,,location+volcanic,2,BATAVIAASCH GENOOTSCHAP VAN KUNSTEN EN WETENSCHAPPEN ' WELTEVREDEN ] 'S HAGE ALBRECHT & Co M. NIJHOFF AL. 57^1 3i~ .U... CA.; : '^VSs’^OM I N H O U D Bladz.
OV_1912,1912,3,2,site,monument,Monument,monumenten,,,location+site,2,Bijlage C. Voorloopige lijst van monumenten. I Oost Java . . H
OV_1912,1912,3,2,location,east_java,East Java,Oost Java,,,location+site,2,Bijlage C. Voorloopige lijst van monumenten. I Oost Java . . H
OV_1912,1912,13,0,site,monument,Monument,monumenten,,,location+site,2,Bijlage Q. Voorloopige hjst van monumenten II. Midden Java. 113 Bijlage R. Uittreksel uit het verslag over de oudheidkundige werkzaamheden in Pase . 118 Oudheidkundig: Verslag OVER HEX Eerste kwartaal 1912.
OV_1912,1912,13,0,location,central_java,Central Java,Midden Java,,,location+site,2,Bijlage Q. Voorloopige hjst van monumenten II. Midden Java. 113 Bijlage R. Uittreksel uit het verslag over de oudheidkundige werkzaamheden in Pase . 118 Oudheidkundig: Verslag OVER HEX Eerste kwartaal 1912.
OV_1912,1912,26,0,volcanic,tephra,tephra/ash/tuff,asch,,,location+volcanic,2,"Van de op verzoek van de Direetie van her Bataviaasch Genootscbap van Kunsten en W<‘tenseiiap})en naar bet Ond- beidkundig Bureau overgebraehte oudhtudkaiulige eiic-be’^ en foto’s van dat Genootscliap word eeii lij.-t saineiigesteld De verzauieliug toto's der Oudlieidkundige t’onunis>ie werd geheel geeontroleerd eu de out brek end, e exeinplaren werden door nieuwe atdrukken vervangeii. Ten slotte werden ouder- scdieiden proeven geuoinen met verschillende soorten papier en inkt-inenu’'^e]s tot be"
OV_1912,1912,26,0,location,batavia,Batavia/Jakarta,Batavia,,,location+volcanic,2,"Van de op verzoek van de Direetie van her Bataviaasch Genootscbap van Kunsten en W<‘tenseiiap})en naar bet Ond- beidkundig Bureau overgebraehte oudhtudkaiulige eiic-be’^ en foto’s van dat Genootscliap word eeii lij.-t saineiigesteld De verzauieliug toto's der Oudlieidkundige t’onunis>ie werd geheel geeontroleerd eu de out brek end, e exeinplaren werden door nieuwe atdrukken vervangeii. Ten slotte werden ouder- scdieiden proeven geuoinen met verschillende soorten papier en inkt-inenu’'^e]s tot be"
OV_1912,1912,28,0,site,tempel,Temple,tempels,,,location+site,2,"Eerst kort na een atVeziglieid van eenige inaanden terng- gekeerd. vertoefde ik zelf gediirende bet geheele kwartaal te Batavia. Ook de Heer Kne];el nuiakte geen reizen. De Heer Melville deed in Januari twt-e ndzen: een naar «le tempels in de vlakte van Prain])anan en naar Tiebongan en een naar Grissee: in Februari bezoeht bij de tempels van Dj*^- (long (ufd. Modjokerro) en eveneens (tris^ee, naar welke laatste j)]aat^ bij zieli ook in de niaaiid Miiart nog een paar inaal begat'. Over de reizen "
OV_1912,1912,28,0,site,tempel,Temple,tempels,,,location+site,2,"Eerst kort na een atVeziglieid van eenige inaanden terng- gekeerd. vertoefde ik zelf gediirende bet geheele kwartaal te Batavia. Ook de Heer Kne];el nuiakte geen reizen. De Heer Melville deed in Januari twt-e ndzen: een naar «le tempels in de vlakte van Prain])anan en naar Tiebongan en een naar Grissee: in Februari bezoeht bij de tempels van Dj*^- (long (ufd. Modjokerro) en eveneens (tris^ee, naar welke laatste j)]aat^ bij zieli ook in de niaaiid Miiart nog een paar inaal begat'. Over de reizen "
OV_1912,1912,28,0,site,monument,Monument,monumenten,,,location+site,2,"Eerst kort na een atVeziglieid van eenige inaanden terng- gekeerd. vertoefde ik zelf gediirende bet geheele kwartaal te Batavia. Ook de Heer Kne];el nuiakte geen reizen. De Heer Melville deed in Januari twt-e ndzen: een naar «le tempels in de vlakte van Prain])anan en naar Tiebongan en een naar Grissee: in Februari bezoeht bij de tempels van Dj*^- (long (ufd. Modjokerro) en eveneens (tris^ee, naar welke laatste j)]aat^ bij zieli ook in de niaaiid Miiart nog een paar inaal begat'. Over de reizen "
