volume,year,paragraph_idx,page_est,category,subcategory,description,matched_text,captured_value,depth_m,cooccurrence,cooccurrence_count,context
OV_1912,1912,3,2,site,monument,Monument,monumenten,,,location+site,2,Bijlage C. Voorloopige lijst van monumenten. I Oost Java . . H
OV_1912,1912,6,2,site,oudheden,Antiquities,oudheden,,,,1,Bijlage G. Inventaris der oudheden in de Padangsche Boven- landen 33
OV_1912,1912,13,0,site,monument,Monument,monumenten,,,location+site,2,Bijlage Q. Voorloopige hjst van monumenten II. Midden Java. 113 Bijlage R. Uittreksel uit het verslag over de oudheidkundige werkzaamheden in Pase . 118 Oudheidkundig: Verslag OVER HEX Eerste kwartaal 1912.
OV_1912,1912,28,0,site,tempel,Temple,tempels,,,location+site,2,"Eerst kort na een atVeziglieid van eenige inaanden terng- gekeerd. vertoefde ik zelf gediirende bet geheele kwartaal te Batavia. Ook de Heer Kne];el nuiakte geen reizen. De Heer Melville deed in Januari twt-e ndzen: een naar «le tempels in de vlakte van Prain])anan en naar Tiebongan en een naar Grissee: in Februari bezoeht bij de tempels van Dj*^- (long (ufd. Modjokerro) en eveneens (tris^ee, naar welke laatste j)]aat^ bij zieli ook in de niaaiid Miiart nog een paar inaal begat'. Over de reizen "
OV_1912,1912,28,0,site,tempel,Temple,tempels,,,location+site,2,"Eerst kort na een atVeziglieid van eenige inaanden terng- gekeerd. vertoefde ik zelf gediirende bet geheele kwartaal te Batavia. Ook de Heer Kne];el nuiakte geen reizen. De Heer Melville deed in Januari twt-e ndzen: een naar «le tempels in de vlakte van Prain])anan en naar Tiebongan en een naar Grissee: in Februari bezoeht bij de tempels van Dj*^- (long (ufd. Modjokerro) en eveneens (tris^ee, naar welke laatste j)]aat^ bij zieli ook in de niaaiid Miiart nog een paar inaal begat'. Over de reizen "
OV_1912,1912,28,0,site,monument,Monument,monumenten,,,location+site,2,"Eerst kort na een atVeziglieid van eenige inaanden terng- gekeerd. vertoefde ik zelf gediirende bet geheele kwartaal te Batavia. Ook de Heer Kne];el nuiakte geen reizen. De Heer Melville deed in Januari twt-e ndzen: een naar «le tempels in de vlakte van Prain])anan en naar Tiebongan en een naar Grissee: in Februari bezoeht bij de tempels van Dj*^- (long (ufd. Modjokerro) en eveneens (tris^ee, naar welke laatste j)]aat^ bij zieli ook in de niaaiid Miiart nog een paar inaal begat'. Over de reizen "
OV_1912,1912,29,0,site,tjandi,Tjandi,Tjandi Sari,Sari,,,1,"Bij een eoiitrole-bezoek van den fleer Melville aan de tempels van Vrumh^ntijn werrlen dt^ze alle, voorzoover bezocbt, goed ouderhoudeu aangetrotfeii. Maatregelen ter beseher- ining leken <len Heer ^lelviile niet noodig behalve bij Tjandi Sari. Aan dit bouwwerk zal versterking noodig zijn: a. jiau den onderbouw van den Zuid-Oost-hoek,"
OV_1912,1912,29,0,site,tempel,Temple,tempels,,,,1,"Bij een eoiitrole-bezoek van den fleer Melville aan de tempels van Vrumh^ntijn werrlen dt^ze alle, voorzoover bezocbt, goed ouderhoudeu aangetrotfeii. Maatregelen ter beseher- ining leken <len Heer ^lelviile niet noodig behalve bij Tjandi Sari. Aan dit bouwwerk zal versterking noodig zijn: a. jiau den onderbouw van den Zuid-Oost-hoek,"
OV_1912,1912,37,0,site,tjandi,Tjandi,Tjandi Pasetrau,Pasetrau,,,1,"A'olgens het gcwoiie werkprogramnia werd voortgegaaii met de opname van de rii’ines te DjcJonff, twee j)Oorteii. de z. g. n. Tjandi Pasetrau, een bijtempeltje daarvan en den hoek van nog een bouwwerk. Deze werdeu get eekend en gefotografeerd. In liet bijzondei* werd nog eeu onderzoek ingest eld naar de fnndeering van de Zuidelijke poort. § 7. Vondsten."
OV_1912,1912,37,0,site,tempel,Temple,tempeltje,,,,1,"A'olgens het gcwoiie werkprogramnia werd voortgegaaii met de opname van de rii’ines te DjcJonff, twee j)Oorteii. de z. g. n. Tjandi Pasetrau, een bijtempeltje daarvan en den hoek van nog een bouwwerk. Deze werdeu get eekend en gefotografeerd. In liet bijzondei* werd nog eeu onderzoek ingest eld naar de fnndeering van de Zuidelijke poort. § 7. Vondsten."
