volcano_name,country,region,eruption_date,vei,sedimentation_rate_cm_per_year,measurement_method,distance_from_vent_km,time_period,reference,notes
Merapi,Indonesia,Central Java,2010,4,15.0,field measurement of deposit thickness,5,2010-2013,"de Belizal et al. 2013 JVGR","Post-eruption lahar remobilization. Rate measured in river valleys within 5 km."
Merapi,Indonesia,Central Java,2010,4,8.5,field measurement of deposit thickness,10,2010-2013,"Thouret et al. 2015 JVGR","Lahar deposit at 10 km distance. Rate includes remobilized tephra."
Merapi,Indonesia,Central Java,2010,4,3.2,field measurement of deposit thickness,15,2010-2015,"Thouret et al. 2015 JVGR","Declining rate with distance. Measured at channel deposits."
Merapi,Indonesia,Central Java,2010,4,0.8,field measurement of deposit thickness,25,2010-2015,"de Belizal et al. 2013 JVGR","Distal lahar deposits. Thin but measurable."
Merapi,Indonesia,Central Java,2006,2,2.1,field measurement of deposit thickness,8,2006-2010,"Thouret et al. 2015 JVGR","Smaller eruption. Lahar deposit at moderate distance."
Merapi,Indonesia,Central Java,1994,2,1.5,field measurement of deposit thickness,10,1994-2000,"Lavigne et al. 2000 JVGR","Pyroclastic flow and lahar deposits."
Merapi,Indonesia,Central Java,ongoing,varies,1.3,long-term average from stratigraphy,10,0-2025 CE,"Newhall et al. 2000 JVGR","2000-year average. Key VOLCARCH calibration value. Includes quiet periods."
Merapi,Indonesia,Central Java,ongoing,varies,2.8,long-term average from stratigraphy,5,0-2025 CE,"Newhall et al. 2000 JVGR","Proximal 2000-year average. Higher rate near vent."
Merapi,Indonesia,Central Java,ongoing,varies,0.5,long-term average from stratigraphy,20,0-2025 CE,"Newhall et al. 2000 JVGR","Distal 2000-year average."
Merapi,Indonesia,Central Java,1930,3,5.0,historical measurement,7,1930-1935,"Newhall et al. 2000 JVGR","1930 eruption destroyed Sleman villages. Deposit thickness 25 cm at 7 km in single event."
Kelud,Indonesia,East Java,1919,4,50.0,single-event lahar deposit,5,1919,"Thouret et al. 2000 Bull Volcanol","Catastrophic lahar. Single event deposited 2.5 m at 5 km. Rate is misleading for single event — better expressed as thickness."
Kelud,Indonesia,East Java,1919,4,20.0,single-event lahar deposit,15,1919,"Thouret et al. 2000 Bull Volcanol","Lahar deposit ~1 m thick at 15 km distance."
Kelud,Indonesia,East Java,1919,4,5.0,single-event lahar deposit,30,1919,"Thouret et al. 2000 Bull Volcanol","Distal lahar. Estimated 25 cm at 30 km."
Kelud,Indonesia,East Java,1990,4,8.0,field measurement of deposit thickness,10,1990-1995,"Thouret et al. 2000 Bull Volcanol","Post-1990 eruption lahars."
Kelud,Indonesia,East Java,ongoing,varies,1.0,long-term average from stratigraphy,15,0-2025 CE,"Andreastuti et al. 2000 JVGR","Long-term average rate estimated from volcanic stratigraphy."
Kelud,Indonesia,East Java,2014,4,3.5,field measurement of deposit thickness,10,2014-2016,"Maeno et al. 2019 JVGR (approximate)","2014 eruption tephra deposits."
Semeru,Indonesia,East Java,ongoing,2-3,2.5,field measurement of deposit thickness,5,2000-2015,"de Belizal et al. 2013 JVGR","Semeru has near-continuous activity. Persistent lahar sedimentation."
Semeru,Indonesia,East Java,ongoing,2-3,0.8,long-term average from stratigraphy,15,0-2025 CE,"Estimated from GVP eruption frequency","~800 eruptions in GVP record. Estimated long-term rate."
Bromo,Indonesia,East Java,ongoing,1-2,0.3,long-term average from stratigraphy,10,0-2025 CE,"Estimated from GVP eruption frequency","Frequent small eruptions. Tephra fall dominates."
Arjuno-Welirang,Indonesia,East Java,ongoing,varies,0.6,inferred from archaeological burial depths,10,400-1500 CE,"VOLCARCH E075 model estimate","Estimated from burial depths at Trowulan-area sites (2-4 m over ~1000 years). Rate is approximate."
Tambora,Indonesia,Sumbawa,1815,7,500.0,single-event tephra deposit,10,1815,"Oppenheimer 2003 Prog Phys Geog","Single event. ~5 m tephra at 10 km. Expressed as rate is misleading."
