lat,lon,sed_rate_mm_yr,depth_400ce_m,depth_200bce_m,depth_1000bce_m
-8.5,110.0,0.5,0.8,1.1,1.5
-8.5,110.05,0.5,0.8,1.1,1.5
-8.5,110.1,0.5,0.8,1.1,1.5
-8.5,110.14999999999999,0.5,0.8,1.1,1.5
-8.5,110.19999999999999,0.5,0.8,1.1,1.5
-8.5,110.24999999999999,0.5,0.8,1.1,1.5
-8.5,110.29999999999998,0.5,0.8,1.1,1.5
-8.5,110.34999999999998,0.5,0.8,1.1,1.5
-8.5,110.39999999999998,0.5,0.8,1.1,1.5
-8.5,110.44999999999997,0.5,0.8,1.1,1.5
-8.5,110.49999999999997,0.51,0.8,1.1,1.5
-8.5,110.54999999999997,0.51,0.8,1.1,1.5
-8.5,110.59999999999997,0.5,0.8,1.1,1.5
-8.5,110.64999999999996,0.5,0.8,1.1,1.5
-8.5,110.69999999999996,0.5,0.8,1.1,1.5
-8.5,110.74999999999996,0.5,0.8,1.1,1.5
-8.5,110.79999999999995,0.5,0.8,1.1,1.5
-8.5,110.84999999999995,0.5,0.8,1.1,1.5
-8.5,110.89999999999995,0.5,0.8,1.1,1.5
-8.5,110.94999999999995,0.5,0.8,1.1,1.5
-8.5,110.99999999999994,0.5,0.8,1.1,1.5
-8.5,111.04999999999994,0.5,0.8,1.1,1.5
-8.5,111.09999999999994,0.5,0.8,1.1,1.5
-8.5,111.14999999999993,0.51,0.8,1.1,1.5
-8.5,111.19999999999993,0.5,0.8,1.1,1.5
-8.5,111.24999999999993,0.5,0.8,1.1,1.5
-8.5,111.29999999999993,0.5,0.8,1.1,1.5
-8.5,111.34999999999992,0.5,0.8,1.1,1.5
-8.5,111.39999999999992,0.51,0.8,1.1,1.5
-8.5,111.44999999999992,0.51,0.8,1.1,1.5
-8.5,111.49999999999991,0.51,0.8,1.1,1.5
-8.5,111.54999999999991,0.51,0.8,1.1,1.5
-8.5,111.59999999999991,0.51,0.8,1.1,1.5
-8.5,111.6499999999999,0.51,0.8,1.1,1.5
-8.5,111.6999999999999,0.51,0.8,1.1,1.5
-8.5,111.7499999999999,0.51,0.8,1.1,1.6
-8.5,111.7999999999999,0.52,0.8,1.1,1.6
-8.5,111.8499999999999,0.52,0.8,1.2,1.6
-8.5,111.89999999999989,0.52,0.9,1.2,1.6
-8.5,111.94999999999989,0.53,0.9,1.2,1.6
-8.5,111.99999999999989,0.54,0.9,1.2,1.6
-8.5,112.04999999999988,0.54,0.9,1.2,1.6
-8.5,112.09999999999988,0.55,0.9,1.2,1.7
-8.5,112.14999999999988,0.56,0.9,1.2,1.7
-8.5,112.19999999999987,0.57,0.9,1.3,1.7
-8.5,112.24999999999987,0.58,0.9,1.3,1.8
-8.5,112.29999999999987,0.59,1.0,1.3,1.8
-8.5,112.34999999999987,0.6,1.0,1.3,1.8
-8.5,112.39999999999986,0.61,1.0,1.3,1.8
-8.5,112.44999999999986,0.62,1.0,1.4,1.9
-8.5,112.49999999999986,0.63,1.0,1.4,1.9
-8.5,112.54999999999986,0.65,1.1,1.4,2.0
-8.5,112.59999999999985,0.67,1.1,1.5,2.0
-8.5,112.64999999999985,0.69,1.1,1.5,2.1
-8.5,112.69999999999985,0.72,1.2,1.6,2.2
-8.5,112.74999999999984,0.74,1.2,1.7,2.2
-8.5,112.79999999999984,0.77,1.2,1.7,2.3
-8.5,112.84999999999984,0.78,1.3,1.7,2.4
-8.5,112.89999999999984,0.79,1.3,1.8,2.4
-8.5,112.94999999999983,0.79,1.3,1.7,2.4
-8.5,112.99999999999983,0.77,1.3,1.7,2.3
-8.5,113.04999999999983,0.75,1.2,1.7,2.3
-8.5,113.09999999999982,0.72,1.2,1.6,2.2
-8.5,113.14999999999982,0.69,1.1,1.5,2.1
-8.5,113.19999999999982,0.65,1.1,1.5,2.0
-8.5,113.24999999999982,0.63,1.0,1.4,1.9
-8.5,113.29999999999981,0.6,1.0,1.3,1.8
-8.5,113.34999999999981,0.58,0.9,1.3,1.8
-8.5,113.3999999999998,0.57,0.9,1.3,1.7
-8.5,113.4499999999998,0.56,0.9,1.2,1.7
-8.5,113.4999999999998,0.55,0.9,1.2,1.7
-8.5,113.5499999999998,0.55,0.9,1.2,1.7
-8.5,113.5999999999998,0.55,0.9,1.2,1.7
-8.5,113.64999999999979,0.56,0.9,1.2,1.7
-8.5,113.69999999999979,0.57,0.9,1.3,1.7
-8.5,113.74999999999979,0.58,0.9,1.3,1.8
-8.5,113.79999999999978,0.6,1.0,1.3,1.8
-8.5,113.84999999999978,0.62,1.0,1.4,1.9
-8.5,113.89999999999978,0.64,1.0,1.4,1.9
