depth_m,date,title,location,lat,lon,volc_dist,volcano
50.0,1935/05/31,"Natuur en Historie op het Diëng-Plateau De Rijke Flora, de V","Dieng (-7.21,109.91)",-7.21,109.91,69.94633141262558,Merapi
1.0,1939/03/09,Op de Kloethelling III. Het Penataran – tempelcomplex Chinee,"Malang (-7.98,112.63)",-7.98,112.63,28.339069613825277,Arjuno
1.2,1915/06/02,Onze Indische Oudheden.,Soerabaja,-7.25,112.75,56.56847314403289,Arjuno
3.5,1915/06/02,Onze Indische Oudheden.,Soerabaja,-7.25,112.75,56.56847314403289,Arjuno
3.0,1874/04/25,HET RIJKSMUSEUM VAN OUDHEDEN EN HET RIJKSETHNOGRAPHISCH MUSE,Batavia,-6.17,106.83,427.6873996048963,Merapi
1.0,1874/04/25,HET RIJKSMUSEUM VAN OUDHEDEN EN HET RIJKSETHNOGRAPHISCH MUSE,Batavia,-6.17,106.83,427.6873996048963,Merapi
3.0,1874/04/25,HET RIJKSMUSEUM VAN OUDHEDEN EN HET RIJKSETHNOGRAPHISCH MUSE,Batavia,-6.17,106.83,427.6873996048963,Merapi
4.0,1874/04/25,HET RIJKSMUSEUM VAN OUDHEDEN EN HET RIJKSETHNOGRAPHISCH MUSE,Batavia,-6.17,106.83,427.6873996048963,Merapi
1.8,1870/06/06,HET RIJKSMUSEUM VAN OUDHEDEN EN HET RIJKSETHNOGRAPHISCH MUSE,Malang,-7.98,112.63,28.339069613825277,Arjuno
2.0,1929/12/02,NEDERLANDSCH INDIE UIT DE MAILBLADEN. Opgravingen te Bangil.,Djokja,-7.8,110.36,30.564590263528842,Merapi
