title,date,source,identifier,description,subject,relevance,tags,depth_m
UIT MIDDEN-JAVA. DJOKJA. (Van onzen redacteur). Kostbare oudheidkundige vondsten. Steenplaten-graven uit Bronstijdperk.,1934/06/29,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011110022:mpeg21:a0255:ocr,,,7,ARCHAEOLOGY; STONE; METAL; JAVA,
MIDDEN-JAVA Het sprekende Vrouwenbeeld OPGRAVING IN KAMPONG.,1938/10/23,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB27:021093037:mpeg21:a00152:ocr,,,6,ARCHAEOLOGY; STATUE; JAVA,
EEN TOCHT NAAR DE KLOETHELLING. (Van onzen correspondent te Malang.) III. Het Penataran-tempelcomplex. – Chineesche muur. Van tempels en badplaatsen. – De bezoekers. Verdere opgravingen.,1939/03/10,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010285671:mpeg21:a0224:ocr,,,6,ARCHAEOLOGY; TEMPLE; JAVA,
"OOST-JAVA Oudheidkundige Vondsten STEENEN, MESSEN, SPEREN EN BIJLEN.",1939/08/20,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB27:021096085:mpeg21:a00117:ocr,,,5,ARCHAEOLOGY; STONE; JAVA,
"Natuur en Historie op het Diëng-Plateau De Rijke Flora, de Vele Sporen van Vulcanisme, en de Hindoe-Oudheden. Eenmaal Dicht Bevolkt, zegt Overlevering. Vroeger een Enorme Vulkaan.",1935/05/31,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001754066:mpeg21:a00322:ocr,,,5,ARCHAEOLOGY; VOLCANIC,
Op de Kloethelling III. Het Penataran – tempelcomplex Chineesche muur. — Van tempels en badplaatsen. — De bezoekers. — Verde. re opgravingen.,1939/03/09,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011121248:mpeg21:a0199:ocr,,,5,ARCHAEOLOGY; TEMPLE,
GROOT IRRIGATIEWERK IN ZUID-SUMATRA Op Javanenkolonie. Oudheidkundige vondsten.,1939/11/07,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=KBNRC01:000087703:mpeg21:a0151:ocr,,,4,ARCHAEOLOGY; JAVA,
Oudheidkundige vondsten in Oost-Java.,1929/11/01,KB NBM Mfm MMK 0030 [Microfilm],http://resolver.kb.nl/resolve?urn=ddd:010030560:mpeg21:a0251:ocr,,,4,ARCHAEOLOGY; JAVA,
VONDST OP MIDDEN JAVA OUDHEDEN HEBBEN DOOR BEVING WEINIG GELEDEN.,1937/10/17,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB27:021089029:mpeg21:a00115:ocr,,,4,ARCHAEOLOGY; JAVA,
Vondst op Midden-Java Oudheden hebben door beving weinig geleden,1937/09/30,Koninklijke Bibliotheek C 96,http://resolver.kb.nl/resolve?urn=ddd:011074738:mpeg21:a0050:ocr,,,4,ARCHAEOLOGY; JAVA,
Oudheidkundige vondsten. Onze Midden Java-redacteur meldt:,1926/04/01,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001693079:mpeg21:a00079:ocr,,,4,ARCHAEOLOGY; JAVA,
VONDST OP MIDDEN-JAVA OUDHEDEN HEBBEN DOOR BEVING WEINIG GELEDEN.,1937/10/20,Stadsarchief Breda,http://resolver.kb.nl/resolve?urn=MMSAB03:000067156:mpeg21:a0030:ocr,,,4,ARCHAEOLOGY; JAVA,
Boorput van meer dan. 3 k.m. diepte Olie-exploratie in West-Java EEN RECORD VOOR NED.-INDIë,1939/03/11,Gemeentearchief Delft,http://resolver.kb.nl/resolve?urn=MMKB08:000079123:mpeg21:a0136:ocr,,,4,DEPTH; JAVA,
Boorput van meer =dan 3 k.m. diepte Olie-exploratie in West-Java,1939/03/10,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB27:021094115:mpeg21:a00106:ocr,,,4,DEPTH; JAVA,
