title,date,source,identifier,relevance,phase1_tags,text_length,n_depths,depths_m,depth_contexts,n_locations,locations,primary_lat,primary_lon,materials,volcanic_context,has_depth,has_volcanic
UIT MIDDEN-JAVA. DJOKJA. (Van onzen redacteur). Kostbare oudheidkundige vondsten. Steenplaten-graven uit Bronstijdperk.,1934/06/29,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011110022:mpeg21:a0255:ocr,7,ARCHAEOLOGY; STONE; METAL; JAVA,4099,0,,,4,"Djokja (-7.80,110.36); Batavia (-6.17,106.83); Goenoeng Kidoel (-7.98,110.61); Wonosari (-7.96,110.60)",-7.8,110.36,tools; stone; metal; temple,,False,False
MIDDEN-JAVA Het sprekende Vrouwenbeeld OPGRAVING IN KAMPONG.,1938/10/23,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB27:021093037:mpeg21:a00152:ocr,6,ARCHAEOLOGY; STATUE; JAVA,1689,0,,,1,"Djokja (-7.80,110.36)",-7.8,110.36,stone; statue,,False,False
EEN TOCHT NAAR DE KLOETHELLING. (Van onzen correspondent te Malang.) III. Het Penataran-tempelcomplex. – Chineesche muur. Van tempels en badplaatsen. – De bezoekers. Verdere opgravingen.,1939/03/10,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010285671:mpeg21:a0224:ocr,6,ARCHAEOLOGY; TEMPLE; JAVA,9263,0,,,9,"Malang (-7.98,112.63); Singosari (-7.89,112.66); Kediri (-7.82,112.01); Blitar (-8.08,112.17); Banjoewangi (-8.22,114.35); Djokja (-7.80,110.36); Semarang (-6.97,110.42); Boroboedoer (-7.61,110.20); Batavia (-6.17,106.83)",-7.98,112.63,tools; stone; statue; temple,vulkaan; Kloet,False,True
"OOST-JAVA Oudheidkundige Vondsten STEENEN, MESSEN, SPEREN EN BIJLEN.",1939/08/20,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB27:021096085:mpeg21:a00117:ocr,5,ARCHAEOLOGY; STONE; JAVA,1810,0,,,2,"Madioen (-7.63,111.52); Toeban (-6.90,112.05)",-7.63,111.52,tools; stone,,False,False
"Natuur en Historie op het Diëng-Plateau De Rijke Flora, de Vele Sporen van Vulcanisme, en de Hindoe-Oudheden. Eenmaal Dicht Bevolkt, zegt Overlevering. Vroeger een Enorme Vulkaan.",1935/05/31,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001754066:mpeg21:a00322:ocr,5,ARCHAEOLOGY; VOLCANIC,13912,1,50.0m,"rpunt ontstaan (=fc 50 m. diep), waarbij door den",1,"Dieng (-7.21,109.91)",-7.21,109.91,tools; stone; metal; temple,vulkaan; vulkanisch; lava; asch; uitbarsting; modder; modderstroom; kratermeer,True,True
Op de Kloethelling III. Het Penataran – tempelcomplex Chineesche muur. — Van tempels en badplaatsen. — De bezoekers. — Verde. re opgravingen.,1939/03/09,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011121248:mpeg21:a0199:ocr,5,ARCHAEOLOGY; TEMPLE,9405,1,1.0m,p. Thans ligt alles 1 M. onder den grond. De tempe,7,"Malang (-7.98,112.63); Singosari (-7.89,112.66); Blitar (-8.08,112.17); Madioen (-7.63,111.52); Semarang (-6.97,110.42); Boroboedoer (-7.61,110.20); Batavia (-6.17,106.83)",-7.98,112.63,tools; stone; statue; temple,vulkaan; Kloet,True,True
GROOT IRRIGATIEWERK IN ZUID-SUMATRA Op Javanenkolonie. Oudheidkundige vondsten.,1939/11/07,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=KBNRC01:000087703:mpeg21:a0151:ocr,4,ARCHAEOLOGY; JAVA,1806,2,3.0m; 20.0m,"htig, werd op 2 Ã¨. 3 meter diepte onder het maaivel | diepte van ongeveer 20 meter onder het maaiveld ontdek",0,,,,tools; stone; statue,,True,False
Oudheidkundige vondsten in Oost-Java.,1929/11/01,KB NBM Mfm MMK 0030 [Microfilm],http://resolver.kb.nl/resolve?urn=ddd:010030560:mpeg21:a0251:ocr,4,ARCHAEOLOGY; JAVA,485,0,,,1,"Soerabaja (-7.25,112.75)",-7.25,112.75,stone; statue; temple,,False,False
VONDST OP MIDDEN JAVA OUDHEDEN HEBBEN DOOR BEVING WEINIG GELEDEN.,1937/10/17,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB27:021089029:mpeg21:a00115:ocr,4,ARCHAEOLOGY; JAVA,2207,0,,,3,"Prambanan (-7.75,110.49); Boroboedoer (-7.61,110.20); Batavia (-6.17,106.83)",-7.75,110.49,temple,,False,False
Vondst op Midden-Java Oudheden hebben door beving weinig geleden,1937/09/30,Koninklijke Bibliotheek C 96,http://resolver.kb.nl/resolve?urn=ddd:011074738:mpeg21:a0050:ocr,4,ARCHAEOLOGY; JAVA,2224,0,,,3,"Prambanan (-7.75,110.49); Boroboedoer (-7.61,110.20); Batavia (-6.17,106.83)",-7.75,110.49,temple,,False,False
