title,date,max_depth_m,locations,materials,periods,identifier
UIT MIDDEN-JAVA. DJOKJA. (Van onzen redacteur). Kostbare oudheidkundige vondsten. Steenplaten-graven uit Bronstijdperk.,1934/06/29,,Djokja; Batavia,stone; bronze; temple; axe,Hindu-Buddhist; prehistoric,http://resolver.kb.nl/resolve?urn=ddd:011110022:mpeg21:a0255:ocr
MIDDEN-JAVA Het sprekende Vrouwenbeeld OPGRAVING IN KAMPONG.,1938/10/23,,Djokja,stone; statue,,http://resolver.kb.nl/resolve?urn=MMKB27:021093037:mpeg21:a00152:ocr
EEN TOCHT NAAR DE KLOETHELLING. (Van onzen correspondent te Malang.) III. Het Penataran-tempelcomplex. – Chineesche muur. Van tempels en badplaatsen. – De bezoekers. Verdere opgravingen.,1939/03/10,,Malang; Kediri; Singosari; Blitar,temple; statue; statues; brick; wall; stone; knife,Hindu-Buddhist; Singosari; prehistoric,http://resolver.kb.nl/resolve?urn=ddd:010285671:mpeg21:a0224:ocr
"OOST-JAVA Oudheidkundige Vondsten STEENEN, MESSEN, SPEREN EN BIJLEN.",1939/08/20,,Madioen,stone; spear; knife; axe,prehistoric,http://resolver.kb.nl/resolve?urn=MMKB27:021096085:mpeg21:a00117:ocr
"Natuur en Historie op het Diëng-Plateau De Rijke Flora, de Vele Sporen van Vulcanisme, en de Hindoe-Oudheden. Eenmaal Dicht Bevolkt, zegt Overlevering. Vroeger een Enorme Vulkaan.",1935/05/31,,,knife,Hindu-Buddhist; prehistoric,http://resolver.kb.nl/resolve?urn=MMKB23:001754066:mpeg21:a00322:ocr
Op de Kloethelling III. Het Penataran – tempelcomplex Chineesche muur. — Van tempels en badplaatsen. — De bezoekers. — Verde. re opgravingen.,1939/03/09,,Malang; Singosari; Blitar,temple; statue; statues; brick; wall; stone; knife,Hindu-Buddhist; Singosari; prehistoric,http://resolver.kb.nl/resolve?urn=ddd:011121248:mpeg21:a0199:ocr
GROOT IRRIGATIEWERK IN ZUID-SUMATRA Op Javanenkolonie. Oudheidkundige vondsten.,1939/11/07,20.0,,stone; statue; axe,prehistoric,http://resolver.kb.nl/resolve?urn=KBNRC01:000087703:mpeg21:a0151:ocr
Oudheidkundige vondsten in Oost-Java.,1929/11/01,,Soerabaja,stone; temple; brick; statue,Hindu-Buddhist; prehistoric,http://resolver.kb.nl/resolve?urn=ddd:010030560:mpeg21:a0251:ocr
VONDST OP MIDDEN JAVA OUDHEDEN HEBBEN DOOR BEVING WEINIG GELEDEN.,1937/10/17,,Batavia,temple,prehistoric,http://resolver.kb.nl/resolve?urn=MMKB27:021089029:mpeg21:a00115:ocr
Vondst op Midden-Java Oudheden hebben door beving weinig geleden,1937/09/30,,Batavia,temple,prehistoric,http://resolver.kb.nl/resolve?urn=ddd:011074738:mpeg21:a0050:ocr
Oudheidkundige vondsten. Onze Midden Java-redacteur meldt:,1926/04/01,,,statue,prehistoric,http://resolver.kb.nl/resolve?urn=MMKB23:001693079:mpeg21:a00079:ocr
VONDST OP MIDDEN-JAVA OUDHEDEN HEBBEN DOOR BEVING WEINIG GELEDEN.,1937/10/20,,Batavia,temple,prehistoric,http://resolver.kb.nl/resolve?urn=MMSAB03:000067156:mpeg21:a0030:ocr
Boorput van meer dan. 3 k.m. diepte Olie-exploratie in West-Java EEN RECORD VOOR NED.-INDIë,1939/03/11,,Batavia,statue,,http://resolver.kb.nl/resolve?urn=MMKB08:000079123:mpeg21:a0136:ocr
Boorput van meer =dan 3 k.m. diepte Olie-exploratie in West-Java,1939/03/10,,Batavia,statue,,http://resolver.kb.nl/resolve?urn=MMKB27:021094115:mpeg21:a00106:ocr
OLIE-EXPLORATIE IN WEST-JAVA De B. P. M. heeft de diepste boring in Nederlandsch-Indië op haar naam,1939/03/10,,Batavia,statue,,http://resolver.kb.nl/resolve?urn=ddd:010406426:mpeg21:a0186:ocr
Olie-exploratie in West-Java DE DIEPSTE BORING IN NEDERLANDSCHINDIË,1939/03/10,,Batavia,statue,,http://resolver.kb.nl/resolve?urn=MMRANM02:000034182:mpeg21:a0005:ocr
Olie-exploratie in West-Java De diepste boring in Nederlandsch-Indië,1939/03/10,,Batavia,statue,,http://resolver.kb.nl/resolve?urn=MMKB04:000150097:mpeg21:a0245:ocr
MODJOKERTO. (Van onzen correspondent.) Oudheidkundig bodemonderzoek in Majaphit.,1941/07/11,,Modjokerto; Batavia,,prehistoric,http://resolver.kb.nl/resolve?urn=ddd:011176484:mpeg21:a0105:ocr
Modjokerto OUDHEIDKUNDIG BODEM. ONDERZOEK MADJAPAHIT.,1941/07/12,,Modjokerto; Batavia,,Majapahit; prehistoric,http://resolver.kb.nl/resolve?urn=ddd:011122387:mpeg21:a0232:ocr
Oudheden op Java.,1914/03/12,,Modjokerto,statues; statue,prehistoric,http://resolver.kb.nl/resolve?urn=ddd:010324083:mpeg21:a0049:ocr
Oudheidkundige vondsten. Merkwaardige steenen.,1935/04/08,,Modjokerto; Trowoelan,stone,prehistoric,http://resolver.kb.nl/resolve?urn=ddd:010284815:mpeg21:a0307:ocr
KEDIRI. (Van onzen correspondent.) Oudheidkundig verkenningswerk.,1941/10/09,,Malang; Kediri; Modjokerto; Blitar,inscription; wall; temple; statue,Majapahit; prehistoric,http://resolver.kb.nl/resolve?urn=ddd:011176327:mpeg21:a0110:ocr
Kediri OUDHEIDKUNDIG ONDERZOEK.,1940/11/27,,Kediri; Modjokerto; Madioen,,Majapahit; prehistoric,http://resolver.kb.nl/resolve?urn=ddd:011121494:mpeg21:a0239:ocr
Kediri OUDHEIDKUNDIG VERKENNINGSWERK.,1941/10/11,,Malang; Kediri; Modjokerto; Blitar,inscription; wall; temple,Majapahit; prehistoric,http://resolver.kb.nl/resolve?urn=ddd:011122830:mpeg21:a0210:ocr
UIT DEN OOSTHOEK. UIT MALANG. (Van onzen redacteur). Oudheidkundige dienst.,1931/08/08,,Malang; Modjokerto; Batavia; Blitar,statues; statue,prehistoric,http://resolver.kb.nl/resolve?urn=ddd:011109238:mpeg21:a0186:ocr
Modjokerto OUDHEIDKUNDIGE VEREENIGING „MAJAPAHIT”.,1940/07/15,,Soerabaja; Kediri; Modjokerto; Blitar; Madioen,pottery; temple,Majapahit; prehistoric,http://resolver.kb.nl/resolve?urn=ddd:011122428:mpeg21:a0093:ocr
MODJOKERTO. (Van onzen correspondent.) Oudheidkundige vereeniging „Majapahit.”,1939/07/19,,Malang; Kediri; Modjokerto; Pasoeroean,,Majapahit; prehistoric,http://resolver.kb.nl/resolve?urn=ddd:010285830:mpeg21:a0221:ocr
Modjokerto OUDHEIDKUNDIGE VEREENIGING „MAJAPAHIT”.,1939/07/18,,Soerabaja; Malang; Modjokerto,,Majapahit; prehistoric,http://resolver.kb.nl/resolve?urn=ddd:011121789:mpeg21:a0243:ocr
WETENSCHAPPEN. HOOFD OUDHEIDKUNDIGEN DIENST TE MALANG. De regionale oudheidkundige musea.,1940/03/07,,Malang; Kediri; Batavia,,prehistoric,http://resolver.kb.nl/resolve?urn=ddd:011176811:mpeg21:a0211:ocr
WETENSCHAPPEN. HOOFD OUDHEIDKUNDIGEN DIENST TE MALANG. De regionale oudheidkundige  musea.,1940/03/07,,Malang; Kediri; Batavia,,prehistoric,http://resolver.kb.nl/resolve?urn=ddd:010286278:mpeg21:a0217:ocr
Wetenschappelijke Berichten. De opgravingen van Graikeiders te Emmen.,1913/07/23,,,stone; pottery,prehistoric,http://resolver.kb.nl/resolve?urn=ddd:010032927:mpeg21:a0126:ocr
MUSEUM VAN OUDHEDEN TE LEYDEN.,1844/02/06,,Batavia,stone; statues; statue,prehistoric,http://resolver.kb.nl/resolve?urn=ddd:010088942:mpeg21:a0006:ocr
MUSEUM VAN OUDHEDEN TE LEYDEN.,1854/03/15,,Batavia,silver; statue; axe; stone; bronze; knife,prehistoric,http://resolver.kb.nl/resolve?urn=ddd:010787982:mpeg21:a0010:ocr
Oude tempels bij Malang.,1925/06/06,,Malang,temple; statue; statues; inscription; wall; stone,prehistoric,http://resolver.kb.nl/resolve?urn=ddd:010657593:mpeg21:a0145:ocr
Oudheidkundige vondsten in Palembang.,1935/05/04,,,temple; statue; inscription; statues; stone,Hindu-Buddhist; prehistoric,http://resolver.kb.nl/resolve?urn=ddd:010663926:mpeg21:a0198:ocr
Oudheidkundige vondsten ERNSTIGE OVERDRIJVING,1935/06/11,,,temple,prehistoric,http://resolver.kb.nl/resolve?urn=ddd:010971191:mpeg21:a0082:ocr
OUDHEIDKUNDIGE VONDSTEN IN INDIE.,1937/08/18,,,temple,prehistoric,http://resolver.kb.nl/resolve?urn=MMKB32:164690042:mpeg21:a00046:ocr
BEELDEN VIT MIDDEN- EN OOST-JAVA.,1937/11/20,,,statues; statue,prehistoric,http://resolver.kb.nl/resolve?urn=MMKB23:003465039:mpeg21:a00302:ocr
Oudheden in het Loemadjangsche. Belangrijke vondsten.,1938/01/13,,,gold,prehistoric,http://resolver.kb.nl/resolve?urn=MMKB23:003460021:mpeg21:a00130:ocr
"De Vondsten op Celebes. Verwachtingen verre overtroffen, zegt dr. Stein. De eerste conclusies van den oudheidkundige.",1933/09/18,,,stone; pottery; axe,prehistoric,http://resolver.kb.nl/resolve?urn=MMKB23:001747032:mpeg21:a00154:ocr
Oudheidkundige dienst.,1937/10/14,,Batavia,,prehistoric,http://resolver.kb.nl/resolve?urn=ddd:010017463:mpeg21:a0238:ocr
"De Oudheidkundige Dienst, Het jaarverslag over 1938.",1939/06/06,,,stone; temple; brick,prehistoric,http://resolver.kb.nl/resolve?urn=MMKB23:003473065:mpeg21:a00131:ocr
Oudheidkundige Dienst.,1939/06/07,,,stone; temple,prehistoric,http://resolver.kb.nl/resolve?urn=MMKB19:000477054:mpeg21:a00041:ocr
Oudheidkundige vondsten op Bali.,1925/09/26,,,statues; inscription; temple; statue,prehistoric,http://resolver.kb.nl/resolve?urn=MMKB23:001695061:mpeg21:a00011:ocr
Voorwerpen met Oudheidkundige Waarde.,1925/11/20,,,temple; silver; statue; statues; gold; stone; bronze,Hindu-Buddhist; prehistoric,http://resolver.kb.nl/resolve?urn=MMKB19:000429069:mpeg21:a00087:ocr
KOSTBARE OUDHEIDKUNDIGE VONDSTEN.,1934/06/28,,Djokja; Batavia,stone; bronze; temple; axe,Hindu-Buddhist; prehistoric,http://resolver.kb.nl/resolve?urn=MMKB19:000456114:mpeg21:a00019:ocr
WETENSCHAPPEN. OUDHEIDKUNDIGE VOORWERPEN. Medewerking gevraagd.,1925/11/13,,,temple; silver; statue; statues; gold; stone; bronze,Hindu-Buddhist; prehistoric,http://resolver.kb.nl/resolve?urn=ddd:010278033:mpeg21:a0082:ocr
"De Heilige Tempelkat van Oengaran. De Amerikaansche, de kampongkat en de Semarangsche havenmeester.",1927/05/23,,Semarang,temple,,http://resolver.kb.nl/resolve?urn=MMKB23:001701056:mpeg21:a00022:ocr
