chapter,file,token_count,unique_tokens,native_classified,sanskrit_classified,foreign_classified,unknown_classified,top_native_content_term
812,812-01-karajan-indhu-ing-tanah-jawa-kulon.html,281,159,143,12,6,97,tanah
813,813-02-karajan-indhu-ing-jawa-tengah.html,749,317,391,28,6,319,wong
814,814-03-karajan-indhu-ing-jawa-wetan.html,807,407,363,29,0,410,jawa
815,815-04-ken-angrok-nelukake-karajan-cilik.html,683,340,276,33,0,371,banget
816,816-05-jumenenge-kartanagara-ing-tumapel.html,565,290,224,45,9,283,arep
817,817-06-karajan-melayu.html,556,266,265,26,3,259,tanah
818,818-07-perang-cina-adege-karajan-majapait.html,544,317,221,37,9,274,tanah
819,819-08-ayam-wuruk-syri-rajasanagara.html,913,457,421,52,2,434,majapait
820,820-09-kerajan-demak-kerajan-pajang.html,760,327,347,57,7,342,tahun
821,821-10-karajan-mataram-jumenenge-senapati.html,282,162,144,23,2,109,mataram
822,822-11-karajan-banten-lan-karajan-cirebon.html,1074,476,530,65,5,470,wong
823,823-12-wong-portegis-lan-sepanyol.html,860,328,443,26,61,325,wong
824,824-13-tekane-wong-walanda.html,943,370,462,26,75,375,wong
825,825-14-adege-voc.html,2159,738,951,27,250,922,wong
826,826-15-karajan-mataram-nalika-mumbul.html,1991,743,960,83,108,832,wong
827,827-16-kraman-ing-moloko.html,1362,553,623,65,78,591,wong
828,828-17-mataram-nalika-perang-rebut-keprabon.html,600,289,241,39,29,287,tahun
829,829-18-kaanane-voc-wiwit-tangah-abad-17.html,975,474,433,12,73,452,tahun
830,830-19-pangujaning-wong-betawi-marang-cina.html,2486,955,1021,137,141,1178,tahun
831,831-20-kaanane-voc-ngarepake-ambruke.html,725,324,366,21,68,266,tanah
832,832-21-tanah-indhiya-wiwit-adege-bataafsche-republiek.html,1531,621,693,32,113,689,tanah
833,833-22-karajan-jawa-nalika-pangrehe-daendels.html,843,398,380,39,74,348,tanah
834,834-23-pangrehe-lg-raffles.html,1711,693,705,49,128,825,tanah
835,835-24-perang-dipanegara.html,1286,564,557,72,46,607,kraman
836,836-25-culturstelsel.html,1057,442,463,13,62,510,tahun
