token,count,class,domain
wong,452,native,OTHER
tanah,326,native,NATURE
tahun,305,native,NUMBER
dadi,182,native,ACTION
jawa,170,native,OTHER
padha,162,native,ACTION
para,150,native,OTHER
banget,137,native,QUALITY
banten,121,native,OTHER
bisa,117,native,ACTION
akeh,116,native,QUALITY
menyang,115,native,ACTION
ratu,106,native,OTHER
kutha,98,native,OTHER
bangsa,97,native,OTHER
gedhe,78,native,QUALITY
mataram,77,native,OTHER
karajan,74,native,OTHER
perang,72,native,ACTION
jumeneng,69,native,ACTION
kena,68,native,ACTION
oleh,67,native,ACTION
arep,64,native,ACTION
prajurit,62,native,OTHER
kraman,60,native,OTHER
parentah,57,native,OTHER
cilik,55,native,QUALITY
jajahan,55,native,OTHER
prau,54,native,OTHER
bab,51,native,OTHER
saya,50,native,QUALITY
suwe,50,native,QUALITY
bumi,49,native,NATURE
dedagangan,48,native,ACTION
pulo,48,native,NATURE
aran,46,native,OTHER
marga,45,native,OTHER
kaya,43,native,QUALITY
gawe,41,native,ACTION
seda,41,native,BODY
tekan,41,native,ACTION
wetan,41,native,NATURE
kangjeng,40,native,OTHER
prakara,40,native,OTHER
abad,38,native,NUMBER
duwe,37,native,ACTION
kudu,37,native,ACTION
luwih,37,native,QUALITY
nata,36,native,ACTION
nganggo,36,native,ACTION
majapait,35,native,OTHER
dhuwit,34,native,OTHER
jaman,34,native,OTHER
negara,34,native,OTHER
becik,33,native,QUALITY
pati,32,native,BODY
pranatan,32,native,OTHER
agama,31,native,OTHER
europa,31,native,OTHER
kabeh,31,native,NUMBER
mangkurat,31,native,OTHER
mas,30,native,OTHER
ngayogyakarta,30,native,OTHER
prajangjian,30,native,OTHER
surakarta,30,native,OTHER
dagang,29,native,ACTION
dalan,29,native,NATURE
beteng,28,native,OTHER
wektu,28,native,NUMBER
kulon,27,native,NATURE
