site,cat,lat,lon,ndvi_mean,ndvi_std,ndvi_center,ndvi_ring,ndvi_diff,ndvi_lvar,ndwi_mean,ndwi_diff,ndwi_lvar,msavi_mean,msavi_diff,pixels,scene
Candi Jawi,candi,-7.7619,112.7281,0.31596,0.15453,0.43947,0.32518,0.11429,0.00339309,-0.31028,-0.08217,0.00237702,0.45855,0.13856,10000,2024-08-12
Candi Tikus,candi,-7.5589,112.3756,0.36616,0.14001,0.45815,0.33447,0.12368,0.00310817,-0.34313,-0.09027,0.00186283,0.5193,0.14142,10000,2024-07-16
Candi Brahu,candi,-7.5481,112.3856,0.28154,0.13273,0.31127,0.27466,0.03661,0.00322937,-0.27785,-0.02052,0.00197025,0.42205,0.03278,10000,2024-07-16
Candi Bajang Ratu,candi,-7.5561,112.3978,0.345,0.13908,0.38295,0.33813,0.04482,0.00247064,-0.32703,-0.0413,0.00143848,0.49601,0.04413,10000,2024-07-16
Candi Kidal,candi,-8.0156,112.5928,0.3372,0.16941,0.45834,0.3198,0.13854,0.00357054,-0.32664,-0.11282,0.00250992,0.47841,0.16653,10000,2024-08-12
Candi Singosari,candi,-7.8894,112.6592,0.26017,0.15387,0.33462,0.26446,0.07016,0.00461908,-0.26318,-0.04366,0.0034529,0.38984,0.09874,10000,2024-08-12
Candi Sumberawan,candi,-7.8403,112.5456,0.4469,0.08679,0.4699,0.44416,0.02574,0.00182401,-0.41725,-0.02066,0.0009569,0.61233,0.02761,10000,2024-08-12
Candi Songgoriti,candi,-7.8714,112.4894,0.44781,0.06768,0.48285,0.44044,0.04241,0.00115744,-0.41078,-0.05567,0.0008046,0.61534,0.04121,10000,2024-08-12
Candi Penataran,candi,-7.925,112.2069,0.4145,0.13141,0.45145,0.40615,0.0453,0.00286907,-0.40894,-0.02724,0.00166691,0.5728,0.04802,10000,2024-07-16
Candi Sawentar,candi,-7.95,112.1806,0.34866,0.13099,0.40346,0.32774,0.07572,0.00341131,-0.34408,-0.0671,0.00238452,0.50197,0.09061,10000,2024-07-16
Candi Gambar Wetan,candi,-7.9769,112.2597,0.52363,0.08448,0.48701,0.52038,-0.03337,0.00120277,-0.47513,0.0263,0.00085071,0.68281,-0.02631,10000,2024-07-16
Candi Tegowangi,candi,-7.7733,112.1194,0.39096,0.12828,0.42116,0.38976,0.0314,0.00386471,-0.37018,-0.02596,0.00238884,0.5492,0.03126,10000,2024-07-16
Candi Surawana,candi,-7.7756,112.1494,0.32901,0.1322,0.28662,0.34654,-0.05991,0.00417437,-0.32163,0.04451,0.00273426,0.47956,-0.06823,10000,2024-07-16
Situs Trowulan,candi,-7.55,112.38,0.29227,0.14521,0.31452,0.30741,0.00711,0.00355227,-0.28774,-0.0032,0.00211739,0.43241,0.01046,10000,2024-07-16
Candi Wringin Lawang,candi,-7.5397,112.3908,0.3194,0.13786,0.29203,0.32801,-0.03598,0.00292889,-0.30515,0.03268,0.00177938,0.46636,-0.0465,10000,2024-07-16
Ctrl_volc_kelud,control,-7.95,112.45,0.49689,0.06648,0.54551,0.48722,0.05829,0.00113762,-0.45057,-0.04655,0.00079937,0.66118,0.05205,10000,2024-08-12
Ctrl_volc_arjuno,control,-7.8,112.55,0.53591,0.05653,0.52875,0.53604,-0.00729,0.00077841,-0.47432,0.01193,0.00057264,0.69594,-0.00461,10000,2024-08-12
Ctrl_plain_north,control,-7.45,112.4,0.30895,0.11998,0.39188,0.28884,0.10305,0.00301167,-0.30193,-0.08096,0.00182051,0.45865,0.12496,10000,2024-07-16
Ctrl_plain_east,control,-7.6,112.8,0.3572,0.15797,0.3836,0.33652,0.04709,0.00375954,-0.33666,-0.01952,0.00240988,0.50407,0.06733,10000,2024-08-12
Ctrl_forest_south,control,-8.05,113.0,0.48506,0.05574,0.47016,0.48584,-0.01568,0.00144186,-0.43798,0.01613,0.00107514,0.65128,-0.01385,10000,2024-08-12
