site,VV_mean_db,VV_std_db,VV_center_db,VV_ring_db,VV_diff_db,VV_lvar_db,VV_pixels,VH_mean_db,VH_std_db,VH_center_db,VH_ring_db,VH_diff_db,VH_lvar_db,VH_pixels,xpol_ratio_mean,xpol_ratio_std,xpol_center,xpol_ring,xpol_diff,lat,lon,cat,scene
Candi Jawi,22.442,1.756,23.219,22.549,0.6703,0.857242,10000,20.056,1.43,20.647,20.133,0.5139,0.796078,10000,0.61913,0.23331,0.58594,0.61656,-0.03062,-7.7619,112.7281,candi,2024-09-27
Candi Tikus,22.616,1.383,23.396,22.603,0.7932,0.80282,10000,19.885,1.322,20.271,19.898,0.3724,0.80698,10000,0.56663,0.20383,0.51597,0.57092,-0.05494,-7.5589,112.3756,candi,2024-09-27
Candi Brahu,22.47,1.294,22.127,22.579,-0.4514,0.769978,10000,19.75,1.182,19.817,19.814,0.0024,0.747691,10000,0.56725,0.20374,0.61933,0.56143,0.0579,-7.5481,112.3856,candi,2024-09-27
Candi Bajang Ratu,22.73,1.472,22.487,22.773,-0.2859,0.967175,10000,20.043,1.367,19.942,20.077,-0.135,0.855991,10000,0.57459,0.21351,0.59152,0.57411,0.01741,-7.5561,112.3978,candi,2024-09-27
Candi Kidal,23.254,1.643,23.65,23.048,0.6026,0.947448,10000,20.636,1.273,20.692,20.611,0.0807,0.838544,10000,0.58777,0.22365,0.55083,0.60802,-0.05718,-8.0156,112.5928,candi,2024-09-27
Candi Singosari,20.806,2.091,22.119,20.562,1.5576,1.012255,10000,19.03,1.6,19.655,18.92,0.7349,0.883339,10000,0.71469,0.28647,0.60593,0.73642,-0.13049,-7.8894,112.6592,candi,2024-09-27
Candi Sumberawan,21.595,1.675,22.713,21.486,1.2264,0.98038,10000,19.099,1.41,19.348,19.134,0.214,0.848868,10000,0.60357,0.23663,0.49673,0.62204,-0.12532,-7.8403,112.5456,candi,2024-09-27
Candi Songgoriti,22.816,2.056,23.109,22.71,0.3983,1.061766,10000,20.279,1.724,20.477,20.157,0.3201,0.928049,10000,0.59623,0.22566,0.58452,0.59346,-0.00894,-7.8714,112.4894,candi,2024-09-27
Candi Penataran,22.914,1.301,22.992,22.856,0.1358,0.783499,10000,20.174,1.292,19.971,20.075,-0.1043,0.796545,10000,0.56565,0.20482,0.5381,0.56052,-0.02242,-7.925,112.2069,candi,2024-09-27
Candi Sawentar,22.864,1.309,23.096,22.901,0.195,0.781163,10000,20.19,1.26,20.162,20.236,-0.0741,0.793828,10000,0.57521,0.20841,0.53691,0.57602,-0.03911,-7.95,112.1806,candi,2024-09-27
Candi Gambar Wetan,23.348,2.28,23.718,23.479,0.2388,1.346876,10000,20.443,1.932,20.718,20.546,0.1724,1.101394,10000,0.54792,0.20765,0.53965,0.54425,-0.00461,-7.9769,112.2597,candi,2024-09-27
Candi Tegowangi,22.797,1.287,22.348,22.841,-0.4937,0.802199,10000,19.896,1.248,19.783,19.877,-0.0938,0.793986,10000,0.54483,0.19675,0.59007,0.53732,0.05275,-7.7733,112.1194,candi,2024-09-27
Candi Surawana,22.892,1.457,23.399,22.824,0.5747,0.972497,10000,20.021,1.35,20.537,19.981,0.5562,0.87235,10000,0.55008,0.20278,0.55284,0.55382,-0.00098,-7.7756,112.1494,candi,2024-09-27
Situs Trowulan,22.433,1.235,22.367,22.532,-0.1651,0.73418,10000,19.72,1.183,19.526,19.783,-0.2569,0.752397,10000,0.56717,0.20061,0.54373,0.56225,-0.01852,-7.55,112.38,candi,2024-09-27
Candi Wringin Lawang,22.58,1.353,22.302,22.684,-0.3813,0.809526,10000,19.838,1.216,19.368,19.973,-0.6049,0.76191,10000,0.5657,0.20784,0.53913,0.57026,-0.03112,-7.5397,112.3908,candi,2024-09-27
Ctrl_volc_kelud,23.743,2.076,22.322,23.877,-1.5555,1.028796,10000,20.829,1.676,19.952,20.927,-0.9752,0.866901,10000,0.54667,0.21176,0.61658,0.5419,0.07467,-7.95,112.45,control,2024-09-27
Ctrl_volc_arjuno,22.11,2.174,22.936,22.031,0.9045,1.193013,10000,19.797,1.665,20.37,19.73,0.6399,0.921404,10000,0.63013,0.2415,0.58827,0.63228,-0.044,-7.8,112.55,control,2024-09-27
Ctrl_plain_north,22.822,1.52,22.409,22.985,-0.5761,0.886121,10000,19.916,1.271,19.92,20.025,-0.1053,0.80765,10000,0.55158,0.21793,0.59975,0.54731,0.05245,-7.45,112.4,control,2024-09-27
Ctrl_plain_east,20.532,2.166,20.118,20.618,-0.5,1.087774,10000,18.958,1.628,18.739,19.079,-0.3399,0.90486,10000,0.75015,0.30288,0.77884,0.75774,0.0211,-7.6,112.8,control,2024-09-27
Ctrl_forest_south,24.107,1.483,23.882,24.153,-0.2718,0.954425,10000,20.831,1.3,20.889,20.815,0.0734,0.837235,10000,0.50071,0.18573,0.52992,0.49331,0.03661,-8.05,113.0,control,2024-09-25
