site,cat,lat,lon,dry_ndwi_diff,wet_ndwi_diff,delta_diff,dry_ndwi_mean,wet_ndwi_mean,delta_mean,dry_lvar,wet_lvar,delta_lvar,dry_scene,wet_scene
Candi Jawi,candi,-7.7619,112.7281,-0.08217,-0.12157,-0.0394,-0.31028,-0.34539,-0.03511,0.00237702,0.00317105,0.00079403,2024-08-12,2023-12-21
Candi Tikus,candi,-7.5589,112.3756,-0.09027,-0.04662,0.04365,-0.34313,-0.31777,0.02536,0.00186283,0.00166603,-0.0001968,2024-07-16,2023-12-24
Candi Brahu,candi,-7.5481,112.3856,-0.02052,0.01871,0.03923,-0.27785,-0.32072,-0.04287,0.00197025,0.00184716,-0.00012309,2024-07-16,2023-12-24
Candi Bajang Ratu,candi,-7.5561,112.3978,-0.0413,-0.02559,0.01571,-0.32703,-0.31184,0.01519,0.00143848,0.00157845,0.00013997,2024-07-16,2023-12-24
Candi Kidal,candi,-8.0156,112.5928,-0.11282,-0.18867,-0.07585,-0.32664,-0.34067,-0.01403,0.00250992,0.00319628,0.00068636,2024-08-12,2023-12-21
Candi Singosari,candi,-7.8894,112.6592,-0.04366,-0.11926,-0.0756,-0.26318,-0.26177,0.00141,0.0034529,0.00392921,0.00047631,2024-08-12,2023-12-21
Candi Sumberawan,candi,-7.8403,112.5456,-0.02066,-0.03065,-0.00999,-0.41725,-0.41485,0.0024,0.0009569,0.00152874,0.00057184,2024-08-12,2023-12-21
Candi Songgoriti,candi,-7.8714,112.4894,-0.05567,-0.23336,-0.17769,-0.41078,-0.2723,0.13848,0.0008046,0.00097614,0.00017154,2024-08-12,2023-12-21
Candi Penataran,candi,-7.925,112.2069,-0.02724,-0.03476,-0.00752,-0.40894,-0.41831,-0.00937,0.00166691,0.00186754,0.00020063,2024-07-16,2023-12-24
Candi Sawentar,candi,-7.95,112.1806,-0.0671,-0.08348,-0.01638,-0.34408,-0.36072,-0.01664,0.00238452,0.00292266,0.00053814,2024-07-16,2023-12-24
Candi Gambar Wetan,candi,-7.9769,112.2597,0.0263,0.00689,-0.01941,-0.47513,-0.47647,-0.00134,0.00085071,0.0007591,-9.161e-05,2024-07-16,2023-12-24
Candi Tegowangi,candi,-7.7733,112.1194,-0.02596,0.07601,0.10197,-0.37018,-0.37824,-0.00806,0.00238884,0.00254468,0.00015584,2024-07-16,2023-12-24
Candi Surawana,candi,-7.7756,112.1494,0.04451,0.05939,0.01488,-0.32163,-0.29913,0.0225,0.00273426,0.0023009,-0.00043336,2024-07-16,2023-12-24
Situs Trowulan,candi,-7.55,112.38,-0.0032,0.01788,0.02108,-0.28774,-0.29524,-0.0075,0.00211739,0.00204358,-7.381e-05,2024-07-16,2023-12-24
Candi Wringin Lawang,candi,-7.5397,112.3908,0.03268,0.00137,-0.03131,-0.30515,-0.29422,0.01093,0.00177938,0.002077,0.00029762,2024-07-16,2023-12-24
Ctrl_volc_kelud,control,-7.95,112.45,-0.04655,-0.03036,0.01619,-0.45057,-0.39755,0.05302,0.00079937,0.00063918,-0.00016019,2024-08-12,2023-12-21
Ctrl_volc_arjuno,control,-7.8,112.55,0.01193,-0.00684,-0.01877,-0.47432,-0.4227,0.05162,0.00057264,0.00061454,4.19e-05,2024-08-12,2023-12-21
Ctrl_plain_north,control,-7.45,112.4,-0.08096,-0.10236,-0.0214,-0.30193,-0.32723,-0.0253,0.00182051,0.00211487,0.00029436,2024-07-16,2023-12-24
Ctrl_plain_east,control,-7.6,112.8,-0.01952,0.01227,0.03179,-0.33666,-0.28019,0.05647,0.00240988,0.001796,-0.00061388,2024-08-12,2023-12-21
Ctrl_forest_south,control,-8.05,113.0,0.01613,-0.00495,-0.02108,-0.43798,-0.29587,0.14211,0.00107514,0.00015183,-0.00092331,2024-08-12,2023-12-11
