site,lat,lon,ndwi_diff,ndwi_abs_diff,ndwi_lvar,ndvi_diff,ndvi_abs_diff,ndvi_lvar,burial_depth_cm,volc_dist_km,nearest_volcano,depth_source
Candi Jawi,-7.7619,112.7281,-0.08217,0.08217,0.00237702,0.11429,0.11429,0.00339309,408.6,17.26075962450856,Arjuno-Welirang,E075
Candi Tikus,-7.5589,112.3756,-0.09027,0.09027,0.00186283,0.12368,0.12368,0.00310817,485.5,28.725842072327865,Penanggungan,E075
Candi Brahu,-7.5481,112.3856,-0.02052,0.02052,0.00197025,0.03661,0.03661,0.00322937,415.5,27.94671457326381,Penanggungan,E075
Candi Bajang Ratu,-7.5561,112.3978,-0.0413,0.0413,0.00143848,0.04482,0.04482,0.00247064,501.7,26.418217034482662,Penanggungan,E075
Candi Kidal,-8.0156,112.5928,-0.11282,0.11282,0.00250992,0.13854,0.13854,0.00357054,517.0,31.928719561985986,Arjuno-Welirang,E075
Candi Singosari,-7.8894,112.6592,-0.04366,0.04366,0.0034529,0.07016,0.07016,0.00461908,560.9,20.10350975576194,Arjuno-Welirang,E075
Candi Sumberawan,-7.8403,112.5456,-0.02066,0.02066,0.0009569,0.02574,0.02574,0.00182401,560.9,12.792826034406819,Arjuno-Welirang,E075
Candi Songgoriti,-7.8714,112.4894,-0.05567,0.05567,0.0008046,0.04241,0.04241,0.00115744,1130.1,18.429581663377306,Arjuno-Welirang,E075
Candi Penataran,-7.925,112.2069,-0.02724,0.02724,0.00166691,0.0453,0.0453,0.00286907,1025.4,11.148245528050381,Kelud,E075
Candi Sawentar,-7.95,112.1806,-0.0671,0.0671,0.00238452,0.07572,0.07572,0.00341131,654.8,14.205582285529958,Kelud,E075
Candi Gambar Wetan,-7.9769,112.2597,0.0263,0.0263,0.00085071,-0.03337,0.03337,0.00120277,1196.3,7.449093051555959,Kelud,E075
Candi Tegowangi,-7.7733,112.1194,-0.02596,0.02596,0.00238884,0.0314,0.0314,0.00386471,725.6,27.11447249666229,Kelud,E075
Candi Surawana,-7.7756,112.1494,0.04451,0.04451,0.00273426,-0.05991,0.05991,0.00417437,37.27660418350375,24.494136476230185,Kelud,estimated
Situs Trowulan,-7.55,112.38,-0.0032,0.0032,0.00211739,0.00711,0.00711,0.00355227,501.7,28.487774819448425,Penanggungan,E075
Candi Wringin Lawang,-7.5397,112.3908,0.03268,0.03268,0.00177938,-0.03598,0.03598,0.00292889,415.5,27.663148513179365,Penanggungan,E075
