site,lat,lon,dist_entry_km,dist_volc_km
Candi Jawi,-7.6624877,112.669879,46.7,12.4
Candi Tikus,-7.5718035,112.4035341,52.3,26.2
Candi Bajang Ratu,-7.5677409,112.3987632,52.4,26.9
Candi jolotundo,-7.6100965,112.595732,43.5,13.4
Candi Naga 1,-7.608458,112.6105279,42.7,13.9
Candi Putri,-7.611832,112.6093412,43.1,13.5
Candi Gentong,-7.6111708,112.6122723,42.9,13.7
Cinda Yudha,-7.6085826,112.6126326,42.7,14.0
Candi Bayi,-7.6139718,112.6055954,43.5,13.2
Candi Pura,-7.6115047,112.6106941,43.0,13.6
Canti kama 2,-7.6049058,112.6055074,42.6,14.2
Candi Kendalisodo,-7.6067777,112.6076324,42.7,14.0
Watu semar,-7.6885769,112.5864062,52.0,4.7
Kendalisodo,-7.7024158,112.5445359,55.2,5.0
Petilasan Brawijaya,-7.7041743,112.5452303,55.3,4.8
Petilasan Joko Lelono,-7.7030316,112.5457665,55.2,4.8
Makam Krapyak,-7.6903015,112.5481078,53.8,5.6
Candi Wisnu,-7.6147858,112.613817,43.3,13.3
Candi Guru,-7.6148901,112.6127009,43.3,13.3
Candi Selokelir,-7.6251042,112.6080982,44.5,12.1
Candi,-7.6176551,112.610255,43.7,12.9
Candi Naga,-7.6138526,112.6106987,43.3,13.4
Candi Lurah,-7.613422,112.6118635,43.2,13.4
Candi,-7.6252159,112.6159826,44.3,12.3
Candi Merak,-7.6066004,112.6133722,42.4,14.2
Petilasan Narotama,-7.6073212,112.5938023,43.3,13.7
Recolanang,-7.6726034,112.5835064,50.4,6.4
Perempatan Gununggangsir,-7.5857822,112.723543,37.5,22.5
Goa Botol,-7.6169471,112.6193855,43.3,13.3
Canti Pasetran,-7.5757693,112.6150601,39.2,17.6
Canti Jedong,-7.579683,112.6130256,39.6,17.1
Candi Tumpak Wolu,-7.6032232,112.6158902,42.0,14.6
Candi Wayang,-7.6054843,112.6217173,42.0,14.6
Candi NN,-7.6047027,112.6170999,42.1,14.5
Candi Gajah Mungkur,-7.604506,112.6215523,41.9,14.7
Candi Griya,-7.6032082,112.6206324,41.8,14.8
Candi Kerajaan,-7.6039862,112.6236257,41.8,14.8
Candi Kama 4,-7.6042414,112.6206256,41.9,14.7
osm_11735205895,-7.8868875,112.6620403,71.5,19.6
osm_11739728881,-7.6427458,112.6491067,45.1,12.3
Watu Prasasti,-7.596268,112.6128719,41.4,15.3
Candi Sengon,-7.6045661,112.6151579,42.1,14.5
Tugu Buah Apel,-7.8707674,112.527441,73.3,16.7
Kolam Air Segaran,-7.5579138,112.3829383,53.0,28.9
Candi Wringin Lawang,-7.5418917,112.3909426,51.2,29.5
Pendopo Agung Trowulan,-7.5662385,112.380256,53.8,28.6
Kompleks Candi Sumberawan,-7.8553516,112.6448151,68.3,15.7
osm_563730675,-7.8751671,112.8070746,69.8,28.9
osm_629408048,-7.8338111,112.564841,68.0,11.7
osm_629408061,-7.8335843,112.5631048,68.1,11.7
Candi Pari,-7.5161315,112.6834255,30.5,26.4
osm_646335021,-7.5446032,112.6994321,33.2,24.5
Candi Menak Jinggo,-7.5583872,112.3865115,52.7,28.6
osm_781575304,-7.5440231,112.7054267,33.1,24.9
osm_781575305,-7.542813,112.7048245,32.9,24.9
osm_781575361,-7.5458412,112.7065992,33.2,24.8
osm_818950515,-7.8322261,112.5638675,67.9,11.5
Kanal Majapahit,-7.5697504,112.3981881,52.6,26.8
Kanal Majapahit,-7.5704829,112.4015133,52.4,26.5
Makam Panjang,-7.5557022,112.3856116,52.6,28.9
Makam Putri Campa,-7.5559681,112.3843442,52.8,29.0
Kanal Majapahit,-7.5679071,112.3919217,53.0,27.5
Balong Bunder,-7.5616797,112.3821834,53.3,28.7
Kolam Ngelinguk,-7.5642472,112.3770594,54.0,29.0
osm_840244045,-7.5617253,112.3776899,53.7,29.1
Balong Dowo,-7.5609934,112.381282,53.4,28.9
Situs Kumitir,-7.5707338,112.4117737,51.6,25.6
osm_840616538,-7.5727595,112.4189578,51.2,24.9
osm_840616546,-7.5678305,112.3950181,52.7,27.2
Makam Mbah Mendek,-7.5715271,112.5885726,39.9,17.6
Situs Genting,-7.5714269,112.5898064,39.9,17.7
Candi Bangkal,-7.543221,112.6355351,35.0,21.7
Candi Petirtaan Belahan,-7.6075228,112.6513504,41.2,15.7
Candi Kesiman,-7.6504231,112.5299286,50.7,10.4
Prasasti Cunggrang,-7.5798158,112.6849627,37.4,20.3
osm_845830591,-7.54446,112.4487524,46.6,25.2
osm_845830592,-7.5437964,112.4474942,46.7,25.3
Situs Petirtaan Sumberbeji,-7.6658053,112.2562369,71.4,30.0
Situs Watu Umpak Grobogon,-7.6011296,112.3480411,59.1,29.3
Situs Watu Gilang Pujon,-7.8289325,112.4220203,73.8,16.7
