id,lat,lon,evidence_streams,nearest_volcano,volc_dist_km,burial_m,e080_score,e097_matches,entry_dist_km,nearest_entry
T01,-7.98,112.36,4,Kelud,7.8,5.0,0.855,1,91.9,Surabaya
T02,-7.96,112.36,4,Kelud,6.4,6.6,0.855,1,89.9,Surabaya
T03,-7.94,112.36,4,Kelud,5.6,7.7,0.855,1,87.9,Surabaya
T04,-7.94,112.38,4,Kelud,7.8,5.0,0.855,1,86.9,Surabaya
T05,-7.92,112.36,4,Kelud,5.6,7.7,0.855,7,86.0,Surabaya
T06,-7.92,112.38,4,Kelud,7.8,5.0,0.855,4,84.9,Surabaya
T07,-7.9,112.36,4,Kelud,6.4,6.6,0.855,7,84.1,Surabaya
T08,-7.88,112.3,4,Kelud,5.7,8.0,0.855,21,85.8,Surabaya
T09,-7.88,112.32,4,Kelud,5.7,7.9,0.855,25,84.6,Surabaya
T10,-7.88,112.34,4,Kelud,6.5,6.6,0.855,12,83.4,Surabaya
T11,-7.88,112.36,4,Kelud,7.8,5.0,0.855,8,82.2,Surabaya
T12,-7.86,112.3,4,Kelud,7.9,5.2,0.855,21,84.0,Surabaya
T13,-7.86,112.32,4,Kelud,7.9,5.1,0.855,21,82.7,Surabaya
T14,-7.78,112.62,4,Arjuno-Welirang,7.1,5.5,0.855,0,60.7,Surabaya
T15,-7.76,112.62,4,Arjuno-Welirang,5.5,7.4,0.855,0,58.5,Surabaya
T16,-7.74,112.52,4,Arjuno-Welirang,6.7,7.2,0.855,0,60.1,Surabaya
T18,-7.72,112.52,4,Arjuno-Welirang,6.7,7.2,0.855,0,58.1,Surabaya
T20,-7.72,112.64,4,Arjuno-Welirang,6.7,5.8,0.855,0,53.7,Surabaya
T17,-7.74,112.62,3,Arjuno-Welirang,4.5,8.9,0.855,0,56.3,Surabaya
T19,-7.72,112.62,3,Arjuno-Welirang,4.5,9.0,0.855,0,54.2,Surabaya
