title,century,lat,lon,volc_dist_km,volcano
Kamalagyan charter (959 Śaka),11,-7.55,112.39,25.95,Penanggungan
Adan-Adan (1223 Śaka),14,-7.8,112.01,36.07,Kelud
Air Asih (between 1177 and 1208 Śaka),13,-7.8,112.01,36.07,Kelud
Air Kali (849-850 Śaka),10,-7.6,112.0,50.13,Kelud
Ayam Teas I (822 Śaka),9,-7.6,110.35,11.96,Merapi
"Charter of Ayam Teas III (822 Śaka, 901-01-01)",9,-7.6,110.35,11.96,Merapi
"Barahasrama (837 Śaka, 915-12-14)",10,-7.6,110.35,11.96,Merapi
"Bhatari (829 Śaka, 907-10-07)",10,-7.6,110.35,11.96,Merapi
Bularut charter (964 Śaka),11,-7.6,112.0,50.13,Kelud
The stela of Canggal or Gunung Wukir (654 Śaka),8,-7.6,110.3,16.81,Merapi
"Charter for the demarcation of Wukajana, Tumpak & Wuru Telu villages for the monastery at Dalinan (825 Śaka, 5 March 904)",10,-7.6,110.35,11.96,Merapi
Two connected charters on a stone from Dinoyo (772 and 786 Śaka),9,-7.97,112.63,27.05,Arjuno
Gulung-Gulung (851 Śaka),10,-7.6,112.0,50.13,Kelud
Gift of Hampran village (674 Śaka),8,-7.58,110.4,6.26,Merapi
Charter of Hering (870 Śaka),10,-7.6,112.0,50.13,Kelud
"Charter of Horren, ca. 975 Śaka",11,-7.6,112.0,50.13,Kelud
The Polengan plates: Humanding charter (797 Śaka),9,-7.6,110.35,11.96,Merapi
Jeru-Jeru (852 Śaka),10,-7.6,112.0,50.13,Kelud
The Polengan plates: Jurungan charter (798 Śaka),9,-7.6,110.35,11.96,Merapi
The Kanjuruhan Charter (682 Śaka),8,-7.97,112.63,27.05,Arjuno
Karang Lo (1019 Śaka),11,-7.47,112.65,14.83,Penanggungan
"Kasugihan (829 Śaka, 907-11-18)",10,-7.6,110.35,11.96,Merapi
Kayu Ara Hiwang (823 Śaka),10,-7.6,110.35,11.96,Merapi
Kayumwungan charter of the Veṇuvanavihāra (746 Śaka),9,-7.58,110.4,6.26,Merapi
Kusambyan charter (945 Śaka),11,-7.6,112.0,50.13,Kelud
Linggasuntan (851 Śaka),10,-7.6,112.0,50.13,Kelud
"Lintakan (841 Śaka, 919-07-12)",10,-7.6,112.0,50.13,Kelud
The Polengan plates: Mamali Charter (800 Śaka),9,-7.6,110.35,11.96,Merapi
Manah i Manuk Charter (1350–1356 CE),14,-7.55,112.39,25.95,Penanggungan
Manjusrigerha (792 CE),8,-7.61,110.2,27.58,Merapi
"Mantyasih II (829 Śaka, 907-04-11)",10,-7.47,110.18,15.72,Sumbing
The Maribong Charter of Wisnuwardhana (1170 Śaka),13,-8.0,112.5,22.32,Kelud
Charter of Masahar (852 Śaka),10,-7.6,112.0,50.13,Kelud
Munggut charter (944 Śaka),11,-7.6,112.0,50.13,Kelud
The Pakis Wetan Charter of Kertanagara (1188 Śaka),13,-8.02,112.65,31.37,Semeru
Palepangan charter (828 Śaka),10,-7.6,110.35,11.96,Merapi
Pananggaran (791 Śaka),9,-7.6,110.35,11.96,Merapi
"Panunggalan charter (818 Śaka, 896-08-15 CE)",9,-7.6,110.35,11.96,Merapi
Parablyan (between 1177 and 1208 Śaka),13,-7.8,112.01,36.07,Kelud
"Rabvan (827 Śaka, 906-02-03)",10,-7.6,110.35,11.96,Merapi
Rameswarapura charter (1197 Śaka),13,-7.55,112.39,25.95,Penanggungan
Charter of Rukam (829 Śaka),10,-7.6,110.35,11.96,Merapi
"Rumwiga I (826 Śaka, 904-12-28)",10,-7.75,110.4,23.76,Merapi
"Rumwiga II (827 Śaka, 905-07-05)",10,-7.75,110.4,23.76,Merapi
Donation Record of Salingsingan II (802 Śaka) and Kikil Batu Addendum (827 Śaka),9,-7.6,110.35,11.96,Merapi
Sang Hyang Tapak Charter of Jayabhūpati (952 Śaka),11,-7.6,112.0,50.13,Kelud
"Sang Makudur (~830 Śaka, ~908 CE)",10,-7.6,110.35,11.96,Merapi
Sarwadharma (1191 Śaka),13,-7.55,112.4,24.88,Penanggungan
Foundation of a Dam Called Śilāmaṇi-kuṇḍala (1272 Śaka),14,-7.55,112.39,25.95,Penanggungan
Sima Anglayang charter (in or after 968 Śaka),11,-7.6,112.0,50.13,Kelud
"Sugih Manek Charter (837 Śaka, 915-09-13)",10,-7.6,110.35,11.96,Merapi
"The Charter of Taji (823 Śaka, 8 April 901)",10,-7.6,110.35,11.96,Merapi
Charter of Talan (941 and 1058 Śaka),12,-7.6,112.0,50.13,Kelud
The Polengan plates: Taragal Charter (802 Śaka),9,-7.6,110.35,11.96,Merapi
Charter of Tiga Ron also called Təlu Ron (822 Śaka – 900-03-30),9,-7.6,110.35,11.96,Merapi
"Tihang charter (Sañjaya 198, 836 Śaka, 914-11-08 CE)",10,-7.6,110.35,11.96,Merapi
"Tulangan (832 Śaka, 910-08-13)",10,-7.47,112.65,14.83,Penanggungan
The Polengan plates: Tunahan Charter (794 Śaka),9,-7.6,110.35,11.96,Merapi
"Turu Mangambil (~830 Śaka, ~908 CE)",10,-7.6,110.35,11.96,Merapi
"Watu Ridang (832 Śaka, 910-03-22)",10,-7.6,110.35,11.96,Merapi
"Wintang Mas II (841 Śaka, 919-10-12)",10,-7.6,110.35,11.96,Merapi
"Stela of Pereng, also known as Wukiran inscription (784 Śaka, 863-1-25 CE)",9,-7.66,110.35,16.63,Merapi
Wuru Tunggal (833 Śaka),10,-7.6,110.35,11.96,Merapi
