Lexname,Count,Pct,MappedDomain
adj.all,1079,21.50,Attributes
noun.artifact,474,9.45,Craft/Technology
noun.person,331,6.60,Social/Governance
noun.animal,228,4.54,Body/Medicine
noun.communication,210,4.18,Knowledge/Cognition
noun.act,205,4.09,Actions/States
noun.object,204,4.07,Nature/Environment
noun.attribute,177,3.53,Attributes
noun.body,166,3.31,Body/Medicine
noun.cognition,163,3.25,Knowledge/Cognition
noun.location,137,2.73,Spatial/Navigation
verb.contact,129,2.57,Craft/Technology
noun.state,117,2.33,Actions/States
noun.feeling,111,2.21,Ritual/Cosmology
noun.plant,111,2.21,Agriculture/Plants
verb.motion,100,1.99,Spatial/Navigation
noun.substance,87,1.73,Nature/Environment
noun.quantity,83,1.65,Attributes
verb.communication,80,1.59,Knowledge/Cognition
verb.change,74,1.47,Actions/States
noun.group,62,1.24,Social/Governance
noun.food,58,1.16,Agriculture/Plants
noun.time,56,1.12,Nature/Environment
noun.event,54,1.08,Actions/States
verb.social,49,0.98,Social/Governance
verb.body,48,0.96,Body/Medicine
noun.Tops,40,0.80,Attributes
noun.possession,40,0.80,Social/Governance
verb.possession,38,0.76,Social/Governance
verb.perception,38,0.76,Nature/Environment
noun.phenomenon,35,0.70,Nature/Environment
noun.relation,34,0.68,Attributes
verb.emotion,33,0.66,Ritual/Cosmology
verb.competition,28,0.56,Social/Governance
noun.shape,24,0.48,Attributes
verb.creation,23,0.46,Craft/Technology
verb.stative,22,0.44,Actions/States
noun.process,21,0.42,Actions/States
adv.all,14,0.28,Attributes
verb.cognition,12,0.24,Knowledge/Cognition
verb.consumption,11,0.22,Agriculture/Plants
verb.weather,10,0.20,Nature/Environment
adj.pert,2,0.04,Attributes
