site_id,name,lat,lon,label,class,season,scene_date,cloud_pct,ndvi_mean,ndvi_std,ndvi_center,ndvi_ring,ndvi_diff,ndvi_lvar,ndwi_mean,ndwi_std,ndwi_center,ndwi_ring,ndwi_diff,ndwi_lvar,msavi_mean,msavi_center,msavi_diff,clay_ratio,iron_oxide
HP001,Candi Sambisari,-7.7628,110.4561,hard_positive,2,dry,2024-07-21,0.068991,0.34209504317300676,0.12927608117158335,0.2734124080470288,0.3559227037388175,-0.0825102956917887,0.004260602860362535,-0.32868826498313447,0.10007072612858307,-0.2805612158963916,-0.33825525104126686,0.057694035144875255,0.0027525180471896656,0.4954572064372516,0.4122725062774782,-0.0995621980867179,1.269932143509222,0.9671998478087267
HP002,Candi Kedulan,-7.7308,110.4503,hard_positive,2,dry,2024-07-21,0.068991,0.33134373322420396,0.1504248067082446,0.2935859825539611,0.3597886716001848,-0.06620268904622367,0.004571228089271075,-0.31713205312291265,0.11854865851887873,-0.29052990399524214,-0.33844355197297316,0.04791364797773101,0.0030666699207317913,0.4779214887580325,0.4410791731466441,-0.06854326829792451,1.2561895417503444,0.9645655814989854
HP003,Candi Kimpulan,-7.7636,110.4147,hard_positive,2,dry,2024-07-21,0.068991,0.21404919839086486,0.1443882644964705,0.17912571733460883,0.21614166445232463,-0.0370159471177158,0.004876113468207336,-0.22332653131653252,0.11787564456797212,-0.2002890524578997,-0.22392117893041202,0.02363212647251231,0.0034700174125237527,0.33052067433323173,0.2885917603480561,-0.04439763312625289,1.1541892585025761,1.0191111484059
HP004,Candi Liangan,-7.2667,110.0611,hard_positive,2,dry,2024-08-13,0.325483,0.37642967750344936,0.13829058760065532,0.35858618811265514,0.39126565830433563,-0.03267947019168049,0.0028893881348333165,-0.35566424929800655,0.10730206454485777,-0.34831213322869103,-0.36613075340330925,0.017818620174618216,0.0020378849975249973,0.5304294824044727,0.5122283557777757,-0.036315610097775064,1.325042240637241,0.9494579894568593
HP005,Candi Badut,-7.9578,112.5986,hard_positive,2,dry,2024-08-12,0.720913,0.22393833564920837,0.15883051342622842,0.26285773222100867,0.2327204505449351,0.030137281676073574,0.00508573177937107,-0.23603564910486866,0.13584891782477693,-0.2661173399853234,-0.24331381977101085,-0.022803520214312534,0.004113286324049137,0.33951490813289636,0.39173264798630614,0.04167370093421008,1.1413400797141107,1.0250266078439108
HP006,Candi Tigomangi,-7.97,112.42,hard_positive,2,dry,2024-07-16,0.767885,0.4853305332467933,0.07643068580048838,0.5011312543300214,0.49595063604306694,0.00518061828695443,0.0015819778682523908,-0.43207938726138073,0.06913769790202803,-0.447518028210725,-0.43961420622538716,-0.007903821985337844,0.0011823700941369487,0.6497363357311995,0.6628442111509628,0.0025339533705809325,1.4317279210589255,0.8721511552659229
OSM0,Candi Jawi,-7.6624877,112.669879,soft_positive,1,dry,2024-08-12,0.720913,0.3091152476705076,0.16438237087438345,0.17795194701985892,0.3347767752340033,-0.15682482821414437,0.00442212905987891,-0.3019771943680602,0.1304799434990884,-0.20770031013073734,-0.3224607715665338,0.11476046143579646,0.0029388070730860727,0.44694689637884266,0.285206161359522,-0.19506691200412318,1.2277308271307215,0.9806557514186692
OSM1,Candi Tikus,-7.5718035,112.4035341,soft_positive,1,dry,2024-07-16,0.767885,0.3410944857606248,0.1277841250266715,0.2862537430708049,0.3334032380638142,-0.0471494949930093,0.002381672590059884,-0.3311639858434111,0.09444355224116353,-0.2917052087707435,-0.3263768252380141,0.03467161646727057,0.0013067699755346463,0.49458123668405185,0.43410864533105836,-0.050488479158536215,1.3043059125388539,0.9750365874120256
OSM2,Candi Bajang Ratu,-7.5677409,112.3987632,soft_positive,1,dry,2024-07-16,0.767885,0.33397397242016713,0.1301642381924063,0.39916644099813425,0.32489950569016474,0.07426693530796952,0.002433382361062514,-0.322205591284808,0.09571781282879467,-0.3669837841984159,-0.31605910720898667,-0.05092467698942921,0.0013922445647945967,0.48574299209981603,0.5618764754138976,0.0856554400692136,1.2855053322540766,0.9710157377302323
OSM3,Candi jolotundo,-7.6100965,112.595732,soft_positive,1,dry,2024-08-12,0.720913,0.47670042314187333,0.052031910558756125,0.4595920196950282,0.4784832350494922,-0.018891215354463975,0.0008247968971044041,-0.42931505651742136,0.04696673877837805,-0.4156895042682416,-0.4302376131051771,0.014548108836935525,0.0006752228352549781,0.6438651829664724,0.627320783015275,-0.018180263484984693,1.4856180510882386,0.8867872183343041
OSM4,Candi Naga 1,-7.608458,112.6105279,soft_positive,1,dry,2024-08-12,0.720913,0.472947505189802,0.07523760913198264,0.4667696873186402,0.4819050866269914,-0.015135399308351172,0.0006427615046696537,-0.4206591696394397,0.06088314976595187,-0.42668628956343296,-0.42683990438156905,0.00015361481813608302,0.0004257346261281037,0.6385477355632132,0.6319685575327412,-0.015154023280417928,1.4835801479891926,0.8752557854139497
OSM5,Candi Putri,-7.611832,112.6093412,soft_positive,1,dry,2024-08-12,0.720913,0.4550031355811923,0.06417936044320652,0.476105645008023,0.4488495719825377,0.027256073025485272,0.0006958889754819991,-0.40668241610731676,0.05367201005441209,-0.4291870378623884,-0.401438732886102,-0.027748304976286386,0.0004957871405141414,0.6227002513886805,0.6426664283984781,0.02558516001782174,1.4734418560559697,0.8868361384528723
OSM6,Candi Gentong,-7.6111708,112.6122723,soft_positive,1,dry,2024-08-12,0.720913,0.44944043032024017,0.07463606916704732,0.4876547341980349,0.43741362535583184,0.050241108842203064,0.0006977068428853063,-0.40660482718757285,0.05860576453543353,-0.43188968028130614,-0.39889081518438957,-0.032998865096916574,0.0004793468258690131,0.6164371686803883,0.6544731270307375,0.04985375611338372,1.4631462572651475,0.898450514781262
