site_id,name,lat,lon,label,class,category,source,notes
HP001,Candi Sambisari,-7.7628,110.4561,hard_positive,2,discovered_buried_candi,literature,"Buried 6.5m by Merapi, 9th c. CE, discovered 1966"
HP002,Candi Kedulan,-7.7308,110.4503,hard_positive,2,discovered_buried_candi,literature,"Buried 7m by Merapi, 9th c. CE, discovered 1993"
HP003,Candi Kimpulan,-7.7636,110.4147,hard_positive,2,discovered_buried_candi,literature,"Buried 4-5m by Merapi, 9th-10th c. CE, discovered 2009"
HP004,Candi Liangan,-7.2667,110.0611,hard_positive,2,discovered_buried_candi,literature,Buried under Sindoro ash; wooden material preserved
HP005,Candi Badut,-7.9578,112.5986,hard_positive,2,discovered_buried_candi,Wikidata Q3517536,"Partially buried, Malang volcanic plain, 8th c. CE"
HP006,Candi Tigomangi,-7.97,112.42,hard_positive,2,discovered_buried_candi,literature,"1358 CE, Semar relief, East Java (approx coords)"
OSM0,Candi Jawi,-7.6624877,112.669879,soft_positive,1,archaeology,east_java_sites.geojson,
OSM1,Candi Tikus,-7.5718035,112.4035341,soft_positive,1,archaeology,east_java_sites.geojson,
OSM2,Candi Bajang Ratu,-7.5677409,112.3987632,soft_positive,1,archaeology,east_java_sites.geojson,
OSM3,Candi jolotundo,-7.6100965,112.595732,soft_positive,1,archaeology,east_java_sites.geojson,
OSM4,Candi Naga 1,-7.608458,112.6105279,soft_positive,1,archaeology,east_java_sites.geojson,
OSM5,Candi Putri,-7.611832,112.6093412,soft_positive,1,archaeology,east_java_sites.geojson,
OSM6,Candi Gentong,-7.6111708,112.6122723,soft_positive,1,archaeology,east_java_sites.geojson,
OSM7,Candi Bayi,-7.6139718,112.6055954,soft_positive,1,archaeology,east_java_sites.geojson,
OSM9,Candi Kendalisodo,-7.6067777,112.6076324,soft_positive,1,archaeology,east_java_sites.geojson,
OSM10,Candi Tawangalun,-7.3988488,112.7891649,soft_positive,1,archaeology,east_java_sites.geojson,
OSM11,Candi Kethek,-7.5939326,111.1602927,soft_positive,1,archaeology,east_java_sites.geojson,
OSM12,Candi Wisnu,-7.6147858,112.613817,soft_positive,1,archaeology,east_java_sites.geojson,
OSM14,Candi Selokelir,-7.6251042,112.6080982,soft_positive,1,archaeology,east_java_sites.geojson,
OSM15,Candi,-7.6176551,112.610255,soft_positive,1,archaeology,east_java_sites.geojson,
OSM16,Candi Naga,-7.6138526,112.6106987,soft_positive,1,archaeology,east_java_sites.geojson,
OSM18,Candi,-7.6252159,112.6159826,soft_positive,1,archaeology,east_java_sites.geojson,
OSM19,Candi Merak,-7.6066004,112.6133722,soft_positive,1,archaeology,east_java_sites.geojson,
OSM20,Candi Penampihan,-7.9027228,111.7952694,soft_positive,1,archaeology,east_java_sites.geojson,
OSM21,Candi Rengganis,-7.9647946,113.5730157,soft_positive,1,archaeology,east_java_sites.geojson,
OSM22,Candi Tumpak Wolu,-7.6032232,112.6158902,soft_positive,1,archaeology,east_java_sites.geojson,
WIKI0006,Candi Wayang,-7.605485,112.621598,soft_positive,1,kuil,Wikidata SPARQL (Q137690757),
OSM26,Candi Griya,-7.6032082,112.6206324,soft_positive,1,archaeology,east_java_sites.geojson,
OSM29,Candi Gedog,-8.0877749,112.1841994,soft_positive,1,archaeology,east_java_sites.geojson,
OSM30,Candi Dadi,-8.1302386,111.9268294,soft_positive,1,archaeology,east_java_sites.geojson,
OSM31,Candi Ketawanggede,-7.946843,112.6123534,soft_positive,1,archaeology,east_java_sites.geojson,
OSM32,Candi Karang Besuki,-7.9523146,112.5997549,soft_positive,1,archaeology,east_java_sites.geojson,
OSM33,Situs Peninggalan Lesung Purbalingga,-7.9485617,112.5993642,soft_positive,1,archaeology,east_java_sites.geojson,
OSM34,Watu Prasasti,-7.596268,112.6128719,soft_positive,1,archaeology,east_java_sites.geojson,
OSM36,Candi Simping,-8.1640797,112.1461388,soft_positive,1,archaeology,east_java_sites.geojson,
OSM37,Candi Sirah Kencong,-7.9800031,112.4278234,soft_positive,1,archaeology,east_java_sites.geojson,
