feature,importance
ndwi_mean_dry,0.069672
ndwi_ring_dry,0.050478
ndvi_ring_dry,0.047869
ndvi_mean_dry,0.043126
ndvi_center_dry,0.041903
msavi_mean_dry,0.039588
ndwi_center_dry,0.038269
clay_ratio_wet,0.033205
msavi_center_dry,0.031565
ndwi_std_dry,0.029534
clay_ratio_dry,0.029309
ndwi_center_wet,0.024298
ndvi_std_dry,0.021938
ndwi_lvar_wet,0.020034
ndwi_std_delta,0.019437
ndvi_lvar_dry,0.019292
ndwi_std_wet,0.018629
ndvi_std_wet,0.017232
ndvi_center_wet,0.017217
ndvi_lvar_wet,0.016881
iron_oxide_delta,0.016761
ndwi_lvar_dry,0.016342
ndwi_mean_wet,0.016284
msavi_center_wet,0.015972
msavi_mean_wet,0.015873
ndvi_diff_delta,0.015022
ndvi_mean_wet,0.014071
ndwi_ring_wet,0.013952
ndvi_ring_wet,0.013885
ndwi_lvar_delta,0.013699
ndvi_mean_delta,0.013676
clay_ratio_delta,0.013470
msavi_diff_delta,0.012887
ndvi_ring_delta,0.012678
iron_oxide_dry,0.012397
ndwi_diff_delta,0.012341
ndvi_std_delta,0.011989
ndvi_lvar_delta,0.011806
ndwi_mean_delta,0.010950
msavi_mean_delta,0.010674
iron_oxide_wet,0.010303
ndwi_center_delta,0.010043
ndwi_ring_delta,0.009883
ndwi_diff_dry,0.009464
msavi_diff_wet,0.009243
ndvi_center_delta,0.009018
msavi_diff_dry,0.008633
ndvi_diff_wet,0.008263
msavi_center_delta,0.008081
ndwi_diff_wet,0.006514
ndvi_diff_dry,0.006351
